model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
28227,0.215244,0.406969,0.57986,0.737726,0.883692,1.02036,1.14993,1.27431,1.39522,1.51427,1.63311,1.75347,1.87746,2.00783,2.14865,2.30683,2.49642,2.75658,3.40026,5.70817,5.95133,6.13181,6.27888,6.40357,6.51181,6.6073,6.69257,6.76946,6.83932,6.90321,6.96196,7.01625,7.06662,7.11354,7.15738,7.19847,7.23708,7.27345,7.30779,7.34028,7.37108,7.40032,7.42814,7.45464,7.47992,7.50407,7.52717,7.54928,7.57049,7.59084
45125,0.27603,0.514247,0.723949,0.912238,1.08462,1.24545,1.3983,1.54624,1.69212,1.83891,1.99013,2.15072,2.329,2.54253,2.84677,5.45033,5.88618,6.12084,6.30019,6.44692,6.57116,6.67869,6.77322,6.85734,6.93291,7.00134,7.06371,7.12088,7.17355,7.22227,7.26752,7.30969,7.34911,7.38607,7.4208,7.45352,7.4844,7.51362,7.54131,7.5676,7.5926,7.6164,7.63911,7.66078,7.68151,7.70135,7.72036,7.73861,7.75612,7.77296
30289,0.243696,0.457441,0.647806,0.819963,0.978032,1.12533,1.26459,1.39813,1.528,1.65613,1.78448,1.91527,2.05129,2.19663,2.35809,2.54943,2.80879,3.4399,5.72459,5.97489,6.15963,6.30953,6.43618,6.54581,6.6423,6.7283,6.80569,6.87589,6.94,6.99888,7.05321,7.10357,7.15042,7.19415,7.2351,7.27354,7.30972,7.34386,7.37613,7.4067,7.4357,7.46327,7.48952,7.51455,7.53844,7.56127,7.58313,7.60407,7.62417,7.64346
24147,0.20191,0.382877,0.546847,0.697077,0.836286,0.966764,1.09048,1.20917,1.32441,1.4377,1.55056,1.6646,1.78175,1.90447,2.0363,2.18303,2.35575,2.58258,3.00589,5.98271,6.19806,6.35736,6.48812,6.59967,6.69699,6.78319,6.86042,6.93023,6.9938,7.05205,7.1057,7.15533,7.20145,7.24444,7.28465,7.32236,7.35783,7.39126,7.42284,7.45274,7.48109,7.50802,7.53365,7.55807,7.58137,7.60364,7.62495,7.64535,7.66492,7.6837
55902,0.316249,0.58569,0.822483,1.03748,1.23952,1.43655,1.63703,1.85221,2.1024,2.44453,5.2861,5.89713,6.19243,6.4104,6.58338,6.72609,6.84689,6.95106,7.04218,7.12282,7.19485,7.2597,7.31848,7.37208,7.4212,7.46643,7.50823,7.54702,7.58312,7.61683,7.64839,7.67802,7.70589,7.73216,7.75698,7.78048,7.80275,7.82391,7.84403,7.86319,7.88147,7.89893,7.91562,7.93159,7.94691,7.96159,7.9757,7.98925,8.0023,8.01485
21861,0.183961,0.35372,0.512297,0.662276,0.805895,0.945127,1.08175,1.21737,1.35349,1.49145,1.63243,1.77737,1.92691,2.08132,2.24058,2.40444,2.57256,2.74467,2.92054,3.0999,3.28223,3.46656,3.65128,3.83426,4.01308,4.18544,4.34955,4.5043,4.64926,4.78454,4.91053,5.02786,5.1372,5.23921,5.33457,5.42386,5.50763,5.58639,5.66057,5.73058,5.79676,5.85944,5.91889,5.97537,6.02912,6.08033,6.1292,6.17589,6.22054,6.26331
3173,0.297168,0.550711,0.772095,0.969932,1.15081,1.31992,1.48155,1.63951,1.79762,1.96028,2.13366,2.32854,2.56991,2.96164,5.86301,6.15364,6.35628,6.5168,6.65005,6.76374,6.86258,6.94973,7.0274,7.09726,7.16055,7.21826,7.27117,7.3199,7.36498,7.40684,7.44583,7.48227,7.51642,7.5485,7.57871,7.60721,7.63417,7.6597,7.68393,7.70696,7.72888,7.74978,7.76973,7.78879,7.80703,7.82451,7.84127,7.85735,7.87281,7.88768
2662,0.197102,0.373899,0.534,0.680368,0.815456,0.941301,1.05961,1.17183,1.2792,1.38281,1.48363,1.58258,1.68051,1.77834,1.877,1.97764,2.08166,2.19096,2.30838,2.43856,2.59032,2.78474,3.10837,5.83213,6.06284,6.22005,6.3475,6.45616,6.55123,6.63578,6.71188,6.78098,6.84419,6.90235,6.95615,7.00613,7.05274,7.09634,7.13727,7.17578,7.21211,7.24646,7.279,7.30988,7.33925,7.36722,7.39389,7.41937,7.44374,7.46707
30314,0.201638,0.382427,0.546316,0.696576,0.835942,0.966735,1.09097,1.21042,1.32676,1.44158,1.55655,1.67355,1.79488,1.92365,2.06469,2.22657,2.42843,2.73703,5.94504,6.20174,6.37174,6.50848,6.62401,6.72415,6.81242,6.89119,6.96216,7.02661,7.08551,7.13965,7.18964,7.236,7.27915,7.31945,7.35719,7.39264,7.42601,7.4575,7.48728,7.51549,7.54226,7.56771,7.59195,7.61506,7.63712,7.65821,7.6784,7.69775,7.71631,7.73413
30829,0.34837,0.638636,0.88845,1.11042,1.31383,1.50589,1.69275,1.88052,2.07684,2.29428,2.56212,3.01625,5.81362,6.13116,6.3531,6.52707,6.67006,6.79102,6.89539,6.98681,7.06782,7.14029,7.20564,7.26497,7.31914,7.36886,7.4147,7.45712,7.49653,7.53325,7.56758,7.59975,7.62997,7.65843,7.68529,7.71068,7.73473,7.75755,7.77924,7.79988,7.81956,7.83834,7.85628,7.87344,7.88989,7.90565,7.92078,7.93531,7.94929,7.96274
115,0.217517,0.410858,0.584819,0.743286,0.889424,1.02584,1.15472,1.27794,1.39714,1.51384,1.62948,1.7456,1.86389,1.98647,2.11627,2.25783,2.41929,2.6186,2.91534,5.51053,5.86956,6.07366,6.23271,6.36499,6.47856,6.57804,6.66642,6.7458,6.8177,6.8833,6.94351,6.99905,7.05051,7.09838,7.14307,7.1849,7.22419,7.26117,7.29606,7.32905,7.3603,7.38997,7.41817,7.44502,7.47063,7.49509,7.51847,7.54086,7.56231,7.58289
27767,0.23753,0.44678,0.633952,0.803987,0.960888,1.10795,1.24795,1.38336,1.51646,1.64956,1.78519,1.92651,2.078,2.24706,2.44858,2.72392,3.40364,5.6697,5.93563,6.13152,6.2897,6.42273,6.53739,6.63791,6.7272,6.8073,6.87976,6.94577,7.00626,7.06196,7.11348,7.16134,7.20593,7.24763,7.28672,7.32346,7.35808,7.39078,7.42171,7.45104,7.47888,7.50537,7.5306,7.55467,7.57766,7.59965,7.6207,7.64088,7.66025,7.67885
19562,0.219321,0.416702,0.597071,0.764458,0.922221,1.07322,1.21995,1.36473,1.50977,1.65732,1.80988,1.97037,2.14262,2.33197,2.54656,2.79923,3.10919,3.49315,3.91991,4.30242,4.60854,4.856,5.063,5.2408,5.39641,5.53446,5.65821,5.77009,5.87194,5.9652,6.05103,6.13037,6.20402,6.27262,6.33672,6.39679,6.45323,6.5064,6.55659,6.60407,6.64907,6.69179,6.73243,6.77113,6.80805,6.84332,6.87706,6.90936,6.94033,6.97005
19583,0.212271,0.401649,0.572702,0.729184,0.874213,1.01042,1.1401,1.2653,1.38794,1.50999,1.63355,1.76118,1.8963,2.04414,2.21415,2.42785,2.7662,5.92887,6.18449,6.3606,6.50234,6.6218,6.72507,6.81586,6.89669,6.96936,7.03523,7.09531,7.15044,7.20127,7.24834,7.29209,7.3329,7.37108,7.40689,7.44058,7.47233,7.50233,7.53073,7.55766,7.58324,7.60758,7.63077,7.6529,7.67404,7.69426,7.71363,7.7322,7.75002,7.76714
8838,0.29351,0.544367,0.763565,0.959352,1.138,1.30441,1.46253,1.61577,1.76732,1.92056,2.07979,2.25141,2.44733,2.69726,3.15245,5.78328,6.06546,6.26656,6.42687,6.56053,6.67499,6.7748,6.86304,6.94188,7.01295,7.07748,7.13642,7.19055,7.2405,7.28676,7.32979,7.36992,7.40747,7.4427,7.47584,7.50707,7.53657,7.5645,7.59097,7.61612,7.64004,7.66283,7.68457,7.70533,7.72519,7.74421,7.76244,7.77993,7.79673,7.81288
49303,0.216303,0.40853,0.581378,0.738634,0.883378,1.01814,1.145,1.26575,1.38189,1.49478,1.60567,1.71579,1.82642,1.939,2.05536,2.17795,2.31055,2.4596,2.63835,2.88386,3.50217,5.75282,5.97827,6.14613,6.28371,6.40103,6.50341,6.59417,6.67558,6.74927,6.81647,6.87813,6.935,6.98771,7.03674,7.08251,7.12538,7.16564,7.20356,7.23934,7.27318,7.30526,7.33571,7.36467,7.39225,7.41856,7.4437,7.46774,7.49076,7.51283
12228,0.246269,0.461902,0.653668,0.826882,0.985764,1.13371,1.27351,1.40752,1.53783,1.66642,1.79527,1.92665,2.06348,2.20999,2.37339,2.56853,2.83862,3.81686,5.81372,6.04757,6.22385,6.368,6.49032,6.59649,6.69013,6.77371,6.84901,6.91739,6.97987,7.0373,7.09032,7.13949,7.18525,7.22798,7.268,7.30558,7.34097,7.37435,7.40592,7.43583,7.46422,7.4912,7.5169,7.54139,7.56478,7.58715,7.60855,7.62906,7.64874,7.66763
39066,0.340715,0.62547,0.870929,1.08909,1.28885,1.47713,1.65979,1.84256,2.03226,2.23947,2.48658,2.85305,5.73434,6.09227,6.32566,6.50584,6.65285,6.77664,6.88311,6.97615,7.05844,7.13196,7.19818,7.25823,7.31302,7.36327,7.40957,7.45239,7.49216,7.5292,7.56381,7.59623,7.62668,7.65535,7.6824,7.70796,7.73217,7.75514,7.77697,7.79773,7.81752,7.83641,7.85445,7.87171,7.88824,7.90408,7.91929,7.9339,7.94794,7.96146
38555,0.221967,0.418466,0.594539,0.754226,0.900792,1.0369,1.16473,1.28613,1.40266,1.51572,1.62656,1.73643,1.84662,1.95859,2.07417,2.19584,2.32745,2.47568,2.65463,2.90651,5.56684,6.01433,6.20173,6.34714,6.46849,6.57313,6.66515,6.74722,6.82117,6.88835,6.9498,7.00634,7.0586,7.10713,7.15234,7.19461,7.23426,7.27153,7.30666,7.33985,7.37126,7.40106,7.42936,7.4563,7.48197,7.50647,7.52988,7.55228,7.57375,7.59433
19106,0.247629,0.464316,0.656928,0.830846,0.990336,1.13882,1.2791,1.41356,1.54428,1.67322,1.80238,1.93401,2.071,2.21755,2.38075,2.57518,2.84248,3.63135,5.76112,6.00372,6.18492,6.33252,6.45748,6.56578,6.66119,6.74626,6.82286,6.89238,6.95588,7.01421,7.06805,7.11796,7.1644,7.20776,7.24835,7.28648,7.32236,7.35621,7.38822,7.41854,7.44731,7.47467,7.5007,7.52553,7.54923,7.57189,7.59358,7.61436,7.63429,7.65343
29861,0.285195,0.531195,0.748618,0.945763,1.12938,1.30534,1.47931,1.65771,1.84934,2.06994,2.35992,3.01759,6.07388,6.33322,6.52645,6.68153,6.81069,6.92087,7.0165,7.10063,7.17543,7.24252,7.30315,7.35829,7.40872,7.45505,7.49781,7.53743,7.57426,7.60861,7.64074,7.67086,7.69918,7.72586,7.75105,7.77487,7.79745,7.81887,7.83924,7.85863,7.87712,7.89477,7.91163,7.92778,7.94324,7.95807,7.9723,7.98598,7.99913,8.0118
34986,0.295318,0.547776,0.768573,0.966108,1.14678,1.3156,1.47667,1.63355,1.78973,1.94904,2.11658,2.30064,2.51807,2.81929,5.17962,5.80103,6.0608,6.25539,6.41276,6.5449,6.65853,6.75791,6.84595,6.92475,6.99586,7.06049,7.11957,7.17388,7.22401,7.27048,7.3137,7.35405,7.39181,7.42725,7.46059,7.49202,7.52173,7.54985,7.57651,7.60185,7.62595,7.64892,7.67083,7.69176,7.71179,7.73097,7.74935,7.76699,7.78394,7.80024
2735,0.235843,0.443718,0.629808,0.799109,0.955718,1.1031,1.2443,1.38217,1.51959,1.65984,1.80714,1.96784,2.15356,2.39274,2.82407,6.18514,6.40373,6.56717,6.70066,6.81369,6.91151,6.99749,7.07396,7.14262,7.20474,7.26132,7.31314,7.36084,7.40493,7.44585,7.48395,7.51954,7.55288,7.58418,7.61365,7.64145,7.66773,7.69262,7.71624,7.73867,7.76003,7.78038,7.79981,7.81837,7.83613,7.85314,7.86945,7.88511,7.90015,7.91461
31927,0.235749,0.443119,0.62808,0.795359,0.94873,1.09124,1.22539,1.35325,1.47663,1.59716,1.71637,1.83586,1.95743,2.08334,2.21677,2.36281,2.53093,2.74336,3.08798,5.62984,5.92261,6.11621,6.2698,6.39844,6.5093,6.60665,6.69329,6.77121,6.84187,6.9064,6.96565,7.02035,7.07106,7.11825,7.16231,7.20358,7.24234,7.27884,7.31329,7.34587,7.37673,7.40604,7.4339,7.46044,7.48574,7.50991,7.53303,7.55515,7.57636,7.59672
29374,0.239407,0.449505,0.636544,0.805462,0.960191,1.10391,1.23921,1.36828,1.49302,1.61515,1.73635,1.85839,1.98333,2.11392,2.25419,2.41107,2.59896,2.86012,5.30054,5.96988,6.17619,6.33465,6.46571,6.57783,6.67578,6.76261,6.84045,6.91084,6.97496,7.03372,7.08786,7.13797,7.18452,7.22792,7.26853,7.30661,7.34243,7.3762,7.4081,7.4383,7.46694,7.49415,7.52005,7.54472,7.56827,7.59077,7.6123,7.63292,7.65269,7.67168
41151,0.237412,0.446241,0.63259,0.801294,0.956212,1.10047,1.23665,1.36692,1.49317,1.61717,1.74065,1.86547,1.99387,2.12887,2.27509,2.4407,2.64369,2.9431,5.42943,5.82357,6.04098,6.20884,6.34754,6.46604,6.56942,6.66096,6.74294,6.81701,6.88444,6.9462,7.00307,7.05568,7.10455,7.15009,7.19269,7.23263,7.27019,7.30559,7.33903,7.37068,7.4007,7.42921,7.45634,7.48219,7.50686,7.53043,7.55297,7.57457,7.59528,7.61516
7875,0.204579,0.387601,0.553089,0.704324,0.844012,0.974391,1.09734,1.21445,1.32712,1.43657,1.54394,1.65034,1.75689,1.86484,1.97565,2.09125,2.21436,2.34929,2.50376,2.69466,2.97592,5.27619,5.72663,5.93864,6.1013,6.23602,6.35159,6.45287,6.54295,6.62397,6.69747,6.76463,6.82636,6.88339,6.93631,6.98561,7.03169,7.07489,7.11551,7.1538,7.18997,7.2242,7.25668,7.28753,7.3169,7.34489,7.37161,7.39715,7.42159,7.44501
56217,0.306526,0.568291,0.798014,1.00533,1.19779,1.38171,1.5629,1.74755,1.94368,2.16471,2.44163,2.91115,5.54232,5.91251,6.16308,6.3568,6.51464,6.64733,6.76129,6.86073,6.94859,7.027,7.09756,7.16151,7.21982,7.27327,7.3225,7.36802,7.41027,7.44962,7.48637,7.5208,7.55313,7.58357,7.61227,7.63941,7.6651,7.68947,7.71263,7.73467,7.75566,7.7757,7.79484,7.81316,7.83069,7.84751,7.86364,7.87914,7.89404,7.90838
33493,0.299357,0.554478,0.776965,0.975468,1.15654,1.32526,1.48575,1.64155,1.79602,1.95286,2.11682,2.29543,2.50356,2.78299,3.60345,5.87837,6.13173,6.32075,6.47362,6.60206,6.71257,6.80928,6.89498,6.97172,7.041,7.10398,7.16157,7.21451,7.26339,7.30871,7.35087,7.39022,7.42706,7.46163,7.49416,7.52484,7.55382,7.58126,7.60728,7.63201,7.65553,7.67794,7.69933,7.71976,7.7393,7.75801,7.77596,7.79318,7.80972,7.82562
11483,0.198287,0.376442,0.538196,0.686633,0.824325,0.953438,1.07583,1.19312,1.30677,1.41813,1.52853,1.63935,1.75212,1.86873,1.99164,2.12452,2.2735,2.45066,2.68758,3.16146,5.73133,5.97148,6.1464,6.28878,6.40967,6.51481,6.60776,6.69092,6.76603,6.83438,6.89699,6.95465,7.00799,7.05755,7.10376,7.14699,7.18754,7.22568,7.26164,7.29563,7.32781,7.35833,7.38734,7.41495,7.44127,7.46639,7.4904,7.51338,7.5354,7.55652
13181,0.209064,0.395749,0.564341,0.718335,0.860599,0.993515,1.11907,1.23899,1.35475,1.46771,1.57917,1.6904,1.80279,1.91795,2.03794,2.16567,2.30573,2.46642,2.66616,2.96615,5.33349,5.73381,5.94819,6.11372,6.25088,6.36845,6.47134,6.56273,6.64481,6.71917,6.78703,6.84934,6.90683,6.96013,7.00973,7.05604,7.09943,7.14019,7.17857,7.21481,7.24908,7.28157,7.31241,7.34175,7.3697,7.39637,7.42184,7.4462,7.46953,7.4919
55545,0.22122,0.417308,0.593262,0.753102,0.900081,1.03685,1.16562,1.28822,1.40627,1.52118,1.6343,1.74694,1.86052,1.97671,2.09765,2.22642,2.36801,2.53169,2.7395,3.07954,5.67554,5.95097,6.1347,6.28137,6.40481,6.51163,6.60577,6.6898,6.76557,6.83445,6.89747,6.95547,7.00909,7.05888,7.10528,7.14867,7.18935,7.22761,7.26368,7.29775,7.33001,7.3606,7.38966,7.41732,7.44368,7.46884,7.49289,7.51589,7.53794,7.55908
43770,0.296599,0.55024,0.772283,0.971243,1.15364,1.32459,1.48833,1.64863,1.80926,1.97458,2.15072,2.3483,2.59141,2.97146,5.44914,5.83147,6.07526,6.26315,6.4168,6.5466,6.65865,6.75692,6.84415,6.92234,6.99299,7.05727,7.11609,7.17018,7.22015,7.26649,7.30962,7.34989,7.38759,7.42299,7.4563,7.48772,7.51741,7.54553,7.5722,7.59754,7.62166,7.64464,7.66657,7.68753,7.70757,7.72677,7.74518,7.76285,7.77983,7.79615
44159,0.235483,0.442677,0.627535,0.794774,0.948162,1.09074,1.22501,1.35306,1.47669,1.59753,1.71715,1.83715,1.95937,2.08613,2.2207,2.36837,2.53906,2.7565,3.11932,5.62351,5.91134,6.10507,6.25914,6.38827,6.49959,6.59736,6.68438,6.76264,6.83362,6.89842,6.95794,7.01288,7.06381,7.1112,7.15546,7.19691,7.23584,7.2725,7.3071,7.33981,7.37081,7.40024,7.42823,7.45488,7.48029,7.50457,7.52778,7.55,7.5713,7.59174
37640,0.271744,0.507081,0.71528,0.903638,1.07809,1.24371,1.40519,1.56748,1.73663,1.92182,2.14101,2.44794,6.10902,6.41962,6.61379,6.7663,6.89226,6.99925,7.09186,7.17318,7.24538,7.31007,7.36849,7.42157,7.47009,7.51465,7.55575,7.59382,7.6292,7.66218,7.69302,7.72193,7.7491,7.77469,7.79884,7.82168,7.84332,7.86385,7.88337,7.90195,7.91965,7.93656,7.95271,7.96816,7.98297,7.99716,8.01079,8.02387,8.03646,8.04858
22284,0.344415,0.632547,0.881671,1.10429,1.30979,1.50573,1.69888,1.89663,2.10922,2.35632,2.69749,5.43019,5.92817,6.20211,6.40696,6.57111,6.70759,6.82387,6.9247,7.01334,7.0921,7.16271,7.2265,7.28449,7.33751,7.38622,7.43116,7.4728,7.5115,7.54759,7.58134,7.61298,7.64273,7.67075,7.6972,7.72222,7.74593,7.76843,7.78982,7.81018,7.82959,7.84812,7.86583,7.88278,7.89902,7.91459,7.92953,7.94389,7.95771,7.971
26397,0.251243,0.470332,0.664384,0.838948,0.998384,1.14616,1.28509,1.41749,1.54536,1.67052,1.79472,1.91985,2.04813,2.18257,2.32778,2.49199,2.69341,2.9943,5.65842,5.98272,6.18053,6.33574,6.46504,6.57606,6.67327,6.75958,6.83705,6.90717,6.97109,7.02971,7.08374,7.13377,7.18027,7.22364,7.26422,7.3023,7.33812,7.37189,7.40381,7.43402,7.46269,7.48992,7.51584,7.54054,7.56412,7.58665,7.60821,7.62886,7.64867,7.66768
25886,0.200708,0.380766,0.54407,0.693844,0.832787,0.963186,1.08702,1.20605,1.3219,1.43612,1.55032,1.6663,1.78621,1.91294,2.05082,2.20734,2.39829,2.67174,5.74718,6.10449,6.28973,6.43549,6.55748,6.66262,6.75493,6.83708,6.91093,6.97787,7.03896,7.09503,7.14676,7.19469,7.23926,7.28086,7.3198,7.35635,7.39074,7.42318,7.45385,7.48289,7.51044,7.53663,7.56155,7.58531,7.60799,7.62967,7.65042,7.6703,7.68936,7.70767
17695,0.245833,0.4612,0.65283,0.82601,0.984939,1.13299,1.27294,1.40715,1.53767,1.66645,1.79547,1.92697,2.06378,2.21001,2.37254,2.56528,2.82661,3.45132,5.67533,5.93408,6.12384,6.27731,6.4067,6.51853,6.61684,6.70437,6.78309,6.85444,6.91957,6.97935,7.0345,7.08559,7.13311,7.17746,7.21897,7.25793,7.2946,7.32918,7.36187,7.39283,7.42221,7.45012,7.4767,7.50203,7.52621,7.54933,7.57145,7.59264,7.61297,7.63249
6790,0.212904,0.402507,0.573304,0.728937,0.872379,1.00608,1.13208,1.25209,1.36763,1.48002,1.59049,1.70028,1.81065,1.92306,2.0393,2.16185,2.29443,2.44346,2.62205,2.86638,3.44989,5.71371,5.94528,6.11642,6.2563,6.37541,6.47924,6.57123,6.65368,6.72828,6.79629,6.85867,6.9162,6.96949,7.01906,7.06533,7.10866,7.14935,7.18766,7.22381,7.258,7.2904,7.32116,7.35041,7.37827,7.40484,7.43023,7.4545,7.47775,7.50003
33071,0.235848,0.444563,0.632558,0.805137,0.966846,1.12181,1.27409,1.42825,1.59023,1.76945,1.98487,2.29431,5.90462,6.25158,6.46517,6.6316,6.76831,6.88395,6.98374,7.07113,7.14857,7.21784,7.28031,7.33701,7.38877,7.43628,7.48007,7.52061,7.55825,7.59334,7.62612,7.65685,7.68572,7.7129,7.73855,7.76281,7.78578,7.80757,7.82828,7.848,7.86679,7.88472,7.90185,7.91825,7.93395,7.949,7.96345,7.97733,7.99067,8.00352
50996,0.241841,0.454214,0.643562,0.814967,0.972488,1.11941,1.25843,1.39188,1.52179,1.65011,1.77884,1.91022,2.04713,2.19379,2.35728,2.55211,2.81937,3.54713,5.71271,5.96261,6.14804,6.29867,6.42599,6.53621,6.63323,6.71968,6.79749,6.86806,6.93251,6.99169,7.0463,7.09691,7.144,7.18795,7.2291,7.26773,7.30409,7.33839,7.37082,7.40153,7.43068,7.45838,7.48475,7.50989,7.53389,7.55684,7.5788,7.59984,7.62002,7.6394
