model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2883,0.223655,0.421881,0.599876,0.761831,0.911146,1.05062,1.18262,1.30913,1.43198,1.55283,1.67336,1.79538,1.92105,2.05321,2.19615,2.35725,2.55196,2.82599,4.18663,5.78047,6.00937,6.18281,6.32515,6.44629,6.55169,6.64485,6.72816,6.80334,6.87172,6.93429,6.99187,7.0451,7.09451,7.14055,7.18359,7.22393,7.26185,7.29758,7.33132,7.36325,7.39353,7.42228,7.44963,7.47568,7.50055,7.5243,7.54702,7.56878,7.58964,7.60966
46919,0.21216,0.401498,0.572539,0.728986,0.873897,1.00984,1.139,1.26332,1.38456,1.50442,1.62466,1.74725,1.87459,2.01,2.15857,2.32953,2.54355,2.87265,5.45578,5.81111,6.02665,6.19483,6.33431,6.45365,6.55784,6.65012,6.73277,6.80744,6.87541,6.93766,6.99497,7.04797,7.0972,7.14307,7.18596,7.22618,7.264,7.29963,7.33329,7.36515,7.39535,7.42404,7.45134,7.47734,7.50216,7.52587,7.54855,7.57028,7.59111,7.6111
36176,0.194382,0.369321,0.528373,0.674504,0.810207,0.937603,1.05853,1.17461,1.28735,1.39818,1.50853,1.61997,1.73432,1.85392,1.98207,2.12402,2.28958,2.50205,2.85756,5.96186,6.18975,6.35198,6.48418,6.59663,6.69456,6.78121,6.85877,6.92885,6.99263,7.05104,7.10483,7.15458,7.2008,7.24387,7.28415,7.32192,7.35744,7.39091,7.42253,7.45246,7.48084,7.50779,7.53344,7.55788,7.5812,7.60348,7.6248,7.64522,7.6648,7.68359
2388,0.263796,0.492939,0.695678,0.878411,1.04617,1.20301,1.3523,1.49697,1.63979,1.78364,1.9319,2.08926,2.26342,2.47008,2.7552,5.11483,5.88154,6.12123,6.30252,6.45031,6.57519,6.68313,6.77794,6.86224,6.93793,7.00643,7.06884,7.12603,7.1787,7.22741,7.27264,7.31478,7.35417,7.39108,7.42577,7.45845,7.48929,7.51847,7.54611,7.57235,7.5973,7.62106,7.64372,7.66535,7.68604,7.70583,7.7248,7.743,7.76048,7.77728
48469,0.22303,0.42095,0.598902,0.761028,0.910687,1.05064,1.18321,1.31037,1.43388,1.55537,1.67645,1.79885,1.9246,2.05633,2.19788,2.35567,2.54227,2.7901,3.26592,5.39031,5.69915,5.911,6.0791,6.21954,6.34028,6.44607,6.54004,6.62442,6.70083,6.77051,6.83444,6.89339,6.94799,6.99877,7.04616,7.09052,7.13216,7.17134,7.20831,7.24326,7.27637,7.30779,7.33765,7.36609,7.39321,7.4191,7.44385,7.46754,7.49025,7.51204
50016,0.326068,0.600759,0.838804,1.05094,1.2452,1.42783,1.60404,1.7787,1.95722,2.147,2.3613,2.63299,3.14079,5.76101,6.06721,6.28465,6.45634,6.59822,6.71876,6.82317,6.91491,6.99644,7.06957,7.13567,7.19581,7.25083,7.30142,7.34814,7.39145,7.43175,7.46935,7.50454,7.53757,7.56863,7.59791,7.62557,7.65175,7.67657,7.70014,7.72256,7.74392,7.76429,7.78375,7.80236,7.82017,7.83724,7.85362,7.86935,7.88447,7.89902
53090,0.211363,0.399688,0.569376,0.723998,0.866469,0.999188,1.12416,1.24307,1.35737,1.46837,1.57726,1.68519,1.79337,1.90311,2.01604,2.13432,2.26109,2.40155,2.56565,2.77773,3.14514,5.68433,5.94186,6.11909,6.26165,6.38221,6.4869,6.57942,6.66222,6.73703,6.80516,6.86761,6.92516,6.97845,7.028,7.07422,7.1175,7.15812,7.19636,7.23244,7.26656,7.29888,7.32955,7.35872,7.3865,7.41299,7.43829,7.46249,7.48566,7.50786
9573,0.263226,0.491881,0.694108,0.876202,1.04309,1.19869,1.34621,1.48838,1.62768,1.76651,1.90754,2.0541,2.21102,2.38662,2.59858,2.90197,5.15415,5.7089,5.96058,6.15025,6.30458,6.43492,6.54757,6.64655,6.7346,6.81371,6.88536,6.95068,7.01059,7.0658,7.11691,7.1644,7.20867,7.25009,7.28893,7.32546,7.35988,7.3924,7.42318,7.45236,7.48008,7.50645,7.53157,7.55554,7.57844,7.60035,7.62133,7.64144,7.66074,7.67928
12650,0.22435,0.422796,0.600535,0.761725,0.909718,1.04725,1.17655,1.29952,1.41778,1.53274,1.64576,1.75813,1.87128,1.9868,2.10681,2.23425,2.3739,2.53453,2.73656,3.05747,5.70966,5.98689,6.16844,6.31314,6.43492,6.54032,6.63321,6.71615,6.79095,6.85896,6.92119,6.97846,7.03142,7.08059,7.12643,7.16929,7.20949,7.24729,7.28292,7.31658,7.34845,7.37868,7.4074,7.43473,7.46078,7.48564,7.5094,7.53214,7.55392,7.57481
38771,0.284728,0.529858,0.745693,0.94013,1.11936,1.28844,1.45173,1.61335,1.77775,1.95056,2.14055,2.3652,2.67604,5.27051,5.86478,6.12632,6.32269,6.48123,6.61402,6.72789,6.82723,6.91501,6.99339,7.06398,7.12801,7.18644,7.24005,7.28946,7.33519,7.37767,7.41727,7.45428,7.48898,7.52159,7.5523,7.58129,7.60871,7.6347,7.65936,7.6828,7.70512,7.7264,7.74672,7.76614,7.78473,7.80253,7.81961,7.83601,7.85177,7.86692
8298,0.272645,0.508602,0.716944,0.904674,1.07728,1.23921,1.39419,1.54558,1.69671,1.8513,2.01429,2.19348,2.4045,2.69212,3.76124,5.89299,6.14101,6.32757,6.47898,6.60643,6.71623,6.8124,6.89768,6.97407,7.04306,7.1058,7.16319,7.21595,7.26467,7.30985,7.35189,7.39114,7.42788,7.46236,7.49481,7.52541,7.55433,7.58171,7.60768,7.63235,7.65582,7.67819,7.69954,7.71993,7.73944,7.75812,7.77604,7.79323,7.80974,7.82562
19833,0.29852,0.553234,0.775676,0.974467,1.15615,1.32586,1.48776,1.6455,1.80263,1.96315,2.13245,2.31944,2.54301,2.86464,5.49793,5.91135,6.15072,6.33382,6.48326,6.60944,6.71836,6.81387,6.89867,6.97469,7.04339,7.10589,7.16309,7.2157,7.26431,7.30939,7.35134,7.39052,7.4272,7.46164,7.49405,7.52461,7.5535,7.58086,7.60681,7.63146,7.65493,7.67729,7.69862,7.71901,7.73851,7.75719,7.7751,7.79229,7.80881,7.82469
2428,0.216627,0.409378,0.582979,0.741258,0.887332,1.02377,1.15272,1.276,1.39522,1.51184,1.62724,1.74285,1.86024,1.9813,2.10858,2.24584,2.39944,2.58205,2.82696,3.32064,5.47636,5.75817,5.95607,6.11461,6.2479,6.36306,6.46435,6.55464,6.63594,6.70974,6.77721,6.83923,6.89652,6.94968,6.9992,7.04546,7.08883,7.12959,7.168,7.20427,7.23859,7.27114,7.30205,7.33146,7.35948,7.38622,7.41177,7.43622,7.45963,7.48209
5501,0.309785,0.573077,0.802682,1.00809,1.1965,1.37355,1.54392,1.71192,1.88202,2.05991,2.25448,2.48368,2.8013,4.99146,5.7124,5.99605,6.20596,6.37422,6.51455,6.63454,6.73899,6.83115,6.91335,6.9873,7.05433,7.11546,7.17151,7.22315,7.27093,7.3153,7.35665,7.39529,7.4315,7.46553,7.49757,7.52782,7.55642,7.58352,7.60923,7.63368,7.65695,7.67914,7.70032,7.72057,7.73994,7.7585,7.7763,7.7934,7.80982,7.82562
7555,0.22869,0.431356,0.613811,0.780843,0.936512,1.08439,1.22783,1.37028,1.51574,1.66959,1.84051,2.04613,2.34016,6.15865,6.44462,6.62519,6.76862,6.88814,6.99039,7.07941,7.15796,7.22801,7.29101,7.34808,7.4001,7.44777,7.49166,7.53224,7.56989,7.60495,7.6377,7.66836,7.69716,7.72425,7.74981,7.77396,7.79683,7.81851,7.83912,7.85872,7.8774,7.89522,7.91224,7.92852,7.94411,7.95905,7.97339,7.98716,8.00041,8.01315
32134,0.207157,0.392446,0.560077,0.713504,0.855583,0.988696,1.11488,1.2359,1.35333,1.46868,1.5834,1.69905,1.81741,1.94071,2.07208,2.21642,2.38264,2.59078,2.91075,5.46093,5.80913,6.01785,6.18099,6.31667,6.43312,6.53505,6.62556,6.70681,6.78037,6.84746,6.909,6.96575,7.01832,7.06721,7.11283,7.15553,7.19562,7.23335,7.26894,7.30259,7.33446,7.36471,7.39347,7.42084,7.44695,7.47187,7.4957,7.51852,7.54038,7.56135
46479,0.206678,0.391894,0.560067,0.714933,0.859717,0.997315,1.13047,1.26197,1.39502,1.53375,1.6844,1.85841,2.0836,2.49337,6.48005,6.66684,6.81018,6.92866,7.02964,7.1174,7.19475,7.26365,7.32558,7.38166,7.43275,7.47955,7.52263,7.56244,7.59938,7.63377,7.66588,7.69594,7.72417,7.75072,7.77577,7.79943,7.82184,7.84308,7.86326,7.88246,7.90075,7.9182,7.93487,7.95081,7.96607,7.9807,7.99474,8.00822,8.02118,8.03365
41875,0.212452,0.401604,0.571918,0.727006,0.869817,1.00277,1.12788,1.24685,1.36112,1.47201,1.58069,1.68831,1.79604,1.90517,2.01729,2.13444,2.25962,2.3977,2.55782,2.76156,3.09429,5.65112,5.92607,6.10738,6.25206,6.37399,6.47967,6.57294,6.65633,6.73162,6.80015,6.86294,6.92079,6.97433,7.02409,7.07052,7.11397,7.15475,7.19313,7.22934,7.26357,7.29599,7.32677,7.35603,7.38389,7.41046,7.43584,7.4601,7.48333,7.5056
10132,0.263898,0.493952,0.698805,0.88538,1.05943,1.22605,1.39017,1.55734,1.73492,1.93522,2.18582,2.5999,6.0228,6.30531,6.50694,6.66685,6.7992,6.91166,7.00899,7.09442,7.17026,7.23819,7.2995,7.35521,7.40611,7.45286,7.49597,7.53589,7.57299,7.60757,7.6399,7.67021,7.69869,7.72551,7.75083,7.77477,7.79745,7.81897,7.83943,7.8589,7.87746,7.89518,7.91211,7.92831,7.94382,7.9587,7.97298,7.9867,7.99989,8.01259
36249,0.224639,0.423666,0.602336,0.76487,0.914697,1.05463,1.18701,1.31387,1.43698,1.55802,1.67862,1.80058,1.92598,2.05761,2.1996,2.35903,2.55052,2.81605,3.60051,5.73629,5.97326,6.1507,6.29571,6.41884,6.52584,6.62032,6.70474,6.7809,6.85013,6.91347,6.97174,7.0256,7.07558,7.12215,7.16567,7.20646,7.2448,7.28093,7.31504,7.34732,7.37791,7.40697,7.43462,7.46095,7.48608,7.51008,7.53304,7.55503,7.57611,7.59634
37273,0.208697,0.394844,0.562684,0.715668,0.856621,0.987871,1.11135,1.22871,1.34136,1.45054,1.55739,1.663,1.76849,1.87506,1.98414,2.09756,2.21793,2.34932,2.49907,2.68317,2.95314,5.60915,5.95253,6.13753,6.28234,6.40364,6.50849,6.60089,6.68343,6.75792,6.8257,6.88778,6.94495,6.99787,7.04705,7.09292,7.13585,7.17615,7.21407,7.24983,7.28365,7.31568,7.34608,7.37498,7.4025,7.42874,7.45381,7.47777,7.50071,7.5227
46492,0.210364,0.397979,0.567195,0.721539,0.863901,0.996665,1.12182,1.24105,1.35581,1.46742,1.57707,1.68596,1.7953,1.9065,2.02123,2.1418,2.2716,2.41633,2.58712,2.8123,3.23359,5.60657,5.86717,6.0498,6.19686,6.32114,6.42899,6.52422,6.60938,6.68628,6.75628,6.82042,6.8795,6.93418,6.98501,7.03242,7.07679,7.11844,7.15763,7.19461,7.22956,7.26267,7.2941,7.32397,7.35242,7.37955,7.40546,7.43023,7.45395,7.47668
55197,0.259295,0.485017,0.685172,0.866067,1.03277,1.18947,1.33982,1.48723,1.63521,1.78794,1.95117,2.13462,2.3597,2.70425,6.08832,6.34848,6.52971,6.67471,6.79597,6.89998,6.99077,7.07106,7.14281,7.20746,7.26614,7.31971,7.36888,7.41422,7.45619,7.49519,7.53155,7.56555,7.59742,7.62738,7.6556,7.68224,7.70744,7.73131,7.75398,7.77553,7.79604,7.8156,7.83428,7.85213,7.86921,7.88558,7.90127,7.91635,7.93083,7.94476
15272,0.320127,0.591261,0.827574,1.03957,1.23529,1.42123,1.60314,1.78689,1.97977,2.19351,2.45386,2.85999,5.56916,5.94853,6.19741,6.38886,6.5446,6.67545,6.7878,6.88584,6.97246,7.04978,7.11937,7.18244,7.23996,7.29268,7.34125,7.38616,7.42785,7.46667,7.50294,7.53692,7.56882,7.59886,7.62719,7.65397,7.67933,7.70338,7.72624,7.74799,7.76871,7.78849,7.80738,7.82546,7.84277,7.85936,7.87529,7.89058,7.90529,7.91945
16811,0.291818,0.541979,0.761492,0.958737,1.14023,1.31125,1.47635,1.63984,1.80638,1.98206,2.17668,2.41107,2.75624,5.7268,6.0784,6.30346,6.47805,6.62121,6.74229,6.84683,6.93849,7.01981,7.09265,7.15841,7.21819,7.27284,7.32306,7.3694,7.41234,7.45227,7.48952,7.52437,7.55706,7.5878,7.61677,7.64412,7.67001,7.69455,7.71785,7.74001,7.76111,7.78123,7.80045,7.81883,7.83642,7.85327,7.86944,7.88497,7.89989,7.91425
3501,0.228354,0.429944,0.610232,0.773578,0.923483,1.06279,1.19384,1.31859,1.43874,1.55579,1.67117,1.78632,1.9028,2.02251,2.14799,2.28308,2.43436,2.61542,2.86542,3.69053,5.9321,6.1376,6.29437,6.42403,6.53511,6.63231,6.71863,6.79613,6.86634,6.93039,6.98918,7.04341,7.09366,7.1404,7.18404,7.2249,7.26326,7.29938,7.33345,7.36568,7.3962,7.42518,7.45272,7.47896,7.50397,7.52786,7.55069,7.57256,7.59351,7.61362
16817,0.285779,0.531174,0.74647,0.939474,1.11621,1.28144,1.43913,1.59275,1.74567,1.90162,2.06548,2.24501,2.4556,2.74122,3.71116,5.89695,6.14617,6.33323,6.48486,6.6124,6.72222,6.81835,6.90358,6.9799,7.04881,7.11147,7.16877,7.22145,7.27009,7.31519,7.35715,7.39631,7.43298,7.46739,7.49977,7.5303,7.55915,7.58646,7.61237,7.63698,7.66039,7.6827,7.70399,7.72433,7.74379,7.76242,7.78028,7.79743,7.81389,7.82973
51123,0.204135,0.387084,0.553053,0.705565,0.847633,0.981894,1.11075,1.23653,1.36164,1.48888,1.62183,1.76589,1.93051,2.13708,2.4661,6.45778,6.64837,6.78902,6.90492,7.00383,7.08998,7.16608,7.23404,7.29526,7.35081,7.40152,7.44806,7.49097,7.53069,7.5676,7.60201,7.63418,7.66434,7.69269,7.71939,7.7446,7.76844,7.79103,7.81248,7.83286,7.85227,7.87078,7.88845,7.90533,7.9215,7.93698,7.95183,7.96609,7.97979,7.99297
15796,0.283453,0.526677,0.739629,0.929829,1.10303,1.26371,1.41545,1.56125,1.7038,1.84571,1.98992,2.14025,2.30251,2.48748,2.72134,3.12412,5.80776,6.08178,6.275,6.42935,6.55847,6.66939,6.76641,6.8524,6.92943,6.99902,7.06232,7.12026,7.17356,7.22281,7.26851,7.31106,7.3508,7.38803,7.423,7.45592,7.48699,7.51636,7.54419,7.57059,7.59569,7.61958,7.64236,7.66411,7.68489,7.70479,7.72384,7.74212,7.75967,7.77653
38840,0.20849,0.395082,0.564083,0.719023,0.862831,0.997963,1.12653,1.25039,1.37123,1.49069,1.61044,1.7323,1.85849,1.99196,2.13709,2.30137,2.50006,2.7756,3.43215,5.42336,5.70987,5.91595,6.0815,6.22061,6.34058,6.44589,6.53958,6.62376,6.70004,6.76965,6.83352,6.89244,6.94703,6.9978,7.04519,7.08955,7.13119,7.17039,7.20737,7.24233,7.27545,7.30688,7.33676,7.36521,7.39234,7.41824,7.44301,7.46672,7.48944,7.51124
14265,0.312565,0.578064,0.809939,1.01831,1.21109,1.39482,1.57557,1.75984,1.95627,2.18002,2.46964,3.09531,6.04766,6.31354,6.51015,6.66742,6.79814,6.90952,7.00611,7.09102,7.16648,7.23414,7.29526,7.35083,7.40164,7.44832,7.49139,7.53129,7.56838,7.60296,7.6353,7.66562,7.69413,7.72098,7.74632,7.77029,7.793,7.81456,7.83505,7.85456,7.87315,7.8909,7.90787,7.9241,7.93965,7.95456,7.96887,7.98263,7.99585,8.00858
57274,0.353749,0.64893,0.904119,1.13268,1.34465,1.54821,1.75101,1.96192,2.19482,2.48103,2.96096,5.57906,5.95853,6.21449,6.41132,6.57099,6.7047,6.81917,6.91876,7.00653,7.08468,7.15486,7.21834,7.27611,7.32899,7.3776,7.42249,7.4641,7.5028,7.5389,7.57268,7.60437,7.63417,7.66224,7.68876,7.71384,7.73762,7.76019,7.78165,7.80209,7.82157,7.84018,7.85797,7.87499,7.8913,7.90694,7.92196,7.93639,7.95027,7.96364
56764,0.215861,0.407923,0.580866,0.738481,0.883856,1.01953,1.14764,1.26997,1.38812,1.50351,1.6175,1.73146,1.8469,1.96562,2.08999,2.22348,2.37186,2.54633,2.77515,3.19589,5.57724,5.85066,6.04089,6.19338,6.32178,6.43284,6.53065,6.61791,6.69655,6.76799,6.83333,6.89343,6.94898,7.00054,7.04858,7.09348,7.13559,7.17517,7.21247,7.24771,7.28106,7.31268,7.34273,7.37132,7.39856,7.42456,7.44941,7.47318,7.49596,7.5178
56771,0.23701,0.445884,0.63288,0.803035,0.960484,1.1087,1.25074,1.38943,1.52762,1.66852,1.81621,1.9767,2.16077,2.39348,2.77829,5.97,6.22832,6.41263,6.56071,6.68488,6.79163,6.885,6.96771,7.04175,7.10858,7.16932,7.22485,7.27589,7.32302,7.3667,7.40733,7.44525,7.48075,7.51406,7.5454,7.57495,7.60287,7.6293,7.65436,7.67817,7.70082,7.72241,7.743,7.76267,7.78149,7.79951,7.81678,7.83336,7.84928,7.86459
9668,0.210921,0.398958,0.568515,0.72317,0.865858,0.999008,1.12466,1.24456,1.36023,1.47305,1.58433,1.6954,1.80767,1.92281,2.043,2.1713,2.31272,2.47651,2.6845,3.02221,5.69595,5.96881,6.15083,6.29635,6.41894,6.52509,6.61866,6.70221,6.77755,6.84604,6.90872,6.9664,7.01973,7.06925,7.1154,7.15856,7.19903,7.23708,7.27295,7.30684,7.33892,7.36935,7.39826,7.42577,7.45198,7.47701,7.50092,7.52381,7.54573,7.56676
7112,0.275554,0.513741,0.723836,0.912944,1.0866,1.2492,1.40441,1.55542,1.70529,1.8573,2.01555,2.1861,2.37984,2.6223,3.01645,5.45124,5.8111,6.0459,6.22835,6.3784,6.50575,6.6161,6.71319,6.79962,6.87729,6.94763,7.01175,7.07053,7.12469,7.1748,7.22133,7.2647,7.30525,7.34326,7.37898,7.41264,7.44441,7.47447,7.50296,7.53001,7.55573,7.58022,7.60358,7.62588,7.64721,7.66763,7.6872,7.70597,7.724,7.74133
26570,0.242728,0.455662,0.645298,0.816756,0.974108,1.12064,1.25905,1.39163,1.5204,1.64723,1.77402,1.9029,2.03651,2.17862,2.3354,2.51898,2.76103,3.24705,5.75541,6.00816,6.19166,6.34005,6.46529,6.57364,6.66898,6.75395,6.8304,6.89976,6.9631,7.02126,7.07494,7.1247,7.17098,7.21419,7.25464,7.29263,7.32838,7.36211,7.39399,7.42419,7.45285,7.48009,7.50603,7.53075,7.55436,7.57692,7.59852,7.61921,7.63906,7.65812
28107,0.199844,0.379257,0.542065,0.691424,0.829971,0.959928,1.0832,1.20147,1.31624,1.42894,1.54098,1.65387,1.7693,1.88941,2.01714,2.15699,2.31698,2.5144,2.80416,5.46811,5.8604,6.06678,6.22713,6.36036,6.47468,6.57476,6.66364,6.74343,6.81569,6.88159,6.94205,6.99781,7.04946,7.0975,7.14233,7.1843,7.22369,7.26078,7.29576,7.32883,7.36016,7.38989,7.41816,7.44507,7.47073,7.49523,7.51866,7.54108,7.56257,7.58319
4564,0.230827,0.434424,0.61645,0.781424,0.932977,1.07408,1.20717,1.33435,1.45744,1.57811,1.69802,1.8189,1.94282,2.07245,2.21176,2.3675,2.55358,2.80982,3.61571,5.95083,6.16027,6.32022,6.45229,6.56519,6.66376,6.75113,6.82942,6.90021,6.96469,7.02378,7.07821,7.12858,7.17537,7.21901,7.25982,7.2981,7.3341,7.36804,7.40011,7.43046,7.45925,7.48659,7.51262,7.53741,7.56108,7.58369,7.60533,7.62605,7.64592,7.665
47067,0.24016,0.451495,0.64057,0.812693,0.972259,1.12302,1.26838,1.41165,1.55645,1.70724,1.8706,2.05819,2.29777,2.71622,6.21159,6.43745,6.60533,6.74181,6.85686,6.95606,7.04296,7.12001,7.189,7.25127,7.30786,7.35959,7.40711,7.45096,7.49159,7.52936,7.5646,7.59756,7.62847,7.65754,7.68493,7.71079,7.73527,7.75846,7.78049,7.80143,7.82138,7.84039,7.85856,7.87592,7.89254,7.90847,7.92374,7.93841,7.95251,7.96607
16861,0.211577,0.4001,0.57001,0.724917,0.86778,1.00105,1.12677,1.24671,1.3624,1.47523,1.58653,1.69763,1.80998,1.92528,2.04574,2.17456,2.31695,2.48279,2.69608,3.06158,5.8183,6.06067,6.23086,6.36864,6.48546,6.58704,6.67685,6.75723,6.82985,6.89596,6.95654,7.01234,7.06398,7.11196,7.15671,7.19858,7.23787,7.27483,7.30968,7.34262,7.37381,7.40341,7.43153,7.4583,7.48382,7.50818,7.53147,7.55376,7.57511,7.5956
25681,0.211912,0.400975,0.571745,0.727972,0.872773,1.00879,1.13832,1.26343,1.3861,1.50831,1.63228,1.76068,1.89718,2.04753,2.22243,2.44781,2.84113,6.07843,6.29816,6.45971,6.59181,6.70407,6.80162,6.88771,6.96458,7.03385,7.09674,7.15421,7.207,7.25573,7.30089,7.34291,7.38212,7.41883,7.45329,7.48572,7.5163,7.5452,7.57257,7.59853,7.6232,7.64668,7.66906,7.69041,7.71082,7.73034,7.74905,7.76698,7.78419,7.80074
27628,0.197972,0.375786,0.537263,0.685615,0.823567,0.953494,1.07751,1.19758,1.31567,1.43386,1.55457,1.681,1.81784,1.97327,2.16498,2.45217,6.51361,6.70048,6.832,6.94049,7.03347,7.1148,7.18694,7.25159,7.31003,7.3632,7.41187,7.45665,7.49803,7.53641,7.57213,7.6055,7.63674,7.66608,7.69369,7.71973,7.74434,7.76765,7.78976,7.81076,7.83075,7.8498,7.86798,7.88534,7.90196,7.91787,7.93312,7.94776,7.96183,7.97535
20975,0.273844,0.511225,0.721431,0.911676,1.0877,1.25425,1.41551,1.57546,1.73849,1.91012,2.09895,2.32181,2.62639,3.56617,5.72982,6.01339,6.22265,6.39032,6.5301,6.6496,6.7536,6.84534,6.92713,7.00071,7.06738,7.12817,7.18391,7.23525,7.28275,7.32685,7.36794,7.40634,7.44232,7.47613,7.50797,7.53801,7.56642,7.59334,7.61888,7.64316,7.66628,7.68831,7.70935,7.72945,7.74869,7.76712,7.7848,7.80177,7.81808,7.83376
5630,0.217404,0.410689,0.584713,0.743436,0.890114,1.02747,1.15783,1.28326,1.40564,1.52683,1.64878,1.77374,1.90459,2.04555,2.20367,2.39337,2.65617,3.63744,6.10203,6.29763,6.44949,6.57569,6.68389,6.77851,6.86242,6.93764,7.00564,7.06756,7.12429,7.17652,7.22482,7.26968,7.31149,7.35056,7.3872,7.42163,7.45408,7.48471,7.5137,7.54117,7.56726,7.59207,7.61571,7.63825,7.65978,7.68037,7.70009,7.71899,7.73712,7.75454
11263,0.231832,0.436513,0.61988,0.786643,0.940648,1.08511,1.22278,1.35617,1.48766,1.61974,1.75532,1.89821,2.05423,2.23404,2.46324,2.85567,6.07457,6.3043,6.47207,6.60851,6.72393,6.82386,6.91175,6.99001,7.06035,7.12407,7.18217,7.23545,7.28454,7.32997,7.37217,7.4115,7.44828,7.48276,7.51516,7.54569,7.57452,7.60179,7.62764,7.65217,7.67551,7.69773,7.71892,7.73916,7.75851,7.77703,7.79478,7.81181,7.82816,7.84388
