NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
4	0.0	-85.4963247128	
4	0.0	-85.1192468868	
4	0.0	-84.9763919186	
4	0.0	-85.3860402131	
4	0.0	-85.1785447136	
4	0.0	-85.2924886928	
4	0.0	-85.3747875722	
4	0.0	-85.7343042257	
4	0.0	-85.5559918369	
4	0.0	-85.7851552887	
4	0.0	-85.1745908604	
4	0.0	-85.1702015768	
4	0.0	-85.6489416286	
4	0.0	-85.4413165029	
4	0.0	-85.2343999184	
4	0.0	-84.6980504343	
4	0.0	-84.8018630922	
4	0.0	-85.3244168407	
4	0.0	-84.8366414312	
4	0.0	-85.2256994648	
4	0.0	-85.1172717618	
4	0.0	-84.8327924022	
4	0.0	-84.9756799414	
4	0.0	-85.3319744836	
4	0.0	-85.3826938324	
4	0.0	-85.6056583699	
4	0.0	-85.3389115394	
4	0.0	-85.0000041528	
4	0.0	-85.4574370146	
4	0.0	-85.6166894103	
4	0.0	-84.9228614441	
4	0.0	-85.4295418558	
4	0.0	-84.8171360134	
4	0.0	-85.2603561887	
4	0.0	-85.2248568196	
4	0.0	-85.2216785495	
4	0.0	-85.5918225406	
4	0.0	-85.0443220471	
4	0.0	-85.2556968566	
4	0.0	-85.0864111812	
4	0.0	-85.319279406	
4	0.0	-84.808275706	
4	0.0	-84.8445315925	
4	0.0	-84.9373364405	
4	0.0	-85.0160931459	
4	0.0	-85.2756917399	
4	0.0	-85.5505306398	
4	0.0	-85.1894011211	
4	0.0	-85.4887701604	
4	0.0	-84.9639889316	
4	0.0	-85.171438657	
4	0.0	-85.1758176766	
4	0.0	-85.1005838086	
4	0.0	-84.9001727848	
4	0.0	-85.9666836242	
4	0.0	-85.0849036006	
4	0.0	-85.3063583677	
4	0.0	-85.8067325982	
4	0.0	-85.5135476191	
4	0.0	-85.0473117515	
4	0.0	-85.7621632087	
4	0.0	-84.9517638318	
4	0.0	-85.3018623444	
4	0.0	-84.8962350078	
4	0.0	-85.1916198502	
4	0.0	-84.9326357222	
4	0.0	-85.4112972415	
4	0.0	-85.2041756386	
4	0.0	-84.9130513452	
4	0.0	-85.2646326531	
4	0.0	-85.3286066997	
4	0.0	-85.0830850513	
4	0.0	-85.5273402581	
4	0.0	-85.5570624898	
4	0.0	-85.1872038179	
4	0.0	-85.5786115093	
4	0.0	-85.1886076361	
4	0.0	-85.5611985436	
4	0.0	-85.241758392	
4	0.0	-85.2340382037	
4	0.0	-85.0054696722	
4	0.0	-85.5508847731	
4	0.0	-85.6510364719	
4	0.0	-85.1794580859	
4	0.0	-84.9879427179	
4	0.0	-85.7714783115	
4	0.0	-85.209501979	
4	0.0	-85.2400982099	
4	0.0	-85.1738102736	
4	0.0	-84.8293192644	
4	0.0	-84.8268980152	
4	0.0	-85.3564535518	
4	0.0	-85.0077451519	
4	0.0	-85.6296709973	
4	0.0	-84.9876573526	
4	0.0	-85.1314072281	
4	0.0	-85.0887440261	
4	0.0	-85.3030102173	
4	0.0	-85.6421618287	
4	0.0	-85.1928304339	
4	0.0	-85.7518555628	
4	0.0	-85.6145371443	
4	0.0	-85.1375277093	
4	0.0	-85.1302754301	
4	0.0	-85.1880491982	
4	0.0	-85.1047307851	
4	0.0	-85.1421782864	
4	0.0	-85.0385457188	
4	0.0	-85.626209995	
4	0.0	-85.1059794969	
4	0.0	-85.7246335351	
4	0.0	-85.175441669	
4	0.0	-85.2250931413	
4	0.0	-85.1976970426	
4	0.0	-85.3286980708	
4	0.0	-85.0163451738	
4	0.0	-85.3448265867	
4	0.0	-85.5866389685	
4	0.0	-85.1732993696	
4	0.0	-85.1120907414	
4	0.0	-84.9259377076	
4	0.0	-85.4362226385	
4	0.0	-85.4924377144	
4	0.0	-84.8555624776	
4	0.0	-85.4624031092	
4	0.0	-85.2108223372	
4	0.0	-85.3039334458	
4	0.0	-85.2080412227	
4	0.0	-85.3258232105	
4	0.0	-85.236094139	
4	0.0	-85.7314674825	
4	0.0	-85.5165324425	
4	0.0	-85.4853151802	
4	0.0	-85.2121138441	
4	0.0	-85.6615778128	
4	0.0	-85.2824647943	
4	0.0	-85.1274250676	
4	0.0	-84.8061361379	
4	0.0	-85.1774010525	
4	0.0	-85.0660860984	
4	0.0	-85.5005446607	
4	0.0	-85.1228789547	
4	0.0	-85.0968404602	
4	0.0	-85.1700937779	
4	0.0	-85.4414819073	
4	0.0	-85.0498806174	
4	0.0	-85.1494015579	
4	0.0	-84.9122824778	
4	0.0	-85.2097951652	
4	0.0	-85.0556906708	
4	0.0	-85.2381028462	
4	0.0	-85.0295909511	
4	0.0	-84.9076048289	
4	0.0	-85.045534729	
4	0.0	-85.1163472701	
4	0.0	-84.9485768012	
4	0.0	-85.5856197434	
4	0.0	-84.9292652594	
4	0.0	-85.6437790839	
4	0.0	-85.2920095761	
4	0.0	-84.7501592286	
4	0.0	-85.1799150166	
4	0.0	-85.7154797577	
4	0.0	-85.3149983685	
4	0.0	-85.0738090261	
4	0.0	-85.4469906627	
4	0.0	-85.1323414684	
4	0.0	-85.3571286168	
4	0.0	-85.3309683555	
4	0.0	-85.2968384636	
4	0.0	-85.2030122787	
4	0.0	-85.8083357077	
4	0.0	-84.7920752287	
4	0.0	-85.5110806891	
4	0.0	-84.8468686415	
4	0.0	-85.5208004936	
4	0.0	-85.1703786863	
4	0.0	-85.0298534173	
4	0.0	-85.1809906891	
4	0.0	-85.2195529732	
4	0.0	-85.1492724176	
4	0.0	-85.2795103367	
4	0.0	-85.3848479338	
4	0.0	-85.2111720655	
4	0.0	-85.3666686879	
4	0.0	-85.2365530918	
4	0.0	-85.1831333399	
4	0.0	-85.2563373096	
4	0.0	-85.4011267522	
4	0.0	-85.3742099399	
4	0.0	-84.9043028355	
4	0.0	-85.0561822686	
4	0.0	-85.4143676846	
4	0.0	-85.176348071	
4	0.0	-85.0190165643	
4	0.0	-85.1351879645	
4	0.0	-85.5193043989	
4	0.0	-84.9524557244	
4	0.0	-85.4054158728	
4	0.0	-85.3346862141	
4	0.0	-84.9487584151	
4	0.0	-85.3250020382	
4	0.0	-85.4681178262	
4	0.0	-85.3662523912	
4	0.0	-85.4689646093	
4	0.0	-84.9295439849	
4	0.0	-85.5043256366	
4	0.0	-85.2595793175	
4	0.0	-84.9024438959	
4	0.0	-85.5059747774	
4	0.0	-85.1960795556	
4	0.0	-85.6370505553	
4	0.0	-84.9438472842	
4	0.0	-85.2858344985	
4	0.0	-85.5941709408	
4	0.0	-85.3848795669	
4	0.0	-84.889712059	
4	0.0	-85.2118681647	
4	0.0	-85.3337026634	
4	0.0	-85.0798496891	
4	0.0	-85.5786798372	
4	0.0	-85.4324613692	
4	0.0	-85.5216474005	
4	0.0	-85.752254946	
4	0.0	-84.767413225	
4	0.0	-85.8513540988	
4	0.0	-84.8564000249	
4	0.0	-84.9068740813	
4	0.0	-85.1616800909	
4	0.0	-85.0378930464	
4	0.0	-85.3226866964	
4	0.0	-85.2094754965	
4	0.0	-85.7642932142	
4	0.0	-85.0812788124	
4	0.0	-85.2371657522	
4	0.0	-85.1205243421	
4	0.0	-84.8287267142	
4	0.0	-85.0980496383	
4	0.0	-85.225550509	
4	0.0	-85.1845940268	
4	0.0	-85.4597523521	
4	0.0	-85.023854046	
4	0.0	-85.3412998354	
4	0.0	-85.3023863129	
4	0.0	-85.188906344	
4	0.0	-84.9398502068	
4	0.0	-85.3776547344	
4	0.0	-85.5922358401	
4	0.0	-85.2416941849	
4	0.0	-85.4828977953	
4	0.0	-85.4676137792	
4	0.0	-85.4085988112	
4	0.0	-85.1637874627	
4	0.0	-85.2539987891	
4	0.0	-85.3760858757	
4	0.0	-84.9640517187	
4	0.0	-84.8842377371	
4	0.0	-85.4052518536	
4	0.0	-85.2969644468	
4	0.0	-85.3549435916	
4	0.0	-85.1559937859	
4	0.0	-85.1069540248	
4	0.0	-85.9239304928	
4	0.0	-84.9676579783	
4	0.0	-84.81770135	
4	0.0	-84.9481191983	
4	0.0	-85.3828334653	
4	0.0	-85.3863912264	
4	0.0	-85.2471464982	
4	0.0	-85.1334164818	
4	0.0	-85.1775097388	
4	0.0	-85.2146351934	
4	0.0	-85.5421855515	
4	0.0	-85.1271965377	
4	0.0	-85.4244372862	
4	0.0	-85.1475191389	
4	0.0	-85.1469102969	
4	0.0	-85.0847813655	
4	0.0	-85.5442147202	
4	0.0	-85.7627006817	
4	0.0	-85.1156564015	
4	0.0	-85.091342504	
4	0.0	-85.0576566426	
4	0.0	-85.5206617528	
4	0.0	-84.9766709508	
4	0.0	-85.3637866041	
4	0.0	-85.3393349675	
4	0.0	-84.8405119582	
4	0.0	-85.0621473739	
4	0.0	-85.0988581341	
4	0.0	-85.0294257825	
4	0.0	-85.1633081127	
4	0.0	-85.2323788534	
4	0.0	-84.9728040405	
4	0.0	-84.9858441104	
4	0.0	-85.7105511192	
4	0.0	-85.217662618	
4	0.0	-85.0737141328	
4	0.0	-85.2409441368	
4	0.0	-85.4389886378	
4	0.0	-85.3019043572	
4	0.0	-85.2232980457	
4	0.0	-85.3232151609	
4	0.0	-84.8338795589	
4	0.0	-85.3331521498	
4	0.0	-85.1616883525	
4	0.0	-85.415517376	
4	0.0	-85.6274258247	
4	0.0	-85.3312092102	
4	0.0	-85.178421522	
4	0.0	-85.2387036283	
4	0.0	-85.292310104	
4	0.0	-85.2355161935	
4	0.0	-85.0546222695	
4	0.0	-85.4030956614	
4	0.0	-85.1450890679	
4	0.0	-85.2505216071	
4	0.0	-85.1261098118	
4	0.0	-84.8374498965	
4	0.0	-85.0033783094	
4	0.0	-85.3987251319	
4	0.0	-85.3286075557	
4	0.0	-85.2775764918	
4	0.0	-85.9871646762	
4	0.0	-85.7526022137	
4	0.0	-85.5976997253	
4	0.0	-85.5814958784	
4	0.0	-85.131323276	
4	0.0	-85.1191720597	
4	0.0	-85.1066319148	
4	0.0	-85.3191214195	
4	0.0	-84.8251776946	
4	0.0	-85.6480663269	
4	0.0	-84.8928552597	
4	0.0	-85.2409871804	
4	0.0	-85.2756210127	
4	0.0	-85.218987216	
4	0.0	-85.3068155872	
4	0.0	-85.7209490096	
4	0.0	-85.2210618532	
4	0.0	-85.5332281818	
4	0.0	-85.7831709899	
4	0.0	-85.0876925863	
4	0.0	-84.8156395487	
4	0.0	-85.1885833868	
4	0.0	-85.289383287	
4	0.0	-85.1799358765	
4	0.0	-85.6295929488	
4	0.0	-85.1082829291	
4	0.0	-85.0712729107	
4	0.0	-85.4842429575	
4	0.0	-84.8234153574	
4	0.0	-84.8484143704	
4	0.0	-85.5844742856	
4	0.0	-85.2446801047	
4	0.0	-85.2088869303	
4	0.0	-84.7657533104	
4	0.0	-85.2894833262	
4	0.0	-85.1883495488	
4	0.0	-84.7961269758	
4	0.0	-85.5481064844	
4	0.0	-85.2880172227	
4	0.0	-85.3703040709	
4	0.0	-84.8997038438	
4	0.0	-85.2826105738	
4	0.0	-84.8742978528	
4	0.0	-85.1444341315	
4	0.0	-85.4591206412	
4	0.0	-85.0868398008	
4	0.0	-85.0405614149	
4	0.0	-84.9206558617	
4	0.0	-85.0398670069	
4	0.0	-85.1252697566	
4	0.0	-84.8011224894	
4	0.0	-85.2013275897	
4	0.0	-85.1909543912	
4	0.0	-85.3360521513	
4	0.0	-84.9284185468	
4	0.0	-85.5403714378	
4	0.0	-85.0099978902	
4	0.0	-84.7249063035	
4	0.0	-85.3361917665	
4	0.0	-85.5283972913	
4	0.0	-85.3844122621	
4	0.0	-85.369229686	
4	0.0	-85.1049885944	
4	0.0	-84.6622710134	
4	0.0	-85.5213737839	
4	0.0	-85.7513877902	
4	0.0	-85.3346653092	
4	0.0	-85.2162066947	
4	0.0	-85.5206363709	
4	0.0	-84.8753135772	
4	0.0	-84.7472114779	
4	0.0	-84.8814090453	
4	0.0	-85.4382461055	
4	0.0	-85.6285065303	
4	0.0	-85.0365402504	
4	0.0	-85.3159121659	
4	0.0	-85.3847182846	
4	0.0	-85.2631184059	
4	0.0	-85.2168031285	
4	0.0	-85.2221936731	
4	0.0	-85.3351114016	
4	0.0	-85.0991911074	
4	0.0	-84.9805428397	
4	0.0	-85.5054901962	
4	0.0	-85.3078142299	
4	0.0	-85.089999576	
4	0.0	-85.7220491495	
4	0.0	-85.3758874338	
4	0.0	-85.5687186009	
4	0.0	-85.4387532756	
4	0.0	-85.3899398791	
4	0.0	-84.9230972956	
4	0.0	-85.2384533574	
4	0.0	-84.9567516862	
4	0.0	-85.7363239747	
4	0.0	-84.9677890897	
4	0.0	-84.9654447213	
4	0.0	-85.8605739461	
4	0.0	-85.3969817336	
4	0.0	-85.6728671239	
4	0.0	-85.5898463603	
4	0.0	-85.7232451431	
4	0.0	-85.3833765971	
4	0.0	-85.3207144355	
4	0.0	-84.8937818418	
4	0.0	-84.9589246008	
4	0.0	-85.1566986719	
4	0.0	-85.3737236122	
4	0.0	-85.0827417559	
4	0.0	-85.2309985702	
4	0.0	-85.3380153171	
4	0.0	-85.1666549433	
4	0.0	-85.2606711946	
4	0.0	-85.2817250066	
4	0.0	-85.5617451116	
4	0.0	-85.441162386	
4	0.0	-85.1081316712	
4	0.0	-85.1919909792	
4	0.0	-85.0596888095	
4	0.0	-85.0050256176	
4	0.0	-85.2197916915	
4	0.0	-85.5268457132	
4	0.0	-84.8162765559	
4	0.0	-85.4715251276	
4	0.0	-85.3502480191	
