NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
265	2.0	43.8169850064	
265	2.0	43.8406031617	
265	2.0	43.7847623228	
265	2.0	43.841118637	
265	2.0	43.853624056	
265	2.0	43.8738361322	
265	2.0	43.8798382422	
265	2.0	43.8727000542	
265	2.0	43.8797287675	
265	2.0	43.7976457272	
265	2.0	43.8579763253	
265	2.0	43.8436513421	
265	2.0	43.8189413643	
265	2.0	43.8760239353	
265	2.0	43.8313889155	
265	2.0	43.82936346	
265	3.0	43.8673031712	
265	3.0	43.7819494757	
265	2.0	43.8662585466	
265	2.0	43.8852559018	
265	2.0	43.8381632173	
265	2.0	43.8295396838	
265	2.0	43.8290933272	
265	2.0	43.7984347763	
265	2.0	43.7925203491	
265	2.0	43.8131664648	
265	3.0	43.8663036509	
265	2.0	43.8304985997	
265	2.0	43.8118356924	
265	2.0	43.882847891	
265	2.0	43.88673266	
265	3.0	43.8733805316	
265	2.0	43.892434709	
265	2.0	43.8146009793	
265	2.0	43.8057691935	
265	2.0	43.8488370782	
265	2.0	43.861478797	
265	2.0	43.7870186589	
265	2.0	43.8749718009	
265	2.0	43.8204884635	
265	2.0	43.8717011767	
265	2.0	43.8412400819	
265	2.0	43.8674426107	
265	2.0	43.8742538852	
265	2.0	43.8061617922	
265	2.0	43.871310409	
265	2.0	43.8948730883	
265	2.0	43.8201052931	
265	2.0	43.8365334453	
265	2.0	43.7864298108	
265	2.0	43.8477185553	
265	3.0	43.8723326021	
265	2.0	43.8808125929	
265	1.0	43.8744848189	
265	2.0	43.7954640582	
265	3.0	43.863650199	
265	2.0	43.836780253	
265	2.0	43.8833028137	
265	3.0	43.8739227881	
265	3.0	43.8210808323	
265	2.0	43.8234813328	
265	3.0	43.8785801467	
265	2.0	43.8441975458	
265	2.0	43.8501089225	
265	2.0	43.812927244	
265	3.0	43.8763253715	
265	2.0	43.8752680978	
265	3.0	43.8650764049	
265	2.0	43.8942704634	
265	2.0	43.8526640762	
265	2.0	43.8748056612	
265	2.0	43.8489840526	
265	2.0	43.8749177625	
265	3.0	43.8078217343	
265	2.0	43.864603486	
265	2.0	43.8695117542	
265	3.0	43.8427673106	
265	2.0	43.7796239976	
265	3.0	43.8814294599	
265	2.0	43.795691528	
265	2.0	43.8056526022	
265	2.0	43.8618256055	
265	2.0	43.8174379433	
265	3.0	43.8695053256	
265	3.0	43.8823946417	
265	3.0	43.8876198191	
265	2.0	43.869438327	
265	2.0	43.7924710513	
265	2.0	43.8750246799	
265	2.0	43.8201566937	
265	2.0	43.8812195112	
265	2.0	43.8840019932	
265	2.0	43.8027234729	
265	2.0	43.8576862323	
265	3.0	43.7989354643	
265	3.0	43.8752869177	
265	2.0	43.8362616203	
265	2.0	43.8801887639	
265	2.0	43.8844588408	
265	2.0	43.8797476134	
265	2.0	43.8612965294	
265	2.0	43.8865659212	
265	2.0	43.873534204	
265	2.0	43.8659247124	
265	3.0	43.8038943205	
265	2.0	43.8729654759	
265	2.0	43.9022017754	
265	2.0	43.8538121579	
265	3.0	43.7986603435	
265	2.0	43.8645602155	
265	2.0	43.8821069032	
265	1.0	43.8951107025	
265	3.0	43.8398479571	
265	2.0	43.8464565548	
265	2.0	43.8921324315	
265	2.0	43.8060897197	
265	2.0	43.8038635111	
265	2.0	43.8444141863	
265	2.0	43.8919752448	
265	2.0	43.8110604518	
265	2.0	43.8013129347	
265	2.0	43.8618737412	
265	2.0	43.8334247976	
265	2.0	43.8424992315	
265	2.0	43.7935272607	
265	2.0	43.8800796935	
265	2.0	43.8673988456	
265	2.0	43.8534454756	
265	2.0	43.8669529439	
265	2.0	43.8742996794	
265	2.0	43.8845662124	
265	2.0	43.8701894286	
265	3.0	43.8691549776	
265	2.0	43.876975511	
265	2.0	43.9000979588	
265	2.0	43.8714440982	
265	3.0	43.8870782284	
265	2.0	43.8378009253	
265	2.0	43.8161920492	
265	2.0	43.8442264061	
265	2.0	43.7859848013	
265	3.0	43.7925662286	
265	2.0	43.8497411969	
265	2.0	43.8268801481	
265	2.0	43.888582402	
265	2.0	43.8497398573	
265	3.0	43.8657746169	
265	2.0	43.8736239372	
265	2.0	43.8166214955	
265	3.0	43.850392695	
265	2.0	43.8940152917	
265	2.0	43.898861704	
265	2.0	43.7850286075	
265	3.0	43.8354412694	
265	2.0	43.8005908292	
265	2.0	43.8018599983	
265	2.0	43.8734413288	
265	2.0	43.8178997785	
265	2.0	43.8708655094	
265	2.0	43.8878495175	
265	2.0	43.8162301135	
265	2.0	43.8216215995	
265	2.0	43.7651284927	
265	2.0	43.7934553109	
265	2.0	43.8848992113	
265	2.0	43.8189194952	
265	2.0	43.8132220122	
265	2.0	43.8395386592	
265	2.0	43.8613549032	
265	2.0	43.8723027513	
265	2.0	43.8262578628	
265	2.0	43.8062718707	
265	2.0	43.8133485022	
265	3.0	43.8632752163	
265	2.0	43.8473256789	
265	3.0	43.874474039	
265	2.0	43.8565297563	
265	2.0	43.8897416855	
265	2.0	43.882974723	
265	3.0	43.8537829684	
265	2.0	43.8441384596	
265	2.0	43.882931856	
265	2.0	43.8703046394	
265	2.0	43.8608424039	
265	2.0	43.880157057	
265	2.0	43.8010952436	
265	2.0	43.8901631065	
265	2.0	43.864427754	
265	2.0	43.8803835043	
265	2.0	43.791544034	
265	2.0	43.8437346489	
265	2.0	43.850795996	
265	2.0	43.8908799224	
265	2.0	43.8683534378	
265	2.0	43.8446569696	
265	2.0	43.8011760608	
265	3.0	43.8487238769	
265	2.0	43.8776432564	
265	2.0	43.8589337936	
265	3.0	43.8719618687	
265	2.0	43.8196492197	
265	2.0	43.8820814609	
265	2.0	43.8153941914	
265	2.0	43.8126605809	
265	2.0	43.8791291566	
265	2.0	43.806426782	
265	3.0	43.828292394	
265	3.0	43.7911004492	
265	2.0	43.7958849156	
265	2.0	43.8432739164	
265	2.0	43.8048867885	
265	2.0	43.8906634023	
265	2.0	43.8210683081	
265	3.0	43.8719102126	
265	1.0	43.8183813395	
265	2.0	43.8541745787	
265	2.0	43.8365721959	
265	3.0	43.784685918	
265	2.0	43.8660092475	
265	2.0	43.854507178	
265	2.0	43.8668840791	
265	3.0	43.8833323411	
265	2.0	43.8280382981	
265	2.0	43.8545808017	
265	2.0	43.8867985673	
265	2.0	43.8189599891	
265	2.0	43.8775685333	
265	2.0	43.8694705968	
265	2.0	43.7914669094	
265	2.0	43.8050553656	
265	2.0	43.8628159261	
265	2.0	43.8571873237	
265	3.0	43.8669008726	
265	3.0	43.8438901263	
265	2.0	43.8479513298	
265	2.0	43.8589621065	
265	2.0	43.8763710717	
265	2.0	43.877300008	
265	2.0	43.8313462054	
265	2.0	43.8106496709	
265	2.0	43.8404818425	
265	3.0	43.890941645	
265	2.0	43.8634257449	
265	2.0	43.8529668204	
265	2.0	43.886389885	
265	2.0	43.8727223062	
265	2.0	43.8869752004	
265	2.0	43.8161432742	
265	2.0	43.8665884161	
265	2.0	43.8242623325	
265	2.0	43.775828489	
265	2.0	43.8271787077	
265	2.0	43.8767459486	
265	2.0	43.8210902724	
265	1.0	43.8619765877	
265	2.0	43.7986726158	
265	2.0	43.8907461673	
265	2.0	43.7996863344	
265	2.0	43.8853194166	
265	2.0	43.8792638072	
265	2.0	43.8994060109	
265	2.0	43.8884091954	
265	2.0	43.8650080385	
265	2.0	43.8208560716	
265	2.0	43.799439078	
265	2.0	43.8892361314	
265	2.0	43.8433964299	
265	2.0	43.8257790008	
265	2.0	43.8956309828	
265	2.0	43.8919425935	
265	2.0	43.8770047547	
265	2.0	43.8962654751	
265	2.0	43.8229556515	
265	2.0	43.7895380992	
265	2.0	43.8284016463	
265	2.0	43.8882576062	
265	2.0	43.8556103725	
265	1.0	43.7948470061	
265	2.0	43.8206002999	
265	2.0	43.8808401903	
265	2.0	43.8576106815	
265	2.0	43.8601908814	
265	2.0	43.8338101802	
265	3.0	43.8499870059	
265	2.0	43.879590776	
265	2.0	43.8827657351	
265	2.0	43.8869068812	
265	2.0	43.8758686879	
265	2.0	43.8402787932	
265	3.0	43.8736498093	
265	2.0	43.8528162237	
265	2.0	43.8065874452	
265	2.0	43.863824516	
265	2.0	43.8781939166	
265	2.0	43.8808370517	
265	2.0	43.788794961	
265	2.0	43.8651658644	
265	2.0	43.8802137447	
265	2.0	43.8741024721	
265	2.0	43.7838069139	
265	2.0	43.8806379609	
265	2.0	43.887729163	
265	2.0	43.8843827631	
265	2.0	43.8702926141	
265	2.0	43.7800200107	
265	2.0	43.8573351866	
265	2.0	43.8405931233	
265	3.0	43.8818528776	
265	2.0	43.8653832464	
265	2.0	43.8971880523	
265	2.0	43.8037252927	
265	2.0	43.8136030952	
265	2.0	43.8548927525	
265	2.0	43.8935525251	
265	2.0	43.8774591616	
265	2.0	43.8498044137	
265	2.0	43.7872375832	
265	2.0	43.8223972659	
265	2.0	43.8056750608	
265	2.0	43.8007989115	
265	2.0	43.7953840353	
265	3.0	43.7795610055	
265	2.0	43.806266956	
265	2.0	43.8518861712	
265	2.0	43.8474720908	
265	2.0	43.8893437791	
265	2.0	43.888483254	
265	3.0	43.833166893	
265	2.0	43.8456457155	
265	2.0	43.8873246936	
265	2.0	43.8243897555	
265	2.0	43.7913234387	
265	2.0	43.8768736044	
265	2.0	43.8682048347	
265	3.0	43.7807369324	
265	2.0	43.8806002362	
265	2.0	43.841229662	
265	2.0	43.8867069019	
265	2.0	43.8829313719	
265	2.0	43.8591982775	
265	2.0	43.8581656711	
265	2.0	43.794037449	
265	2.0	43.8617776181	
265	2.0	43.8690234814	
265	2.0	43.8716790795	
265	2.0	43.8140752374	
265	2.0	43.8625269223	
265	2.0	43.8644804101	
265	2.0	43.8782450831	
265	2.0	43.876566476	
265	2.0	43.8905812467	
265	2.0	43.8795448329	
265	3.0	43.8946062992	
265	2.0	43.875354837	
265	3.0	43.8834012147	
265	2.0	43.7801743561	
265	3.0	43.8635658391	
265	3.0	43.781926091	
265	2.0	43.8369006269	
265	3.0	43.861987831	
265	2.0	43.8841769274	
265	2.0	43.8287262883	
265	3.0	43.8547191607	
265	2.0	43.8022601095	
265	2.0	43.8371767182	
265	2.0	43.836803769	
265	3.0	43.8339728374	
265	3.0	43.8746657835	
265	2.0	43.7977061193	
265	2.0	43.8095003513	
265	2.0	43.8714682086	
265	2.0	43.8919749217	
265	2.0	43.7934588025	
265	2.0	43.8853992334	
265	3.0	43.886267231	
265	2.0	43.8550067721	
265	3.0	43.8037671809	
265	2.0	43.8701557267	
265	2.0	43.8741057418	
265	2.0	43.8724353266	
265	3.0	43.8625311649	
265	2.0	43.8798356549	
265	2.0	43.8047110407	
265	2.0	43.8856642511	
265	2.0	43.8807504549	
265	2.0	43.8154612144	
265	2.0	43.8773097207	
265	2.0	43.8688382926	
265	2.0	43.7930045869	
265	2.0	43.8849868384	
265	2.0	43.8175375959	
265	2.0	43.8337880465	
265	2.0	43.8127099736	
265	2.0	43.8778773075	
265	2.0	43.8884938954	
265	3.0	43.8638265399	
265	2.0	43.8814637147	
265	2.0	43.8710186825	
265	2.0	43.792054551	
265	2.0	43.8709603742	
265	2.0	43.8754271858	
265	2.0	43.8931953935	
265	2.0	43.8326918117	
265	2.0	43.8367667742	
265	2.0	43.8290525669	
265	2.0	43.8799359145	
265	2.0	43.8453925013	
265	2.0	43.875856428	
265	2.0	43.8829011711	
265	2.0	43.8746814468	
265	3.0	43.8967225985	
265	2.0	43.8425349969	
265	2.0	43.8617036238	
265	2.0	43.8812326193	
265	2.0	43.8927227343	
265	2.0	43.8657747023	
265	2.0	43.8880755672	
265	2.0	43.8695167974	
265	2.0	43.8217763295	
265	2.0	43.7839470237	
265	2.0	43.8580601988	
265	2.0	43.8839997275	
265	2.0	43.8037692978	
265	2.0	43.8835736347	
265	2.0	43.8882984683	
265	2.0	43.8657019192	
265	2.0	43.7884083528	
265	2.0	43.8680478072	
265	2.0	43.8760652523	
265	2.0	43.8181512946	
265	2.0	43.8311880362	
265	2.0	43.8651974856	
265	3.0	43.8479758636	
265	2.0	43.8791180926	
265	3.0	43.8433328866	
265	2.0	43.8602135025	
265	3.0	43.8598245078	
265	2.0	43.8918895112	
265	3.0	43.8866562136	
265	3.0	43.8321629924	
265	2.0	43.8794346111	
265	2.0	43.8129538285	
265	2.0	43.8684813485	
265	2.0	43.8672428621	
265	2.0	43.8599810644	
265	2.0	43.8698476567	
265	3.0	43.7986398157	
265	2.0	43.8317708364	
265	2.0	43.8196448553	
265	2.0	43.8779299801	
265	2.0	43.7871789447	
265	2.0	43.8481406866	
265	2.0	43.8083406039	
265	2.0	43.7881882474	
265	2.0	43.8029552396	
265	2.0	43.8530815477	
265	2.0	43.8530479931	
265	2.0	43.8344380291	
265	2.0	43.8705184582	
265	2.0	43.84514509	
265	2.0	43.8857507151	
265	3.0	43.8172015941	
265	2.0	43.8729456021	
265	2.0	43.8108867196	
265	2.0	43.8067871538	
265	2.0	43.8876980957	
265	1.0	43.8937061999	
265	2.0	43.8526888741	
265	2.0	43.8251523689	
265	2.0	43.8134952905	
265	2.0	43.8744607868	
265	2.0	43.7887202992	
265	2.0	43.8326245218	
265	2.0	43.8881480519	
265	2.0	43.7933188277	
265	3.0	43.8194253399	
265	2.0	43.8278112628	
265	3.0	43.7789699139	
265	2.0	43.8725195553	
265	2.0	43.8288831856	
265	2.0	43.8195913418	
265	2.0	43.8648913548	
265	2.0	43.8777759026	
265	3.0	43.864525709	
265	2.0	43.8047335581	
265	2.0	43.8883084987	
265	2.0	43.8644563652	
265	2.0	43.8235002207	
265	2.0	43.8417122119	
265	2.0	43.8401160517	
265	3.0	43.8795016721	
265	2.0	43.8906869048	
265	3.0	43.8504508145	
265	2.0	43.8756361581	
265	2.0	43.866418444	
265	2.0	43.8664514518	
265	2.0	43.8598514799	
