NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
276	2.0	43.855628698	
276	2.0	43.890110441	
276	3.0	43.8641394077	
276	2.0	43.8337157536	
276	3.0	43.8190332002	
276	2.0	43.9084930601	
276	2.0	43.8791358378	
276	2.0	43.8893460124	
276	2.0	43.8933693776	
276	2.0	43.8299021654	
276	3.0	43.8351367481	
276	2.0	43.8538442951	
276	3.0	43.9014847389	
276	2.0	43.8594411252	
276	2.0	43.8390796844	
276	3.0	43.8738343669	
276	2.0	43.8946156558	
276	2.0	43.8803728711	
276	3.0	43.8284958358	
276	2.0	43.8747377984	
276	3.0	43.8767725754	
276	2.0	43.8608043898	
276	2.0	43.8699022792	
276	2.0	43.8664546773	
276	2.0	43.8808720141	
276	2.0	43.8794718474	
276	2.0	43.8641892197	
276	3.0	43.8893976006	
276	2.0	43.8997729257	
276	2.0	43.8954275813	
276	2.0	43.813573337	
276	2.0	43.8987482553	
276	3.0	43.808291045	
276	2.0	43.8627175994	
276	3.0	43.8481261823	
276	2.0	43.900579537	
276	3.0	43.8807984894	
276	2.0	43.8106026129	
276	2.0	43.8714541398	
276	3.0	43.8013621935	
276	2.0	43.8846485403	
276	3.0	43.8240514467	
276	2.0	43.8242484107	
276	3.0	43.8863561826	
276	3.0	43.8650272478	
276	2.0	43.8159705489	
276	2.0	43.7921397396	
276	3.0	43.8108143982	
276	2.0	43.7948688735	
276	2.0	43.8880512659	
276	2.0	43.9015684633	
276	3.0	43.8912310056	
276	2.0	43.8323763839	
276	2.0	43.8244566752	
276	2.0	43.8912882471	
276	3.0	43.8921063526	
276	2.0	43.8821638949	
276	3.0	43.8228408285	
276	3.0	43.7977841	
276	3.0	43.899579827	
276	2.0	43.8137073534	
276	2.0	43.8908915584	
276	2.0	43.8587378136	
276	2.0	43.8540202673	
276	2.0	43.8018630327	
276	2.0	43.8814086894	
276	2.0	43.9009131134	
276	2.0	43.840345565	
276	3.0	43.861946762	
276	2.0	43.9006476899	
276	2.0	43.8196358035	
276	3.0	43.7898974114	
276	2.0	43.7861293241	
276	3.0	43.8628108514	
276	2.0	43.7746549968	
276	2.0	43.8742840124	
276	2.0	43.9013648486	
276	3.0	43.8203507254	
276	3.0	43.903162284	
276	3.0	43.8731983996	
276	2.0	43.8448794803	
276	2.0	43.9018173493	
276	2.0	43.8949909407	
276	2.0	43.8602052508	
276	3.0	43.8696541098	
276	3.0	43.8715129131	
276	4.0	43.8599235897	
276	3.0	43.8746854449	
276	2.0	43.8320046036	
276	3.0	43.8833078572	
276	3.0	43.8850061445	
276	3.0	43.856345525	
276	2.0	43.8424978498	
276	2.0	43.8296974832	
276	3.0	43.8961388533	
276	2.0	43.8175210927	
276	2.0	43.8232563243	
276	2.0	43.894406765	
276	3.0	43.8814099117	
276	2.0	43.8714052384	
276	2.0	43.8830635629	
276	3.0	43.8269710736	
276	2.0	43.8805038667	
276	2.0	43.8391203025	
276	3.0	43.8447638643	
276	3.0	43.8836995464	
276	2.0	43.8163892789	
276	2.0	43.8228082245	
276	3.0	43.8855728792	
276	2.0	43.8619880737	
276	2.0	43.8876366066	
276	2.0	43.8591742059	
276	2.0	43.8981691998	
276	2.0	43.835736184	
276	2.0	43.8751014683	
276	3.0	43.8446220924	
276	3.0	43.8734217936	
276	2.0	43.7845520187	
276	3.0	43.8706013096	
276	2.0	43.8770889091	
276	3.0	43.8881998739	
276	2.0	43.8896486547	
276	3.0	43.851335275	
276	2.0	43.8504211455	
