NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
280	2.0	43.3006887664	
280	2.0	43.3177088097	
280	2.0	43.2921421078	
280	2.0	43.2892197289	
280	2.0	43.3091115167	
280	2.0	43.1715269464	
280	2.0	43.29409712	
280	2.0	43.2917382828	
280	2.0	43.262930872	
280	2.0	43.3426442342	
280	2.0	43.1868211912	
280	2.0	43.3545835486	
280	2.0	43.225042075	
280	2.0	43.2246121222	
280	2.0	43.2193656276	
280	2.0	43.3116238413	
280	2.0	43.1941730325	
280	2.0	43.2437954694	
280	2.0	43.2975567619	
280	2.0	43.2689997951	
280	2.0	43.254331097	
280	2.0	43.2827485278	
280	1.0	43.1594088469	
280	3.0	43.2954958132	
280	2.0	43.3180250193	
280	2.0	43.2561753821	
280	2.0	43.3183489945	
280	3.0	43.2442105102	
280	2.0	43.2054225407	
280	2.0	43.2951508464	
280	2.0	43.2446023993	
280	2.0	43.2394101074	
280	2.0	43.244387408	
280	2.0	43.2584772751	
280	2.0	43.2315668603	
280	2.0	43.2955839406	
280	2.0	43.3010585547	
280	2.0	43.2952891661	
280	2.0	43.2433473278	
280	2.0	43.2833341796	
280	2.0	43.2608669525	
280	3.0	43.2173992106	
280	2.0	43.296913744	
280	2.0	43.2729091175	
280	2.0	43.2614495066	
280	2.0	43.3224599979	
280	3.0	43.3030175868	
280	2.0	43.30236041	
280	2.0	43.307475595	
280	2.0	43.2852398219	
280	2.0	43.285211826	
280	2.0	43.3035956469	
280	2.0	43.1775461875	
280	2.0	43.2600412242	
280	2.0	43.1238241751	
280	2.0	43.2670698208	
280	2.0	43.3275683494	
280	1.0	43.2110138897	
280	2.0	43.2431248496	
280	2.0	43.2481895077	
280	1.0	43.2903004756	
280	2.0	43.3107807438	
280	2.0	43.2416496887	
280	2.0	43.2570132496	
280	2.0	43.339008145	
280	2.0	43.2643539389	
280	2.0	43.2180792299	
280	2.0	43.2538285282	
280	2.0	43.2724197335	
280	2.0	43.2766291357	
280	2.0	43.3347787455	
280	2.0	43.2305315014	
280	2.0	43.2254228373	
280	2.0	43.3523871688	
280	2.0	43.2891231414	
280	2.0	43.2648316336	
280	2.0	43.2071663685	
280	2.0	43.3282825199	
280	2.0	43.2603111414	
280	2.0	43.292917272	
280	2.0	43.3196500261	
280	2.0	43.3070450261	
280	2.0	43.1712430259	
280	2.0	43.2847677772	
280	2.0	43.240864241	
280	2.0	43.3103123148	
280	2.0	43.2573060496	
280	2.0	43.3125520604	
280	2.0	43.284720264	
280	2.0	43.2898643401	
280	1.0	43.1999971853	
280	1.0	43.2537361652	
280	2.0	43.2297525613	
280	2.0	43.1975885745	
280	2.0	43.2839358644	
280	2.0	43.2227740749	
280	2.0	43.2981579955	
280	2.0	43.2877356586	
280	2.0	43.2860271117	
280	2.0	43.26511878	
280	2.0	43.2034595651	
280	2.0	43.272243184	
280	2.0	43.3236196158	
280	2.0	43.2809305534	
280	2.0	43.3179960838	
280	2.0	43.2050075153	
280	2.0	43.269688119	
280	2.0	43.2018007598	
280	2.0	43.3132482506	
280	2.0	43.3213453159	
280	2.0	43.278756549	
280	2.0	43.2412463938	
280	2.0	43.2933946564	
280	2.0	43.2656232666	
280	2.0	43.2800511303	
280	2.0	43.3169516289	
280	2.0	43.2758028911	
280	2.0	43.3110779606	
280	2.0	43.2049736089	
280	2.0	43.2118445209	
280	2.0	43.1846229226	
280	2.0	43.3080269176	
280	1.0	43.2660435802	
280	2.0	43.2224403217	
280	2.0	43.2260776258	
280	2.0	43.3241954117	
280	2.0	43.2941909325	
280	2.0	43.315889236	
280	2.0	43.2746296782	
280	2.0	43.2901271095	
280	2.0	43.2886851604	
280	2.0	43.1922743936	
280	2.0	43.2541742984	
280	2.0	43.2490666077	
280	2.0	43.2128876187	
280	2.0	43.3136683409	
280	2.0	43.2608559232	
280	2.0	43.2937197171	
280	2.0	43.3018269157	
280	2.0	43.2374889551	
280	2.0	43.2981755292	
280	2.0	43.2651309488	
280	2.0	43.3156374898	
280	2.0	43.3241953401	
280	2.0	43.2662570594	
280	2.0	43.3006082831	
280	2.0	43.1982531383	
280	2.0	43.3264358249	
280	2.0	43.2845296138	
280	2.0	43.2651929255	
280	2.0	43.2581319417	
280	2.0	43.218847251	
280	2.0	43.2571499111	
280	2.0	43.288276812	
280	2.0	43.2581939179	
280	2.0	43.278806041	
280	2.0	43.2954352785	
280	2.0	43.2769376628	
280	2.0	43.3158541375	
280	2.0	43.2425106871	
280	3.0	43.290099885	
280	2.0	43.3126927884	
280	2.0	43.2346214332	
280	2.0	43.2592734812	
280	2.0	43.2065829246	
280	2.0	43.2293868745	
280	2.0	43.2450259604	
280	2.0	43.3282208096	
280	2.0	43.3219015244	
280	2.0	43.3179854679	
280	3.0	43.2870111911	
280	2.0	43.2650884654	
280	2.0	43.2310609705	
280	2.0	43.1614650473	
280	2.0	43.3267163631	
280	2.0	43.2522692881	
280	2.0	43.2210404338	
280	2.0	43.2972250829	
280	2.0	43.1955202722	
280	2.0	43.3333101272	
280	2.0	43.2471818334	
280	2.0	43.3088675959	
280	2.0	43.232362726	
280	1.0	43.3110575672	
280	3.0	43.258440415	
280	2.0	43.3369295857	
280	2.0	43.3037320707	
280	2.0	43.245725846	
280	2.0	43.2659564396	
280	2.0	43.263490685	
280	2.0	43.2449684903	
280	2.0	43.23921293	
280	2.0	43.2158402907	
280	2.0	43.2479703865	
280	2.0	43.3076114806	
280	2.0	43.2663759626	
280	2.0	43.2777052179	
280	2.0	43.247768099	
280	2.0	43.2545934945	
280	3.0	43.300850599	
280	2.0	43.2920673906	
280	2.0	43.265780699	
280	2.0	43.3383260103	
280	2.0	43.3096168648	
280	2.0	43.2910626075	
280	2.0	43.212276569	
280	2.0	43.2705382188	
280	2.0	43.285136942	
280	2.0	43.2755278036	
280	2.0	43.258824976	
280	2.0	43.3000275842	
280	2.0	43.2578093177	
280	2.0	43.2299491031	
280	2.0	43.25079334	
280	2.0	43.2343341368	
280	2.0	43.3278047017	
280	2.0	43.193480635	
280	2.0	43.18021021	
280	2.0	43.2820806086	
280	3.0	43.2244814218	
280	2.0	43.3225677839	
280	2.0	43.2977193952	
280	2.0	43.1686532731	
280	2.0	43.2804517198	
280	2.0	43.2969186768	
280	2.0	43.3328210818	
280	2.0	43.2264033234	
280	2.0	43.1798882471	
280	3.0	43.2810368923	
280	2.0	43.2766500729	
280	2.0	43.279690792	
280	2.0	43.2104557087	
280	2.0	43.2402181227	
280	2.0	43.2252793201	
280	2.0	43.2197722188	
280	2.0	43.2868913941	
280	2.0	43.2661814981	
280	2.0	43.3103990244	
280	2.0	43.2839367548	
280	2.0	43.2311428202	
280	2.0	43.318515759	
280	2.0	43.3198638699	
280	1.0	43.269199251	
280	2.0	43.2865209614	
280	2.0	43.3165563065	
280	2.0	43.2697699089	
280	3.0	43.3452907929	
280	2.0	43.2561336846	
280	3.0	43.2650188976	
280	2.0	43.2605024361	
280	1.0	43.1833700372	
280	2.0	43.2067815289	
280	2.0	43.2335064978	
280	2.0	43.2354231309	
280	2.0	43.2139508193	
280	2.0	43.3185997697	
280	2.0	43.2809088768	
280	2.0	43.2578784554	
280	2.0	43.337718223	
280	2.0	43.3125800714	
280	2.0	43.266002682	
280	2.0	43.2294563205	
280	2.0	43.2735752296	
280	3.0	43.2671602004	
280	2.0	43.2691063781	
280	2.0	43.2883191929	
280	2.0	43.3064918888	
280	2.0	43.2360091922	
280	2.0	43.286601922	
280	2.0	43.2652717329	
280	2.0	43.3285246068	
280	2.0	43.3140144396	
280	2.0	43.2453128545	
280	2.0	43.3185661746	
280	2.0	43.2729134574	
280	2.0	43.2931513508	
280	2.0	43.296948371	
280	2.0	43.2339178616	
280	2.0	43.2289670009	
280	1.0	43.2539060143	
280	2.0	43.3028992392	
280	2.0	43.301527761	
280	2.0	43.226158221	
280	2.0	43.2179908967	
280	2.0	43.2458090263	
280	2.0	43.255578776	
280	2.0	43.3013383546	
280	2.0	43.297302785	
280	2.0	43.2383773047	
280	2.0	43.2805698224	
280	2.0	43.3168003456	
280	1.0	43.2890561164	
280	2.0	43.2267994625	
280	2.0	43.1977705673	
280	2.0	43.3000564558	
280	2.0	43.3142894642	
280	2.0	43.2285185918	
280	2.0	43.2413784271	
280	2.0	43.3012093244	
280	2.0	43.1991625692	
280	2.0	43.2964027853	
280	2.0	43.2940695901	
280	2.0	43.3041169649	
280	2.0	43.2721219446	
280	2.0	43.2387928534	
280	2.0	43.2221115073	
280	3.0	43.3066489142	
280	1.0	43.2316718904	
280	2.0	43.3177244274	
280	1.0	43.2896213131	
280	2.0	43.2543014504	
280	2.0	43.2580886148	
280	2.0	43.303628002	
280	2.0	43.2612622798	
280	2.0	43.3269194726	
280	2.0	43.3206932283	
280	2.0	43.2872888998	
280	3.0	43.2755599615	
280	2.0	43.314146032	
280	2.0	43.2703149423	
280	2.0	43.2717355715	
280	2.0	43.2281945001	
280	2.0	43.250904467	
280	2.0	43.2709097173	
280	2.0	43.291817634	
280	2.0	43.2869646443	
280	2.0	43.2863292024	
280	3.0	43.2176565615	
280	2.0	43.2505077123	
280	2.0	43.2357773111	
280	2.0	43.2614416317	
280	2.0	43.2409481218	
280	2.0	43.241739894	
280	3.0	43.1873856835	
280	2.0	43.2854950901	
280	2.0	43.2050497923	
280	2.0	43.2586606022	
280	2.0	43.2731862937	
280	2.0	43.2556843801	
280	2.0	43.189150048	
280	3.0	43.2317324342	
280	2.0	43.1664300203	
280	2.0	43.303217914	
280	2.0	43.3048279679	
280	2.0	43.2725180544	
280	2.0	43.1667431226	
280	3.0	43.2346805244	
280	2.0	43.2266898896	
280	2.0	43.2632357493	
280	2.0	43.2491244787	
280	2.0	43.2166485891	
280	2.0	43.2166770257	
280	2.0	43.3087043585	
280	2.0	43.2623189466	
280	2.0	43.3119077843	
280	2.0	43.2553249645	
280	2.0	43.2840046731	
280	2.0	43.2170775735	
280	2.0	43.3041998959	
280	3.0	43.2771835315	
280	2.0	43.2072145579	
280	2.0	43.1774666157	
280	2.0	43.3056767311	
280	2.0	43.1850404838	
280	2.0	43.2368807356	
280	2.0	43.2405067352	
280	2.0	43.2676503099	
280	2.0	43.2186955874	
280	1.0	43.2437338309	
280	2.0	43.2840824669	
280	2.0	43.2005208378	
280	2.0	43.2818803962	
280	2.0	43.3136868212	
280	2.0	43.3100782321	
280	2.0	43.3322308417	
280	2.0	43.3015268428	
280	2.0	43.1813161993	
280	2.0	43.2682777854	
280	3.0	43.204476093	
280	2.0	43.2763080153	
280	2.0	43.3196796154	
280	2.0	43.3167573715	
280	1.0	43.2836130311	
280	2.0	43.286970593	
280	2.0	43.3010028215	
280	2.0	43.265362748	
280	3.0	43.253863792	
280	2.0	43.2393714716	
280	2.0	43.2191221648	
280	2.0	43.1981549322	
280	2.0	43.2974680116	
280	1.0	43.2869096237	
280	2.0	43.2789719932	
280	2.0	43.2216302996	
280	2.0	43.3143802649	
280	2.0	43.2827612027	
280	2.0	43.2014166702	
280	2.0	43.2118648185	
280	2.0	43.3277755561	
280	2.0	43.3340892811	
280	2.0	43.2952326521	
280	2.0	43.2890502684	
280	2.0	43.3724656224	
280	2.0	43.2638028261	
280	3.0	43.2137391345	
280	2.0	43.2659742974	
280	1.0	43.2764115936	
280	2.0	43.3251635434	
280	2.0	43.2700680047	
280	2.0	43.2736817228	
280	2.0	43.2493730484	
280	2.0	43.2291651009	
280	2.0	43.2210556106	
280	2.0	43.2806122053	
280	1.0	43.3486276268	
280	2.0	43.3403051817	
280	2.0	43.3165924857	
280	2.0	43.3239740486	
280	2.0	43.3083511998	
280	2.0	43.229595144	
280	2.0	43.3038022614	
280	3.0	43.3270472456	
280	2.0	43.2721300031	
280	2.0	43.3070317064	
280	2.0	43.1990145501	
280	2.0	43.2469144423	
280	2.0	43.2224161791	
280	2.0	43.3058205703	
280	2.0	43.3283678686	
280	2.0	43.3239465416	
280	2.0	43.3516325116	
280	2.0	43.2105568914	
280	2.0	43.2229352559	
280	2.0	43.2911885766	
280	2.0	43.2913536328	
280	2.0	43.183397919	
280	3.0	43.2690029767	
280	2.0	43.2893443937	
280	2.0	43.2437747165	
280	2.0	43.2940494272	
280	2.0	43.2267191612	
280	2.0	43.2961242899	
280	2.0	43.2431573732	
280	1.0	43.2507927141	
280	2.0	43.2567553333	
280	2.0	43.294159446	
280	1.0	43.3371939335	
280	2.0	43.2997351858	
280	3.0	43.3209694735	
280	3.0	43.2791947532	
280	2.0	43.3146229976	
280	2.0	43.3199700798	
280	2.0	43.3276955444	
280	2.0	43.2753872485	
280	2.0	43.2445506472	
280	2.0	43.2632325378	
280	2.0	43.2936315782	
280	2.0	43.2385100222	
280	2.0	43.3235299476	
280	2.0	43.2910772108	
280	3.0	43.2337770057	
280	2.0	43.2262386982	
280	2.0	43.2339553447	
280	2.0	43.2348623793	
280	2.0	43.2482740862	
280	2.0	43.2804087503	
280	2.0	43.2455903663	
280	2.0	43.309956696	
280	2.0	43.2258335548	
280	2.0	43.2939376085	
280	2.0	43.2611712538	
280	1.0	43.2330202457	
280	2.0	43.2647749759	
280	2.0	43.2965021347	
280	2.0	43.2863839655	
280	3.0	43.2775287265	
280	2.0	43.2549968109	
280	2.0	43.2946940431	
280	2.0	43.2677908724	
280	1.0	43.1993944526	
280	2.0	43.2734943379	
280	2.0	43.25234602	
280	1.0	43.3106546688	
280	2.0	43.2992064986	
280	2.0	43.2789712859	
280	2.0	43.2963969355	
280	2.0	43.2891230376	
280	2.0	43.2827532003	
280	2.0	43.330734481	
280	2.0	43.2570227235	
280	2.0	43.2722882446	
280	2.0	43.2243345989	
280	2.0	43.2844119255	
280	2.0	43.2142837667	
280	2.0	43.3209579437	
280	2.0	43.2702512579	
280	2.0	43.3179059741	
280	2.0	43.3010582248	
280	3.0	43.2319001177	
280	2.0	43.2819887395	
280	2.0	43.257137525	
280	2.0	43.2266566859	
280	2.0	43.3118592759	
280	2.0	43.3062323192	
280	2.0	43.3238536938	
280	2.0	43.3140778935	
280	2.0	43.2607685252	
280	2.0	43.3287847208	
280	2.0	43.281080626	
280	2.0	43.3055871263	
280	2.0	43.3005051966	
280	2.0	43.2299928155	
280	2.0	43.2481881776	
280	2.0	43.2254219089	
280	2.0	43.2709531694	
280	2.0	43.2313884903	
280	2.0	43.2148109699	
280	2.0	43.2770963624	
280	2.0	43.2182925863	
280	2.0	43.224352875	
280	3.0	43.2971239073	
280	2.0	43.2613295109	
280	2.0	43.2689358135	
280	2.0	43.2674484839	
280	1.0	43.2486870541	
280	2.0	43.2705330271	
280	3.0	43.2780348469	
280	2.0	43.3000742638	
280	2.0	43.2994633178	
280	2.0	43.2691156001	
280	2.0	43.3179160622	
280	2.0	43.2937662443	
280	2.0	43.260612174	
280	2.0	43.2293496089	
280	2.0	43.3232475092	
280	2.0	43.3258001245	
280	3.0	43.2935521077	
280	2.0	43.2287899957	
280	2.0	43.1684179873	
280	2.0	43.2641718284	
280	2.0	43.2342870659	
280	2.0	43.276030704	
280	2.0	43.3342669823	
280	2.0	43.2918240624	
280	2.0	43.2902734431	
280	2.0	43.252607245	
280	2.0	43.2360238892	
280	2.0	43.221078834	
280	2.0	43.306242459	
280	2.0	43.2744986517	
280	2.0	43.2400620686	
280	2.0	43.2383762683	
280	2.0	43.3049916885	
280	2.0	43.3147526848	
280	2.0	43.2535166782	
280	2.0	43.3039948987	
280	2.0	43.2191704284	
280	2.0	43.209227862	
280	2.0	43.3084902141	
280	2.0	43.2665863837	
280	2.0	43.1957735367	
280	2.0	43.2698227171	
280	3.0	43.3311228771	
280	2.0	43.3391560139	
280	2.0	43.3052509571	
280	2.0	43.2843730182	
280	2.0	43.2783348324	
280	2.0	43.2725031071	
280	2.0	43.256210848	
280	2.0	43.1936659504	
280	2.0	43.2824812737	
280	1.0	43.2906338216	
280	2.0	43.2910454181	
280	2.0	43.320486993	
280	2.0	43.3372955822	
280	2.0	43.302970835	
280	2.0	43.1642498132	
280	2.0	43.1799801235	
280	2.0	43.2936494331	
280	2.0	43.1887853102	
280	2.0	43.2630237377	
280	2.0	43.3337411708	
280	3.0	43.2498795079	
280	2.0	43.2968602379	
280	2.0	43.2656902727	
280	2.0	43.3064822064	
280	2.0	43.2740753175	
280	1.0	43.2904158015	
280	2.0	43.2249545658	
280	2.0	43.3158710652	
280	2.0	43.297161295	
280	2.0	43.2908555313	
280	2.0	43.2719269033	
280	1.0	43.2609193076	
280	2.0	43.2261408273	
280	2.0	43.2543495411	
280	2.0	43.2758022517	
280	2.0	43.2990229974	
280	2.0	43.2649988934	
280	3.0	43.1969836408	
280	2.0	43.3037011466	
280	2.0	43.3185239835	
280	2.0	43.2442071155	
280	1.0	43.3306347962	
280	2.0	43.210366338	
280	2.0	43.2851832696	
280	2.0	43.3192049691	
280	3.0	43.2015527204	
280	2.0	43.3229518785	
280	2.0	43.2206452554	
280	2.0	43.2932260617	
280	2.0	43.2420452752	
280	1.0	43.3340287512	
280	2.0	43.2732715381	
280	2.0	43.3048632516	
280	2.0	43.2088953108	
280	2.0	43.3182168286	
280	3.0	43.2279968157	
280	2.0	43.2812844924	
280	2.0	43.1845184776	
280	2.0	43.2602714116	
280	1.0	43.2673464455	
280	1.0	43.2393748815	
280	2.0	43.2981431636	
280	2.0	43.2913006862	
280	2.0	43.2067029115	
280	2.0	43.2655009815	
280	2.0	43.2292332615	
280	2.0	43.2490580025	
280	2.0	43.3303515636	
280	1.0	43.2881733528	
280	2.0	43.2684767834	
280	2.0	43.2788577629	
280	2.0	43.2975044629	
280	2.0	43.2707263755	
280	2.0	43.280866365	
280	2.0	43.3146089021	
280	2.0	43.3122274928	
280	2.0	43.2437644832	
280	2.0	43.2992492689	
280	3.0	43.2354024133	
280	2.0	43.2806351356	
280	2.0	43.2781230478	
280	2.0	43.2923644342	
280	2.0	43.3275916263	
280	2.0	43.2744345821	
280	1.0	43.3163497096	
280	2.0	43.1763088567	
280	2.0	43.2160138254	
280	1.0	43.2870789433	
280	2.0	43.2888117524	
280	2.0	43.308199231	
280	2.0	43.33701275	
280	2.0	43.280519234	
280	2.0	43.2670111758	
280	3.0	43.2162683403	
280	2.0	43.2465921272	
280	2.0	43.2730259353	
280	2.0	43.2492780071	
280	2.0	43.261367272	
280	2.0	43.2775687949	
280	2.0	43.2852632221	
280	2.0	43.2431389598	
280	2.0	43.1692826819	
280	2.0	43.2730716649	
280	2.0	43.2903865317	
280	2.0	43.2065590106	
280	2.0	43.2339989537	
280	2.0	43.2764236874	
280	2.0	43.3391306052	
280	2.0	43.3357387251	
280	2.0	43.2137268391	
280	2.0	43.2930389552	
280	2.0	43.2788925318	
280	1.0	43.1764764608	
280	2.0	43.2034813475	
280	2.0	43.2276581473	
280	2.0	43.3101506823	
280	2.0	43.2446733406	
280	2.0	43.316358359	
280	2.0	43.2673873013	
280	2.0	43.2464547023	
280	3.0	43.2266123009	
280	2.0	43.2988041345	
280	2.0	43.2736550294	
280	2.0	43.2920049598	
280	3.0	43.2225845232	
280	2.0	43.2404992022	
