NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
150	0.0	-68.6681800557	
150	0.0	-68.8666658355	
150	0.0	-69.0597636377	
150	0.0	-70.1351795927	
150	0.0	-70.7832168569	
150	0.0	-69.7144290503	
150	0.0	-70.8038983615	
150	0.0	-70.0592283631	
150	0.0	-71.0692012245	
150	0.0	-70.6976021272	
150	0.0	-69.7825506257	
150	0.0	-69.471796384	
150	0.0	-70.9871864217	
150	0.0	-69.6738183216	
150	0.0	-71.8393336703	
150	0.0	-69.5404630956	
150	0.0	-69.2493839629	
150	0.0	-70.0944140208	
150	0.0	-71.0613349312	
150	0.0	-69.4920842099	
150	0.0	-71.870780278	
150	0.0	-69.8387258958	
150	0.0	-69.3705815287	
150	0.0	-70.2355341893	
150	0.0	-69.7315671027	
150	0.0	-71.0290997049	
150	0.0	-70.6036513889	
150	0.0	-70.0862234074	
150	0.0	-69.9983585246	
150	0.0	-70.689646085	
150	0.0	-70.1893912462	
150	0.0	-70.6191390405	
150	0.0	-69.7230866424	
150	0.0	-69.7505871259	
150	0.0	-69.977142865	
150	0.0	-69.6931896845	
150	0.0	-69.8946778085	
150	0.0	-69.8564628715	
150	0.0	-70.9854258948	
150	0.0	-70.3779753139	
150	0.0	-69.2006916001	
150	0.0	-69.615361811	
150	0.0	-69.7878808634	
150	0.0	-70.3656600905	
150	0.0	-69.955867102	
150	0.0	-71.6815014997	
150	0.0	-70.4376340221	
150	0.0	-70.8453386207	
150	0.0	-71.6455376488	
150	0.0	-68.5068431211	
150	0.0	-69.8680738996	
150	0.0	-68.6799121631	
150	0.0	-69.0638041383	
150	0.0	-71.0731549799	
150	0.0	-70.7425304636	
150	0.0	-69.6356904096	
150	0.0	-71.0150430771	
150	0.0	-70.5804622474	
150	0.0	-70.445575585	
150	0.0	-70.7403218242	
150	0.0	-69.3283018116	
150	0.0	-70.1466041562	
150	0.0	-69.612620999	
150	0.0	-69.3094696068	
150	0.0	-69.1771978623	
150	0.0	-69.9248519946	
150	0.0	-71.2015258106	
150	0.0	-71.2392449229	
150	0.0	-69.9422267425	
150	0.0	-70.7223992995	
150	0.0	-71.7870778873	
150	0.0	-69.9088957336	
150	0.0	-70.4449639727	
150	0.0	-71.5503855438	
150	0.0	-69.6760248004	
150	0.0	-70.0426208521	
150	0.0	-69.0522672838	
150	0.0	-70.9202628694	
150	0.0	-71.4425390086	
150	0.0	-70.5659684863	
150	0.0	-71.240597415	
150	0.0	-69.9196453991	
150	0.0	-69.3615998311	
150	0.0	-69.166186373	
150	0.0	-69.6783077895	
150	0.0	-71.0911806568	
150	0.0	-70.6781689896	
150	0.0	-71.442720749	
150	0.0	-72.6110041896	
150	0.0	-70.4725165526	
150	0.0	-69.9045735086	
150	0.0	-71.3270315471	
150	0.0	-70.9012882509	
150	0.0	-70.7363830241	
150	0.0	-70.4870862699	
150	0.0	-70.0869357258	
150	0.0	-69.765496651	
150	0.0	-69.2719754181	
150	0.0	-71.1397187572	
150	0.0	-70.6933825967	
150	0.0	-69.656155297	
