NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
210	1.0	42.9644830014	
210	1.0	43.049045382	
210	1.0	42.7584546078	
210	1.0	42.5695502099	
210	1.0	43.082588299	
210	1.0	42.8912016545	
210	1.0	42.8000796808	
210	1.0	43.0259444813	
210	1.0	42.9564043965	
210	1.0	43.0641609233	
210	1.0	42.9721064911	
210	1.0	43.0351962192	
210	1.0	42.8739509804	
210	1.0	42.8918768593	
210	1.0	42.9210416288	
210	1.0	43.0205264265	
210	1.0	42.8582412185	
210	1.0	42.9429530582	
210	1.0	43.126394914	
210	1.0	42.9439187122	
210	1.0	43.0069729195	
210	1.0	42.9672851722	
210	1.0	42.6878343207	
210	1.0	42.9814808293	
210	1.0	42.9256936635	
210	1.0	43.1555901259	
210	1.0	42.8221246812	
210	1.0	42.7690873025	
210	1.0	42.9767227863	
210	1.0	42.9149439628	
210	1.0	42.7436667163	
210	1.0	42.9971333131	
210	1.0	42.9950728265	
210	1.0	43.1168009208	
210	1.0	42.8586575098	
210	1.0	42.8925695072	
210	1.0	42.956430476	
210	1.0	42.749976231	
210	1.0	43.073505514	
210	1.0	42.6272793384	
210	1.0	42.8293635859	
210	1.0	42.6085925604	
210	1.0	43.0002088967	
210	1.0	42.9385889603	
210	0.0	-65.6239820263	
210	1.0	42.903908105	
210	1.0	42.7236950772	
210	1.0	43.1589064387	
210	0.0	-64.5528758092	
210	1.0	42.7959599246	
210	1.0	43.0527378241	
210	1.0	42.8637657663	
210	1.0	42.928323813	
210	1.0	42.8335780112	
210	1.0	42.8715084971	
210	1.0	42.9066255359	
210	1.0	43.046041202	
210	1.0	42.8975222507	
210	1.0	42.9650631983	
210	1.0	42.6375291331	
210	1.0	42.6963371219	
210	1.0	42.9661211548	
210	1.0	42.9596262313	
210	1.0	42.9402255472	
210	1.0	42.9295637826	
210	1.0	42.7534003355	
210	1.0	42.9021044955	
210	1.0	42.9194381966	
210	1.0	43.1163555983	
210	1.0	42.9242958195	
210	1.0	43.0599411112	
210	1.0	42.7828301875	
210	1.0	42.7438659163	
210	1.0	42.8711067173	
210	1.0	42.4870468492	
210	1.0	43.0020720068	
210	1.0	42.483515313	
210	1.0	42.8082415217	
210	1.0	42.7791408964	
210	1.0	42.9491027847	
210	1.0	43.0574390089	
210	1.0	42.7739371982	
210	1.0	42.2344488907	
210	1.0	42.8603203003	
210	1.0	42.8419605289	
210	1.0	43.0023135712	
210	1.0	42.9935828021	
210	1.0	42.5845182676	
210	1.0	42.7826352622	
210	1.0	42.9384433167	
210	1.0	42.889271771	
210	1.0	42.579962375	
210	1.0	43.0047659763	
210	1.0	42.866409219	
210	1.0	43.0179705113	
210	1.0	43.0217544429	
210	1.0	43.1401481329	
210	1.0	43.0203894516	
210	1.0	42.6407704207	
210	1.0	43.0114419198	
210	1.0	43.0299993187	
210	1.0	42.8612786793	
210	1.0	43.0614680051	
210	1.0	42.9576570792	
210	1.0	43.1330422469	
210	1.0	42.8946581427	
210	1.0	42.9034780956	
210	1.0	42.6707186292	
210	1.0	42.9595757288	
210	1.0	42.8488170333	
210	1.0	42.9891004111	
210	1.0	42.957429669	
210	1.0	42.7280438423	
210	1.0	43.0945590381	
210	1.0	42.8930943921	
210	1.0	43.0959688303	
210	1.0	42.5171667705	
210	1.0	42.8540543996	
210	1.0	42.7522336888	
210	1.0	42.9017169051	
210	1.0	42.7482987189	
210	1.0	42.9317019741	
210	1.0	42.9120192597	
210	1.0	43.0874422741	
210	1.0	42.9183527337	
210	1.0	43.0514804327	
210	1.0	43.0198450172	
210	1.0	43.086583355	
210	1.0	42.9084630865	
210	1.0	42.8753728135	
210	1.0	42.3901542539	
210	1.0	42.8267885737	
210	1.0	42.9375877598	
210	1.0	42.7371592804	
210	1.0	43.0034300221	
210	1.0	42.8223466498	
210	1.0	43.0449486305	
210	1.0	42.5862103695	
210	1.0	42.9050914367	
210	1.0	42.9680993893	
210	1.0	42.9698778587	
210	1.0	42.944360816	
210	0.0	-63.874977432	
210	1.0	42.9034551698	
210	1.0	42.8673247678	
210	1.0	42.8620179864	
210	1.0	43.1364680619	
210	1.0	43.0310921371	
210	1.0	43.0308987973	
210	1.0	42.8048073917	
210	1.0	42.7247419005	
210	1.0	42.5897525767	
210	1.0	42.8495886825	
210	1.0	42.8968299173	
210	1.0	43.0364419533	
210	1.0	42.7896675948	
210	1.0	42.9152255398	
210	1.0	42.8934872788	
210	1.0	42.7732242681	
210	1.0	42.8233551225	
210	1.0	43.0234386599	
210	1.0	42.9726569538	
210	1.0	42.7458892674	
210	1.0	43.0036602949	
210	1.0	43.1880719542	
210	1.0	43.042634792	
210	1.0	43.0442770609	
210	1.0	43.0188139876	
210	1.0	42.8932333433	
210	1.0	43.0245195804	
210	1.0	43.030647195	
210	1.0	42.7484639184	
210	1.0	42.8123894361	
210	1.0	42.9993156458	
210	1.0	42.7007222675	
210	1.0	42.9754413538	
210	1.0	42.8516529148	
210	1.0	42.7754096012	
210	1.0	43.0313914349	
210	1.0	43.1621680632	
210	1.0	43.0243252426	
210	1.0	42.9696598761	
210	1.0	42.9735902027	
210	1.0	42.7372316698	
210	1.0	42.9788861019	
210	1.0	42.9662738058	
210	1.0	42.9133981591	
210	1.0	42.8842329337	
210	1.0	42.8855129864	
210	1.0	42.8745126517	
210	1.0	42.9786034891	
210	1.0	43.028069066	
210	1.0	42.9302738396	
210	1.0	42.7264076951	
210	1.0	42.7282187902	
210	1.0	43.075858747	
210	1.0	42.9390353107	
210	1.0	42.9874150783	
210	1.0	43.057112339	
210	1.0	42.9883821371	
210	1.0	43.0732168696	
210	1.0	42.8926056414	
210	1.0	42.9522260641	
210	1.0	42.8279419997	
210	1.0	42.8822171807	
210	1.0	42.7263578722	
210	1.0	42.9393373954	
210	1.0	42.9100306213	
210	1.0	42.7573406897	
210	1.0	42.8752028273	
210	1.0	43.0462329331	
210	1.0	43.0046887008	
210	1.0	42.923244858	
210	1.0	42.8487117018	
210	1.0	42.9601510658	
210	1.0	42.9775584022	
210	1.0	43.07555476	
210	1.0	42.858623357	
210	1.0	42.7944204128	
210	1.0	42.7789885892	
210	1.0	43.0463298404	
210	1.0	42.9347241632	
210	1.0	43.0049260141	
210	1.0	42.820672092	
210	1.0	42.783748094	
210	1.0	42.8848617163	
210	1.0	43.0008863878	
210	1.0	43.1363473381	
210	1.0	42.9513506071	
210	1.0	43.032408929	
210	1.0	42.9194475869	
210	1.0	42.9815833411	
210	1.0	42.9069613244	
210	1.0	42.9317215957	
210	1.0	42.7871431704	
210	1.0	42.6988310026	
210	1.0	42.9507090008	
210	1.0	42.9915506878	
210	1.0	42.8795141294	
210	1.0	43.0939520447	
210	1.0	42.8047893414	
210	1.0	42.8894730368	
210	1.0	42.9805437732	
210	1.0	42.9743837672	
210	1.0	42.9916715286	
210	1.0	42.8820140679	
210	1.0	42.9362653691	
210	1.0	42.931460245	
210	1.0	42.7630026763	
210	1.0	43.0348953411	
210	1.0	43.0981226947	
210	1.0	42.9100151964	
210	1.0	43.1030496129	
210	1.0	43.101549349	
210	1.0	43.0611785515	
210	0.0	-63.5148878336	
210	1.0	42.6739288801	
210	1.0	42.9730723776	
210	1.0	43.0195570487	
210	1.0	42.9143799632	
210	1.0	43.0841040013	
210	1.0	42.9656043222	
210	1.0	43.0846668885	
210	1.0	43.0598172584	
210	1.0	42.8053074561	
210	1.0	42.9755938797	
210	1.0	42.9618088877	
210	1.0	42.7346773653	
210	1.0	43.04342581	
210	1.0	43.0716021602	
210	1.0	42.6487794357	
210	1.0	42.7379095109	
210	1.0	43.0378781668	
210	1.0	43.0325373277	
210	1.0	42.8971591243	
210	1.0	42.7806509014	
210	1.0	43.0013011881	
210	1.0	42.9605681981	
210	1.0	42.918257662	
210	1.0	42.9732171806	
210	1.0	43.029604451	
210	1.0	43.0264125683	
210	1.0	42.8324655862	
210	1.0	43.0796696432	
210	1.0	42.8257859769	
210	1.0	42.8066968754	
210	1.0	43.016433627	
210	1.0	43.0193792903	
210	1.0	43.0979506723	
210	1.0	42.9968472054	
210	1.0	42.5773064872	
210	1.0	43.0657955603	
210	1.0	43.0011937419	
210	1.0	42.9772144355	
210	1.0	43.0789706707	
210	1.0	42.9541232152	
210	1.0	42.8739508884	
210	1.0	43.0305100318	
210	1.0	42.4256143845	
210	1.0	42.6883539933	
210	1.0	42.8965850574	
210	1.0	42.6068628381	
210	1.0	42.9663846243	
210	1.0	43.0364294224	
210	1.0	42.9561242317	
210	1.0	43.0267567442	
210	1.0	43.0597202835	
210	1.0	43.0572568306	
210	1.0	42.7984419041	
210	1.0	42.789990101	
210	1.0	43.0170081588	
210	1.0	42.504525974	
210	1.0	42.7578808167	
210	1.0	42.9143033472	
210	1.0	43.0419655655	
210	1.0	42.8182170793	
210	1.0	42.9232310902	
210	1.0	42.6194866344	
210	1.0	42.8597340378	
210	1.0	42.9499962196	
210	1.0	42.7974422521	
210	1.0	42.6928062425	
210	1.0	42.9262665881	
210	1.0	43.0223700341	
210	1.0	43.0105281759	
210	1.0	42.174584166	
210	1.0	42.8366111077	
210	1.0	42.7980773848	
210	1.0	42.8546752947	
210	1.0	42.7146036056	
210	1.0	42.9738703746	
210	1.0	42.794350319	
210	1.0	43.0070101723	
210	1.0	43.106912975	
210	1.0	43.1104746198	
210	1.0	43.0515773472	
210	1.0	42.9949330042	
210	1.0	42.9370275453	
210	1.0	42.8186678461	
210	1.0	43.0390556116	
210	1.0	42.7698702178	
210	0.0	-64.6023590173	
210	1.0	42.9446284812	
210	1.0	42.8648188272	
210	1.0	42.9527338803	
210	1.0	42.7200978422	
210	1.0	42.9970160848	
210	1.0	42.8869853873	
210	1.0	43.0551166933	
210	1.0	42.886097103	
210	1.0	42.8339464003	
210	1.0	43.0469014219	
210	1.0	42.9825634673	
210	1.0	42.4333325865	
210	1.0	43.0870973423	
210	1.0	42.8788225837	
210	0.0	-64.8462996994	
210	1.0	42.9052162588	
210	1.0	42.6822302098	
210	1.0	43.0508471795	
210	1.0	42.9978169437	
210	1.0	42.8360061086	
210	1.0	42.9182101697	
210	1.0	43.0460075003	
210	1.0	43.0609666439	
210	1.0	42.7449563823	
210	1.0	42.7858760638	
210	1.0	43.0839858602	
210	1.0	42.744927044	
210	1.0	42.9520017345	
210	1.0	42.7905657906	
210	1.0	42.9056029916	
210	1.0	43.0470174628	
210	1.0	42.9758105358	
210	1.0	42.8339111126	
210	1.0	43.0646323018	
210	1.0	43.0391110895	
210	1.0	42.9595226142	
210	1.0	42.9057929679	
210	1.0	42.8661461662	
210	1.0	43.023246377	
210	1.0	43.0229983109	
210	1.0	42.7210826889	
210	1.0	42.9745367536	
210	1.0	43.0033337455	
210	1.0	42.9892717466	
210	1.0	42.8652601338	
210	1.0	43.0517418255	
210	1.0	43.0160493528	
210	1.0	42.9121625179	
210	1.0	42.5773138008	
210	1.0	43.0205805566	
210	1.0	43.0477333404	
210	1.0	42.8725358746	
210	1.0	42.6088235611	
210	1.0	42.9122352679	
210	1.0	43.0746616444	
210	1.0	42.8814307379	
210	1.0	42.8684398827	
210	1.0	42.9186744068	
210	1.0	42.9718860417	
210	1.0	42.8753033267	
210	1.0	43.0633824526	
210	1.0	43.0609026413	
210	1.0	42.9704970977	
210	1.0	42.9603138344	
210	1.0	42.9676313836	
210	1.0	42.9670284969	
210	1.0	42.9258367346	
210	1.0	42.7723774828	
210	1.0	43.0563462466	
210	1.0	43.102833591	
210	1.0	42.9933562165	
210	1.0	42.9500398608	
210	1.0	43.0907180798	
210	1.0	42.7364230693	
210	1.0	42.4366517408	
210	1.0	43.0449856469	
210	1.0	42.9719431678	
210	1.0	42.8420581903	
210	1.0	42.8532870922	
210	1.0	42.9252507989	
210	1.0	43.0935957538	
210	1.0	43.0508907416	
210	1.0	42.9102175596	
210	1.0	43.0210781887	
210	1.0	42.7042666603	
210	1.0	42.9934558091	
210	1.0	42.876538388	
210	1.0	42.6693242212	
210	1.0	42.775412744	
210	1.0	43.0013312221	
210	1.0	42.9411775285	
210	1.0	42.4362359572	
210	1.0	42.9754845686	
210	1.0	42.9606541188	
210	1.0	42.873465075	
210	1.0	43.0324783551	
210	1.0	42.8558271485	
210	1.0	42.8475861335	
210	1.0	42.9007002135	
210	1.0	43.0770663002	
210	1.0	42.9907404117	
210	1.0	43.1207750011	
210	1.0	42.976554485	
210	1.0	43.062365738	
210	1.0	43.1108684287	
210	1.0	42.5463968494	
210	1.0	42.9579092072	
210	1.0	42.6535128041	
210	1.0	43.0359406647	
210	1.0	42.3669067655	
210	1.0	42.8859838362	
210	1.0	42.7843424838	
210	1.0	42.7705513333	
210	1.0	42.9718319076	
210	1.0	42.776203182	
210	1.0	43.0894883851	
210	1.0	43.0831546687	
210	1.0	43.0631532377	
210	1.0	43.1486630193	
210	1.0	42.8902159821	
210	1.0	42.8359835575	
210	1.0	42.6828145342	
210	1.0	42.496194111	
