Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell1303_06_model_cm_0_52[0].soma[0],0.500,-85.2263,-85.2263,-81.167,358.429,358.429,798.484,48.0759,11.6396,0
0,cell1303_06_model_cm_0_52[0].soma[0],0.500,-85.1917,-85.1917,0,369.613,369.613,0,48.0759,11.6396,0
1,cell1303_06_model_cm_0_52[0].soma[0],1.000,-85.2267,-85.1813,-81.1143,358.286,364.164,804.042,48.8594,12.3232,11.6151
0,cell1303_06_model_cm_0_52[0].soma[0],1.000,-85.1922,-85.1444,0,369.458,375.519,0,48.8594,12.3232,11.6151
1,cell1303_06_model_cm_0_52[0].dend[0],0.500,-85.2549,-85.1705,-81.1053,354.659,366.022,805.859,49.1119,12.5007,11.4221
0,cell1303_06_model_cm_0_52[0].dend[0],0.500,-85.2219,-85.1331,0,365.717,377.434,0,49.1119,12.5007,11.4221
1,cell1303_06_model_cm_0_52[0].dend[0],1.000,-85.2912,-85.1027,-81.0339,349.817,375.814,815.389,50.4471,13.5503,22.8443
0,cell1303_06_model_cm_0_52[0].dend[0],1.000,-85.2602,-85.0619,0,360.714,387.521,0,50.4471,13.5503,22.8443
1,cell1303_06_model_cm_0_52[0].dend[1],0.500,-85.2926,-85.0985,-81.0295,349.642,376.428,815.988,50.5308,13.615,23.409
0,cell1303_06_model_cm_0_52[0].dend[1],0.500,-85.2617,-85.0575,0,360.533,388.154,0,50.5308,13.615,23.409
1,cell1303_06_model_cm_0_52[0].dend[1],1.000,-85.294,-85.0943,-81.0252,349.467,377.042,816.586,50.6146,13.6794,23.9738
0,cell1303_06_model_cm_0_52[0].dend[1],1.000,-85.2631,-85.053,0,360.352,388.786,0,50.6146,13.6794,23.9738
1,cell1303_06_model_cm_0_52[0].dend[2],0.500,-85.3097,-84.9241,-80.8527,347.442,399.604,838.525,53.7001,16.2884,29.1348
0,cell1303_06_model_cm_0_52[0].dend[2],0.500,-85.2798,-84.8743,0,358.242,412.025,0,53.7001,16.2884,29.1348
1,cell1303_06_model_cm_0_52[0].dend[2],1.000,-85.3248,-84.7574,-80.6912,345.466,421.97,860.292,56.7648,18.857,34.2958
0,cell1303_06_model_cm_0_52[0].dend[2],1.000,-85.2958,-84.6994,0,356.183,435.059,0,56.7648,18.857,34.2958
1,cell1303_06_model_cm_0_52[0].dend[3],0.500,-85.3343,-84.6388,-80.573,344.193,437.767,875.665,58.935,20.654,37.3755
0,cell1303_06_model_cm_0_52[0].dend[3],0.500,-85.3059,-84.5749,0,354.855,451.328,0,58.935,20.654,37.3755
