Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell0603_08_model_cm_0_45[0].soma[0],0.500,-85.3111,-85.3111,-81.2796,418.159,418.159,858.419,55.9618,10.0257,0
0,cell0603_08_model_cm_0_45[0].soma[0],0.500,-85.2827,-85.2827,0,431.22,431.22,0,55.9618,10.0257,0
1,cell0603_08_model_cm_0_45[0].soma[0],1.000,-85.3113,-85.2836,-81.2412,418.037,422.312,862.444,56.5313,10.4621,11.0794
0,cell0603_08_model_cm_0_45[0].soma[0],1.000,-85.283,-85.2537,0,431.088,435.497,0,56.5313,10.4621,11.0794
1,cell0603_08_model_cm_0_45[0].dend[0],0.500,-85.3469,-85.1841,-81.1216,412.731,438.176,877.885,58.7009,11.9968,12.2946
0,cell0603_08_model_cm_0_45[0].dend[0],0.500,-85.3207,-85.1487,0,425.599,451.836,0,58.7009,11.9968,12.2946
1,cell0603_08_model_cm_0_45[0].dend[0],1.000,-85.3795,-85.059,-80.9951,407.471,457.812,897.036,61.3869,13.9321,24.5891
0,cell0603_08_model_cm_0_45[0].dend[0],1.000,-85.3553,-85.0171,0,420.154,472.062,0,61.3869,13.9321,24.5891
1,cell0603_08_model_cm_0_45[0].dend[1],0.167,-85.4138,-84.0879,-80.0103,400.039,579.082,1014.85,78.1888,28.3631,31.9318
0,cell0603_08_model_cm_0_45[0].dend[1],0.167,-85.3918,-83.9959,0,412.347,596.897,0,78.1888,28.3631,31.9318
1,cell0603_08_model_cm_0_45[0].dend[1],0.500,-85.4689,-82.5552,-78.5819,386.639,810.529,1240.6,110.777,53.7581,46.6171
0,cell0603_08_model_cm_0_45[0].dend[1],0.500,-85.4504,-82.3916,0,398.315,835.001,0,110.777,53.7581,46.6171
1,cell0603_08_model_cm_0_45[0].dend[1],0.833,-85.507,-81.557,-77.7545,374.905,1029.56,1455.39,142.039,73.8801,61.3024
0,cell0603_08_model_cm_0_45[0].dend[1],0.833,-85.4908,-81.3553,0,386.08,1060.25,0,142.039,73.8801,61.3024
1,cell0603_08_model_cm_0_45[0].dend[1],1.000,-85.5209,-81.1801,-77.5033,369.642,1135.66,1559.81,157.268,82.569,68.645
0,cell0603_08_model_cm_0_45[0].dend[1],1.000,-85.5053,-80.9675,0,380.61,1169.35,0,157.268,82.569,68.645
1,cell0603_08_model_cm_0_45[0].dend[2],0.056,-85.533,-80.2547,-76.649,363.652,1298.97,1719.51,181.384,99.9109,79.3974
0,cell0603_08_model_cm_0_45[0].dend[2],0.056,-85.5181,-80.0034,0,374.316,1337.05,0,181.384,99.9109,79.3974
1,cell0603_08_model_cm_0_45[0].dend[2],0.167,-85.5525,-78.6424,-75.241,353.133,1616.6,2030.71,229.171,133.046,100.902
0,cell0603_08_model_cm_0_45[0].dend[2],0.167,-85.5386,-78.3318,0,363.275,1663.02,0,229.171,133.046,100.902
1,cell0603_08_model_cm_0_45[0].dend[2],0.278,-85.5676,-77.1983,-74.0722,344.084,1924.16,2332.66,276.464,164.971,122.407
0,cell0603_08_model_cm_0_45[0].dend[2],0.278,-85.5544,-76.8429,0,353.793,1978.44,0,276.464,164.971,122.407
1,cell0603_08_model_cm_0_45[0].dend[2],0.389,-85.5798,-75.7675,-72.9278,336.136,2224.05,2627.38,323.604,196.936,143.911
0,cell0603_08_model_cm_0_45[0].dend[2],0.389,-85.5672,-75.3681,0,345.469,2285.78,0,323.604,196.936,143.911
1,cell0603_08_model_cm_0_45[0].dend[2],0.500,-85.5901,-74.284,-71.6685,328.972,2517.59,2915.87,370.931,229.937,165.416
0,cell0603_08_model_cm_0_45[0].dend[2],0.500,-85.578,-73.8354,0,337.959,2586.34,0,370.931,229.937,165.416
1,cell0603_08_model_cm_0_45[0].dend[2],0.611,-85.5993,-72.7418,-70.264,322.319,2805.17,3198.2,418.784,264.645,186.921
0,cell0603_08_model_cm_0_45[0].dend[2],0.611,-85.5876,-72.2393,0,330.968,2880.42,0,418.784,264.645,186.921
1,cell0603_08_model_cm_0_45[0].dend[2],0.722,-85.6079,-71.1576,-68.7413,315.938,3086.39,3473.73,467.51,301.483,208.426
0,cell0603_08_model_cm_0_45[0].dend[2],0.722,-85.5967,-70.5987,0,324.24,3167.47,0,467.51,301.483,208.426
1,cell0603_08_model_cm_0_45[0].dend[2],0.833,-85.6163,-69.5519,-67.1349,309.634,3360.29,3741.28,517.458,340.737,229.93
0,cell0603_08_model_cm_0_45[0].dend[2],0.833,-85.6056,-68.938,0,317.568,3446.36,0,517.458,340.737,229.93
1,cell0603_08_model_cm_0_45[0].dend[2],0.944,-85.6247,-67.9371,-65.4691,303.274,3625.77,3999.61,568.99,382.712,251.435
0,cell0603_08_model_cm_0_45[0].dend[2],0.944,-85.6145,-67.2715,0,310.814,3715.87,0,568.99,382.712,251.435
1,cell0603_08_model_cm_0_45[0].dend[2],1.000,-85.629,-67.1276,-64.6104,300,3755.29,4125.1,595.732,405.044,262.187
0,cell0603_08_model_cm_0_45[0].dend[2],1.000,-85.6191,-66.4384,0,307.33,3847.01,0,595.732,405.044,262.187
1,cell0603_08_model_cm_0_45[0].dend[3],0.056,-85.5313,-80.2959,-76.6942,364.208,1287.68,1708.4,179.733,99.3621,78.5805
0,cell0603_08_model_cm_0_45[0].dend[3],0.056,-85.5163,-80.0468,0,374.893,1325.45,0,179.733,99.3621,78.5805
1,cell0603_08_model_cm_0_45[0].dend[3],0.167,-85.5483,-78.7129,-75.3188,354.563,1584.03,1998.54,224.342,131.976,98.4515
0,cell0603_08_model_cm_0_45[0].dend[3],0.167,-85.5342,-78.4059,0,364.758,1629.56,0,224.342,131.976,98.4515
1,cell0603_08_model_cm_0_45[0].dend[3],0.278,-85.5619,-77.2538,-74.1223,346.16,1871.51,2280.5,268.588,163.869,118.322
0,cell0603_08_model_cm_0_45[0].dend[3],0.278,-85.5485,-76.8992,0,355.939,1924.37,0,268.588,163.869,118.322
1,cell0603_08_model_cm_0_45[0].dend[3],0.389,-85.5732,-75.8038,-72.9274,338.694,2152,2555.83,312.746,195.935,138.193
0,cell0603_08_model_cm_0_45[0].dend[3],0.389,-85.5603,-75.4018,0,348.105,2211.78,0,312.746,195.935,138.193
