NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	100316_Cl4_5to2	dend	6	0.5	dend	38	0.0555555555556	apic	2	0.5	apic	0	1.0	apic	1	0.7	0.3	1.8	0.000468	141.901	0.003043
5	100316_Cl4_5to2	dend	10	1.0	apic	1	0.5	dend	6	0.5	dend	11	0.166666666667	dend	9	1.0	0.3	1.8	0.000486	141.848	0.003073
5	100316_Cl4_5to2	dend	11	1.0	dend	42	0.5	apic	1	1.0	dend	7	0.5	dend	8	0.833333333333	0.3	1.8	0.000483	141.799	0.003068
5	100316_Cl4_5to2	dend	9	1.0	dend	30	0.5	dend	6	0.5	apic	8	0.5	dend	36	1.0	0.3	1.8	0.000467	141.941	0.003043
5	100316_Cl4_5to2	dend	11	1.0	apic	1	0.7	apic	3	0.166666666667	apic	1	0.9	apic	2	1.0	0.3	1.8	0.000492	141.949	0.003031
5	100316_Cl4_5to2	dend	42	0.5	dend	12	0.5	dend	12	0.5	apic	1	1.0	dend	8	0.5	0.3	1.8	0.000474	141.948	0.003055
5	100316_Cl4_5to2	dend	64	1.0	dend	38	0.0555555555556	apic	2	0.5	dend	37	0.5	dend	30	0.5	0.3	1.8	0.000467	141.941	0.003053
5	100316_Cl4_5to2	dend	53	0.5	dend	49	0.3	dend	0	1.0	dend	4	0.5	dend	11	0.5	0.3	1.8	0.000467	141.936	0.003060
5	100316_Cl4_5to2	dend	11	0.166666666667	dend	7	1.0	dend	42	0.5	dend	1	0.166666666667	dend	64	1.0	0.3	1.8	0.000473	141.947	0.003076
5	100316_Cl4_5to2	apic	1	0.9	apic	0	1.0	dend	8	1.0	dend	29	0.277777777778	dend	49	0.3	0.3	1.8	0.000471	141.926	0.003077
5	100316_Cl4_5to2	dend	5	0.0333333333333	dend	12	1.0	dend	0	1.0	dend	10	0.5	apic	1	0.3	0.3	1.8	0.000471	141.878	0.003054
5	100316_Cl4_5to2	dend	11	0.833333333333	apic	1	0.1	dend	7	0.5	dend	30	0.5	dend	8	0.5	0.3	1.8	0.000474	141.866	0.003063
5	100316_Cl4_5to2	dend	52	1.0	dend	6	1.0	dend	42	0.5	apic	1	0.9	dend	30	0.5	0.3	1.8	0.000467	141.929	0.003054
5	100316_Cl4_5to2	apic	1	1.0	dend	5	0.0333333333333	dend	11	0.166666666667	dend	10	1.0	apic	2	1.0	0.3	1.8	0.000483	141.850	0.003057
5	100316_Cl4_5to2	dend	6	1.0	dend	1	0.166666666667	dend	8	0.166666666667	dend	42	0.5	dend	6	1.0	0.3	1.8	0.000468	141.923	0.003057
5	100316_Cl4_5to2	dend	9	1.0	dend	12	0.5	dend	8	0.833333333333	apic	8	0.5	apic	2	0.5	0.3	1.8	0.000477	141.914	0.003028
5	100316_Cl4_5to2	dend	9	1.0	apic	1	0.7	apic	1	0.9	dend	36	1.0	dend	12	1.0	0.3	1.8	0.000480	141.858	0.003061
5	100316_Cl4_5to2	apic	1	1.0	dend	5	0.0333333333333	apic	1	0.3	dend	64	1.0	dend	11	1.0	0.3	1.8	0.000482	141.842	0.003066
5	100316_Cl4_5to2	dend	12	1.0	apic	2	0.5	dend	10	1.0	apic	1	0.5	dend	6	0.5	0.3	1.8	0.000473	141.948	0.003045
5	100316_Cl4_5to2	dend	37	1.0	dend	12	1.0	dend	1	0.166666666667	dend	37	1.0	dend	12	1.0	0.3	1.8	0.000470	141.913	0.003051
5	100316_Cl4_5to2	dend	38	0.0555555555556	dend	36	1.0	dend	6	1.0	dend	29	0.277777777778	dend	53	0.5	0.3	1.8	0.000466	141.897	0.003073
5	100316_Cl4_5to2	dend	37	0.5	apic	1	0.7	apic	1	0.3	dend	9	1.0	apic	2	0.5	0.3	1.8	0.000474	141.937	0.003043
5	100316_Cl4_5to2	dend	9	0.5	dend	8	1.0	dend	12	0.5	apic	8	0.5	apic	0	1.0	0.3	1.8	0.000475	141.876	0.003031
5	100316_Cl4_5to2	apic	1	0.3	dend	9	0.5	dend	29	0.277777777778	apic	1	0.3	dend	7	0.5	0.3	1.8	0.000472	141.897	0.003080
5	100316_Cl4_5to2	apic	1	1.0	dend	64	1.0	apic	0	1.0	apic	2	0.5	dend	49	0.3	0.3	1.8	0.000470	141.936	0.003046
5	100316_Cl4_5to2	dend	11	1.0	dend	12	0.5	dend	29	0.277777777778	dend	36	1.0	dend	11	0.166666666667	0.3	1.8	0.000476	141.806	0.003101
