NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	110426_Sl4_Cl2_4to6	apic	7	0.0555555555556	apic	17	0.136363636364	apic	6	0.0454545454545	apic	11	0.136363636364	apic	17	0.227272727273	0.3	1.8	0.000695	138.731	0.000835
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	7	0.0555555555556	apic	31	0.1	apic	31	0.1	apic	5	0.5	0.3	1.8	0.000707	138.978	0.000809
5	110426_Sl4_Cl2_4to6	dend	58	0.5	apic	6	0.136363636364	apic	17	0.227272727273	apic	6	0.0454545454545	apic	5	1.0	0.3	1.8	0.000693	138.754	0.000837
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	11	0.227272727273	apic	16	0.0384615384615	apic	16	0.0384615384615	apic	17	0.318181818182	0.3	1.8	0.000703	138.704	0.000831
5	110426_Sl4_Cl2_4to6	apic	23	0.5	apic	7	0.166666666667	apic	10	0.136363636364	apic	16	0.269230769231	apic	16	0.269230769231	0.3	1.8	0.000719	138.727	0.000818
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	7	0.0555555555556	apic	7	0.277777777778	apic	23	0.5	apic	11	0.227272727273	0.3	1.8	0.000715	138.701	0.000829
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	16	0.115384615385	apic	11	0.227272727273	dend	58	0.5	apic	4	0.318181818182	0.3	1.8	0.000670	138.780	0.000838
5	110426_Sl4_Cl2_4to6	apic	17	0.318181818182	dend	58	0.833333333333	apic	17	0.227272727273	apic	4	0.136363636364	apic	16	0.192307692308	0.3	1.8	0.000707	138.730	0.000825
5	110426_Sl4_Cl2_4to6	apic	16	0.192307692308	apic	5	1.0	apic	11	0.227272727273	apic	4	0.318181818182	apic	46	0.166666666667	0.3	1.8	0.000695	138.681	0.000819
5	110426_Sl4_Cl2_4to6	apic	46	0.166666666667	apic	17	0.409090909091	apic	23	0.5	apic	4	0.318181818182	dend	58	0.5	0.3	1.8	0.000698	138.797	0.000798
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	7	0.277777777778	dend	58	0.833333333333	apic	17	0.318181818182	apic	16	0.0384615384615	0.3	1.8	0.000682	138.653	0.000830
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	6	0.0454545454545	dend	58	0.833333333333	apic	5	0.5	apic	4	0.136363636364	0.3	1.8	0.000695	138.751	0.000838
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	4	0.227272727273	apic	10	0.227272727273	apic	17	0.409090909091	dend	58	0.833333333333	0.3	1.8	0.000687	138.672	0.000841
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	16	0.0384615384615	apic	6	0.0454545454545	apic	4	0.136363636364	apic	7	0.277777777778	0.3	1.8	0.000705	138.800	0.000840
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	17	0.318181818182	apic	10	0.136363636364	apic	4	0.409090909091	apic	16	0.269230769231	0.3	1.8	0.000727	138.511	0.000846
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	dend	58	0.5	apic	5	0.5	apic	5	1.0	apic	4	0.227272727273	0.3	1.8	0.000668	138.795	0.000845
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	17	0.409090909091	apic	5	0.5	apic	31	0.1	dend	58	0.5	0.3	1.8	0.000679	138.917	0.000816
5	110426_Sl4_Cl2_4to6	apic	17	0.227272727273	apic	4	0.318181818182	apic	46	0.166666666667	apic	7	0.0555555555556	apic	16	0.192307692308	0.3	1.8	0.000705	138.766	0.000814
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	16	0.115384615385	apic	4	0.227272727273	apic	16	0.269230769231	apic	4	0.227272727273	0.3	1.8	0.000710	138.784	0.000831
5	110426_Sl4_Cl2_4to6	apic	16	0.192307692308	apic	16	0.0384615384615	apic	7	0.0555555555556	apic	11	0.227272727273	apic	17	0.409090909091	0.3	1.8	0.000704	138.659	0.000829
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	apic	7	0.166666666667	apic	6	0.136363636364	apic	16	0.192307692308	dend	58	0.5	0.3	1.8	0.000685	138.650	0.000834
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	dend	58	0.5	apic	16	0.269230769231	apic	4	0.409090909091	apic	10	0.227272727273	0.3	1.8	0.000690	138.667	0.000840
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	17	0.136363636364	apic	7	0.0555555555556	apic	46	0.166666666667	apic	6	0.0454545454545	0.3	1.8	0.000702	138.766	0.000815
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	5	0.5	apic	7	0.277777777778	dend	58	0.5	apic	17	0.409090909091	0.3	1.8	0.000686	138.687	0.000837
5	110426_Sl4_Cl2_4to6	apic	23	0.5	apic	7	0.166666666667	apic	7	0.166666666667	apic	5	0.5	apic	4	0.318181818182	0.3	1.8	0.000719	138.754	0.000823
5	110426_Sl4_Cl2_4to6	apic	16	0.0384615384615	apic	16	0.0384615384615	apic	16	0.269230769231	apic	5	1.0	apic	11	0.227272727273	0.3	1.8	0.000698	138.769	0.000826
5	110426_Sl4_Cl2_4to6	apic	46	0.166666666667	apic	17	0.136363636364	apic	4	0.318181818182	apic	11	0.136363636364	dend	58	0.5	0.3	1.8	0.000676	138.750	0.000819
5	110426_Sl4_Cl2_4to6	apic	16	0.269230769231	apic	16	0.115384615385	apic	7	0.277777777778	apic	17	0.318181818182	apic	4	0.227272727273	0.3	1.8	0.000719	138.595	0.000834
5	110426_Sl4_Cl2_4to6	apic	6	0.136363636364	apic	4	0.409090909091	apic	16	0.115384615385	apic	16	0.115384615385	apic	16	0.192307692308	0.3	1.8	0.000732	138.651	0.000834
5	110426_Sl4_Cl2_4to6	apic	7	0.0555555555556	dend	58	0.5	apic	6	0.136363636364	apic	16	0.0384615384615	apic	17	0.227272727273	0.3	1.8	0.000678	138.757	0.000827
5	110426_Sl4_Cl2_4to6	dend	58	0.833333333333	apic	7	0.277777777778	apic	4	0.318181818182	apic	46	0.166666666667	apic	6	0.0454545454545	0.3	1.8	0.000701	138.699	0.000822
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	10	0.136363636364	apic	17	0.409090909091	apic	17	0.227272727273	apic	16	0.0384615384615	0.3	1.8	0.000700	138.822	0.000828
5	110426_Sl4_Cl2_4to6	apic	17	0.227272727273	dend	58	0.5	apic	16	0.0384615384615	apic	10	0.136363636364	apic	5	0.5	0.3	1.8	0.000660	138.853	0.000838
5	110426_Sl4_Cl2_4to6	apic	17	0.318181818182	dend	58	0.833333333333	apic	11	0.227272727273	apic	4	0.136363636364	apic	16	0.269230769231	0.3	1.8	0.000688	138.622	0.000835
5	110426_Sl4_Cl2_4to6	apic	11	0.136363636364	apic	16	0.269230769231	apic	16	0.192307692308	apic	5	1.0	apic	16	0.0384615384615	0.3	1.8	0.000709	138.800	0.000826
5	110426_Sl4_Cl2_4to6	apic	17	0.409090909091	apic	16	0.0384615384615	dend	58	0.833333333333	apic	6	0.0454545454545	dend	58	0.5	0.3	1.8	0.000680	138.799	0.000826
5	110426_Sl4_Cl2_4to6	apic	5	1.0	apic	23	0.5	apic	11	0.136363636364	apic	46	0.166666666667	apic	7	0.277777777778	0.3	1.8	0.000701	138.835	0.000804
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	5	1.0	apic	16	0.0384615384615	apic	4	0.318181818182	apic	4	0.409090909091	0.3	1.8	0.000699	138.669	0.000841
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	17	0.409090909091	apic	16	0.0384615384615	apic	11	0.136363636364	apic	17	0.409090909091	0.3	1.8	0.000744	138.610	0.000836
5	110426_Sl4_Cl2_4to6	apic	16	0.115384615385	apic	16	0.269230769231	apic	17	0.409090909091	apic	16	0.269230769231	apic	7	0.0555555555556	0.3	1.8	0.000760	138.580	0.000835
5	110426_Sl4_Cl2_4to6	apic	7	0.166666666667	apic	16	0.115384615385	apic	10	0.227272727273	apic	6	0.0454545454545	apic	7	0.0555555555556	0.3	1.8	0.000703	138.673	0.000839
5	110426_Sl4_Cl2_4to6	apic	16	0.192307692308	apic	10	0.136363636364	apic	31	0.1	apic	16	0.269230769231	apic	10	0.227272727273	0.3	1.8	0.000735	138.651	0.000812
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	16	0.115384615385	dend	58	0.833333333333	apic	17	0.318181818182	apic	5	0.5	0.3	1.8	0.000685	138.730	0.000830
5	110426_Sl4_Cl2_4to6	apic	10	0.227272727273	apic	16	0.192307692308	apic	4	0.409090909091	apic	11	0.227272727273	apic	7	0.166666666667	0.3	1.8	0.000698	138.583	0.000848
5	110426_Sl4_Cl2_4to6	apic	10	0.227272727273	apic	7	0.277777777778	apic	23	0.5	apic	17	0.318181818182	apic	46	0.166666666667	0.3	1.8	0.000711	138.704	0.000804
5	110426_Sl4_Cl2_4to6	apic	10	0.136363636364	apic	16	0.192307692308	apic	17	0.227272727273	apic	4	0.409090909091	apic	31	0.1	0.3	1.8	0.000707	138.703	0.000813
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	11	0.136363636364	apic	16	0.0384615384615	apic	10	0.227272727273	apic	7	0.166666666667	0.3	1.8	0.000699	138.717	0.000842
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	6	0.136363636364	apic	5	0.5	apic	31	0.1	apic	6	0.136363636364	0.3	1.8	0.000730	138.902	0.000822
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	31	0.1	apic	4	0.136363636364	apic	6	0.136363636364	apic	5	0.5	0.3	1.8	0.000694	138.770	0.000823
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	17	0.136363636364	apic	16	0.0384615384615	apic	16	0.115384615385	apic	17	0.227272727273	0.3	1.8	0.000729	138.802	0.000821
5	110426_Sl4_Cl2_4to6	apic	17	0.409090909091	apic	7	0.166666666667	apic	4	0.227272727273	apic	10	0.136363636364	apic	4	0.318181818182	0.3	1.8	0.000707	138.570	0.000846
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	46	0.166666666667	apic	16	0.115384615385	apic	7	0.277777777778	apic	11	0.136363636364	0.3	1.8	0.000696	138.765	0.000816
5	110426_Sl4_Cl2_4to6	apic	16	0.269230769231	apic	4	0.409090909091	apic	17	0.227272727273	apic	6	0.0454545454545	apic	5	0.5	0.3	1.8	0.000703	138.720	0.000836
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	46	0.166666666667	apic	7	0.0555555555556	apic	7	0.277777777778	apic	4	0.227272727273	0.3	1.8	0.000717	138.808	0.000820
5	110426_Sl4_Cl2_4to6	apic	5	1.0	apic	23	0.5	apic	16	0.269230769231	apic	17	0.318181818182	apic	17	0.409090909091	0.3	1.8	0.000734	138.691	0.000818
5	110426_Sl4_Cl2_4to6	apic	17	0.318181818182	dend	58	0.5	apic	17	0.136363636364	apic	7	0.166666666667	apic	16	0.115384615385	0.3	1.8	0.000695	138.776	0.000824
5	110426_Sl4_Cl2_4to6	apic	17	0.227272727273	apic	6	0.136363636364	apic	7	0.277777777778	apic	11	0.227272727273	apic	4	0.318181818182	0.3	1.8	0.000703	138.557	0.000850
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	5	1.0	apic	46	0.166666666667	apic	16	0.115384615385	apic	6	0.136363636364	0.3	1.8	0.000715	138.758	0.000815
5	110426_Sl4_Cl2_4to6	apic	16	0.0384615384615	apic	5	0.5	apic	7	0.0555555555556	apic	4	0.409090909091	apic	7	0.166666666667	0.3	1.8	0.000703	138.773	0.000836
5	110426_Sl4_Cl2_4to6	apic	31	0.1	apic	16	0.115384615385	apic	11	0.136363636364	apic	16	0.269230769231	apic	7	0.0555555555556	0.3	1.8	0.000706	138.772	0.000810
5	110426_Sl4_Cl2_4to6	apic	7	0.0555555555556	apic	7	0.166666666667	apic	31	0.1	apic	10	0.136363636364	apic	16	0.192307692308	0.3	1.8	0.000701	138.756	0.000817
5	110426_Sl4_Cl2_4to6	apic	7	0.277777777778	apic	17	0.227272727273	apic	10	0.227272727273	dend	58	0.5	apic	16	0.192307692308	0.3	1.8	0.000684	138.696	0.000831
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	5	0.5	apic	11	0.136363636364	apic	6	0.136363636364	apic	16	0.115384615385	0.3	1.8	0.000689	138.770	0.000841
5	110426_Sl4_Cl2_4to6	apic	17	0.318181818182	apic	5	1.0	apic	17	0.318181818182	apic	11	0.136363636364	apic	7	0.0555555555556	0.3	1.8	0.000712	138.650	0.000839
5	110426_Sl4_Cl2_4to6	apic	10	0.227272727273	apic	17	0.227272727273	apic	17	0.136363636364	apic	7	0.277777777778	apic	16	0.192307692308	0.3	1.8	0.000714	138.580	0.000833
5	110426_Sl4_Cl2_4to6	apic	5	1.0	apic	5	1.0	apic	17	0.318181818182	apic	16	0.269230769231	apic	5	1.0	0.3	1.8	0.000716	138.712	0.000837
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	apic	17	0.136363636364	dend	58	0.833333333333	apic	23	0.5	dend	58	0.5	0.3	1.8	0.000675	138.873	0.000815
5	110426_Sl4_Cl2_4to6	apic	16	0.115384615385	apic	17	0.318181818182	apic	23	0.5	apic	6	0.136363636364	apic	10	0.227272727273	0.3	1.8	0.000701	138.709	0.000816
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	apic	11	0.227272727273	apic	16	0.269230769231	apic	17	0.136363636364	apic	4	0.318181818182	0.3	1.8	0.000706	138.671	0.000839
5	110426_Sl4_Cl2_4to6	apic	10	0.227272727273	apic	17	0.409090909091	apic	11	0.227272727273	apic	10	0.227272727273	apic	4	0.318181818182	0.3	1.8	0.000723	138.462	0.000852
