NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	081212_5to1	apic	15	1.0	apic	17	0.0454545454545	apic	11	0.0454545454545	apic	15	1.0	apic	3	1.0	0.3	1.8	0.000342	255.510	0.001472
5	081212_5to1	apic	10	0.0454545454545	apic	17	0.136363636364	apic	30	0.5	apic	11	0.0454545454545	apic	16	0.115384615385	0.3	1.8	0.000356	255.477	0.001452
5	081212_5to1	apic	4	0.0454545454545	apic	30	0.5	apic	22	1.0	apic	3	1.0	apic	9	1.0	0.3	1.8	0.000343	255.569	0.001472
5	081212_5to1	apic	17	0.136363636364	apic	30	0.5	apic	30	1.0	apic	11	0.0454545454545	apic	10	0.0454545454545	0.3	1.8	0.000359	255.523	0.001445
5	081212_5to1	apic	15	1.0	apic	30	0.5	apic	11	0.0454545454545	apic	9	0.9	apic	17	0.0454545454545	0.3	1.8	0.000349	255.533	0.001462
5	081212_5to1	apic	17	0.136363636364	apic	4	0.0454545454545	apic	30	1.0	apic	10	0.0454545454545	apic	4	0.136363636364	0.3	1.8	0.000349	255.512	0.001457
5	081212_5to1	apic	11	0.0454545454545	apic	30	0.5	apic	3	1.0	apic	22	1.0	apic	16	0.115384615385	0.3	1.8	0.000348	255.500	0.001456
5	081212_5to1	apic	22	1.0	apic	9	0.9	dend	58	0.5	apic	22	1.0	apic	22	1.0	0.3	1.8	0.000346	255.559	0.001469
5	081212_5to1	apic	3	1.0	apic	5	0.5	apic	22	1.0	apic	11	0.0454545454545	apic	30	0.5	0.3	1.8	0.000345	255.539	0.001464
5	081212_5to1	apic	17	0.0454545454545	apic	4	0.0454545454545	apic	30	0.5	dend	58	0.5	apic	30	1.0	0.3	1.8	0.000349	255.628	0.001452
5	081212_5to1	apic	4	0.0454545454545	apic	9	0.9	apic	16	0.115384615385	apic	9	1.0	apic	3	1.0	0.3	1.8	0.000338	255.605	0.001475
5	081212_5to1	apic	16	0.0384615384615	apic	4	0.0454545454545	apic	9	0.9	apic	4	0.0454545454545	apic	30	0.5	0.3	1.8	0.000342	255.674	0.001470
5	081212_5to1	apic	30	0.5	apic	17	0.0454545454545	apic	22	1.0	apic	30	0.5	apic	16	0.0384615384615	0.3	1.8	0.000195	254.864	0.004439
5	081212_5to1	apic	9	0.9	dend	58	0.5	apic	4	0.0454545454545	apic	22	1.0	apic	17	0.0454545454545	0.3	1.8	0.000337	255.559	0.001471
5	081212_5to1	apic	16	0.115384615385	apic	15	1.0	apic	11	0.0454545454545	apic	22	1.0	apic	16	0.115384615385	0.3	1.8	0.000357	255.580	0.001452
5	081212_5to1	apic	17	0.0454545454545	apic	30	0.5	apic	15	1.0	apic	3	1.0	apic	30	1.0	0.3	1.8	0.000353	255.631	0.001457
5	081212_5to1	apic	16	0.115384615385	apic	16	0.0384615384615	apic	16	0.115384615385	apic	9	1.0	apic	4	0.0454545454545	0.3	1.8	0.000351	255.508	0.001462
5	081212_5to1	apic	16	0.0384615384615	apic	30	0.5	apic	22	1.0	apic	10	0.0454545454545	apic	16	0.0384615384615	0.3	1.8	0.000354	255.575	0.001453
5	081212_5to1	apic	16	0.115384615385	apic	10	0.0454545454545	apic	10	0.0454545454545	apic	16	0.0384615384615	apic	30	0.5	0.3	1.8	0.000355	255.512	0.001455
5	081212_5to1	apic	16	0.115384615385	apic	3	1.0	apic	16	0.0384615384615	apic	5	0.5	apic	30	1.0	0.3	1.8	0.000350	255.585	0.001454
5	081212_5to1	apic	30	0.5	apic	16	0.0384615384615	apic	15	1.0	apic	22	1.0	dend	58	0.5	0.3	1.8	0.000350	255.596	0.001458
5	081212_5to1	apic	30	0.5	apic	16	0.115384615385	apic	30	0.5	apic	17	0.0454545454545	apic	5	0.5	0.3	1.8	0.000356	255.502	0.001445
5	081212_5to1	apic	11	0.0454545454545	apic	17	0.0454545454545	apic	5	0.5	apic	15	1.0	apic	16	0.115384615385	0.3	1.8	0.000347	255.517	0.001463
5	081212_5to1	apic	22	1.0	apic	22	1.0	apic	22	1.0	apic	10	0.0454545454545	apic	3	1.0	0.3	1.8	0.000347	255.704	0.001469
5	081212_5to1	apic	4	0.136363636364	apic	30	0.5	apic	16	0.0384615384615	apic	16	0.0384615384615	apic	3	1.0	0.3	1.8	0.000347	255.643	0.001461
5	081212_5to1	apic	9	0.9	apic	30	0.5	apic	16	0.0384615384615	dend	58	0.5	apic	17	0.0454545454545	0.3	1.8	0.000345	255.587	0.001461
5	081212_5to1	apic	30	1.0	apic	3	1.0	apic	30	0.5	apic	3	1.0	apic	22	1.0	0.3	1.8	0.000351	255.702	0.001462
5	081212_5to1	apic	15	1.0	apic	16	0.115384615385	apic	5	0.5	apic	30	0.5	apic	22	1.0	0.3	1.8	0.000352	255.501	0.001452
5	081212_5to1	apic	9	0.9	apic	30	1.0	apic	3	1.0	dend	58	0.5	apic	4	0.0454545454545	0.3	1.8	0.000338	255.500	0.001470
5	081212_5to1	dend	58	0.5	apic	4	0.0454545454545	apic	30	1.0	apic	3	1.0	apic	9	1.0	0.3	1.8	0.000339	255.522	0.001468
5	081212_5to1	apic	30	1.0	apic	4	0.0454545454545	apic	22	1.0	apic	30	0.5	apic	9	0.9	0.3	1.8	0.000353	255.669	0.001458
5	081212_5to1	apic	10	0.0454545454545	dend	58	0.5	apic	16	0.115384615385	apic	5	0.5	apic	15	1.0	0.3	1.8	0.000341	255.541	0.001468
