NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
96	0.0	-75.6005576032	
96	0.0	-74.7174277204	
96	0.0	-76.5915665397	
96	0.0	-74.8821559307	
96	0.0	-75.2375537679	
96	0.0	-76.0970240472	
96	0.0	-75.7144985394	
96	0.0	-74.5199999332	
96	0.0	-75.091352253	
96	0.0	-76.0619492449	
96	0.0	-75.4889816677	
96	0.0	-75.2240875359	
96	0.0	-76.1706665673	
96	0.0	-75.1988482592	
96	0.0	-73.8588393591	
96	0.0	-74.8665678763	
96	0.0	-76.1999451195	
96	0.0	-76.2845736855	
96	0.0	-76.0239073923	
96	0.0	-74.820171947	
96	0.0	-76.6509484882	
96	0.0	-75.8367219033	
96	0.0	-73.5447023775	
96	0.0	-75.3786146224	
96	0.0	-75.8018578479	
96	0.0	-76.4015328842	
96	0.0	-76.2643539404	
96	0.0	-75.3747667333	
96	0.0	-75.0696308092	
96	0.0	-75.6287035883	
96	0.0	-75.4042263294	
96	0.0	-75.7136909149	
96	0.0	-75.3923143162	
96	0.0	-75.9136975946	
96	0.0	-74.9364163019	
96	0.0	-74.5099527858	
96	0.0	-76.1071173459	
96	0.0	-75.0071965704	
96	0.0	-75.6985628735	
96	0.0	-75.2498814761	
96	0.0	-75.3610525864	
96	0.0	-75.4952489426	
96	0.0	-76.4743995718	
96	0.0	-74.4644769742	
96	0.0	-74.4142880362	
96	0.0	-74.3803303115	
96	0.0	-75.841484881	
96	0.0	-76.4408580026	
96	0.0	-75.4005899939	
96	0.0	-75.6731960384	
96	0.0	-74.6604853765	
96	0.0	-75.6590375795	
96	0.0	-75.375786855	
96	0.0	-75.4638607088	
96	0.0	-75.4716138659	
96	0.0	-74.9349426896	
96	0.0	-76.0583293378	
96	0.0	-75.0157822998	
96	0.0	-74.8589328638	
96	0.0	-74.9568711558	
96	0.0	-76.2675253686	
96	0.0	-75.3651933315	
96	0.0	-74.7884172991	
96	0.0	-74.8045931258	
96	0.0	-75.7064707536	
96	0.0	-75.7851626662	
96	0.0	-75.3984153774	
96	0.0	-74.5643035052	
96	0.0	-75.1975165895	
96	0.0	-74.5017128673	
96	0.0	-74.7598084786	
96	0.0	-76.4623976068	
96	0.0	-76.3979522855	
96	0.0	-75.9119603049	
96	0.0	-75.4601042798	
96	0.0	-75.6785214426	
96	0.0	-74.9866948849	
96	0.0	-76.0371159076	
96	0.0	-76.0098702012	
96	0.0	-76.6353626702	
96	0.0	-75.4770192954	
96	0.0	-75.6593797306	
96	0.0	-76.5619016319	
96	0.0	-75.2736974946	
96	0.0	-75.7201360231	
96	0.0	-75.9547401556	
96	0.0	-75.43222727	
96	0.0	-75.5513976356	
96	0.0	-76.0927875486	
96	0.0	-75.321011969	
96	0.0	-75.9589579243	
96	0.0	-73.9390293972	
96	0.0	-75.5546748654	
96	0.0	-75.0812791255	
96	0.0	-75.2361651564	
96	0.0	-76.0117252584	
96	0.0	-76.1571448646	
96	0.0	-76.0698313518	
96	0.0	-75.9745965569	
96	0.0	-76.5245157393	
96	0.0	-75.7569030476	
96	0.0	-75.355822026	
96	0.0	-75.0097675847	
96	0.0	-76.1471623076	
96	0.0	-76.5868059578	
96	0.0	-74.6538444241	
96	0.0	-76.1514827388	
96	0.0	-75.0742962549	
96	0.0	-75.1991785559	
96	0.0	-75.3845503277	
96	0.0	-73.8563904705	
96	0.0	-75.007882746	
96	0.0	-75.8823980592	
96	0.0	-75.581146744	
96	0.0	-75.8282000145	
96	0.0	-74.7753516763	
96	0.0	-74.7593056256	
96	0.0	-75.7651491608	
96	0.0	-74.3859826734	
96	0.0	-76.5824213289	
96	0.0	-76.4291030639	
96	0.0	-75.8207818992	
96	0.0	-75.9531041039	
96	0.0	-75.8656861618	
96	0.0	-75.4528580835	
96	0.0	-75.1538704845	
96	0.0	-75.4562356465	
96	0.0	-75.6279457123	
96	0.0	-75.9443435503	
96	0.0	-74.9569982018	
96	0.0	-77.1375926213	
96	0.0	-74.9340336326	
96	0.0	-75.4865895862	
96	0.0	-75.1706861584	
96	0.0	-74.7095914562	
96	0.0	-75.3081399695	
96	0.0	-75.2165665845	
96	0.0	-76.0013394175	
96	0.0	-75.6282641482	
96	0.0	-75.1848484421	
96	0.0	-75.0594768202	
96	0.0	-75.3773630751	
96	0.0	-75.4351410522	
96	0.0	-75.2841553129	
96	0.0	-75.4261074357	
96	0.0	-75.8037707273	
96	0.0	-76.7691374692	
96	0.0	-74.7427062413	
96	0.0	-75.6271541454	
96	0.0	-75.3267310026	
96	0.0	-76.4112196418	
96	0.0	-75.4417957925	
96	0.0	-75.6298535096	
96	0.0	-76.024841658	
96	0.0	-73.9250914708	
96	0.0	-75.0948052729	
96	0.0	-74.307796652	
96	0.0	-75.5518900342	
96	0.0	-76.4788809339	
96	0.0	-75.6787855908	
96	0.0	-75.7458862309	
96	0.0	-74.2623288266	
96	0.0	-76.1081460673	
96	0.0	-75.7301012147	
96	0.0	-76.317954726	
96	0.0	-75.7173473114	
96	0.0	-75.2699987179	
96	0.0	-75.4481222901	
96	0.0	-76.569532151	
96	0.0	-75.7154261556	
96	0.0	-75.403405096	
96	0.0	-76.0736784247	
96	0.0	-75.5064669241	
96	0.0	-76.6616585599	
96	0.0	-75.0796801135	
96	0.0	-77.2120913051	
96	0.0	-75.953335788	
96	0.0	-75.1284612714	
96	0.0	-75.5816798442	
96	0.0	-76.8108973927	
96	0.0	-76.4888500752	
96	0.0	-75.9671107934	
96	0.0	-75.5357043639	
96	0.0	-75.2434568939	
96	0.0	-76.3068258056	
96	0.0	-76.3215056849	
96	0.0	-75.4558735204	
96	0.0	-75.1351697884	
96	0.0	-76.0272542312	
96	0.0	-77.3057207423	
96	0.0	-75.0399661736	
96	0.0	-74.8119947579	
96	0.0	-75.5982875059	
96	0.0	-75.1788855193	
96	0.0	-75.9829437895	
96	0.0	-75.6336576032	
96	0.0	-76.1220874703	
96	0.0	-75.4609428627	
96	0.0	-75.605858105	
96	0.0	-75.5355943677	
96	0.0	-77.4817514341	
96	0.0	-76.7579661607	
96	0.0	-75.9562638156	
96	0.0	-76.598723542	
96	0.0	-74.787697176	
96	0.0	-76.2104040344	
96	0.0	-74.7281642965	
96	0.0	-75.9186552785	
96	0.0	-76.0489406788	
96	0.0	-75.3287932604	
96	0.0	-74.6124276768	
96	0.0	-75.8419058249	
96	0.0	-76.2157939381	
96	0.0	-75.6970515886	
96	0.0	-75.0556569482	
96	0.0	-76.1167865642	
96	0.0	-76.5538899473	
96	0.0	-75.6988780424	
96	0.0	-76.1123241213	
96	0.0	-75.8345949961	
96	0.0	-74.489068126	
96	0.0	-74.6943830204	
96	0.0	-75.6090810913	
96	0.0	-75.9706623918	
96	0.0	-75.250466562	
96	0.0	-75.0001932618	
96	0.0	-76.0988826972	
96	0.0	-76.1871715702	
96	0.0	-74.8882002574	
96	0.0	-74.3761191481	
96	0.0	-75.7676150476	
96	0.0	-75.3589287106	
