Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell0603_08_model_cm_0_45[0].dend[3],0.167,-85.5483,-78.7129,-75.3188,354.563,1584.03,1998.54,224.31,131.909,98.4515
0,cell0603_08_model_cm_0_45[0].dend[3],0.167,-85.5344,-78.4119,0,364.701,1629.31,0,224.31,131.909,98.4515
1,cell0603_08_model_cm_0_45[0].dend[3],0.278,-85.5619,-77.2538,-74.1223,346.16,1871.51,2280.5,268.54,163.749,118.322
0,cell0603_08_model_cm_0_45[0].dend[3],0.278,-85.5487,-76.9084,0,355.879,1924.05,0,268.54,163.749,118.322
1,cell0603_08_model_cm_0_45[0].dend[3],0.389,-85.5732,-75.8038,-72.9274,338.694,2152,2555.83,312.676,195.74,138.193
0,cell0603_08_model_cm_0_45[0].dend[3],0.389,-85.5605,-75.4146,0,348.044,2211.4,0,312.676,195.74,138.193
1,cell0603_08_model_cm_0_45[0].dend[3],0.500,-85.5829,-74.3178,-71.6358,331.902,2426.53,2825.29,356.99,228.596,158.064
0,cell0603_08_model_cm_0_45[0].dend[3],0.500,-85.5708,-73.8819,0,340.912,2492.38,0,356.99,228.596,158.064
1,cell0603_08_model_cm_0_45[0].dend[3],0.611,-85.5917,-72.7929,-70.2322,325.555,2695.4,3088.95,401.755,262.808,177.935
0,cell0603_08_model_cm_0_45[0].dend[3],0.611,-85.5801,-72.3079,0,334.234,2767.24,0,401.755,262.808,177.935
1,cell0603_08_model_cm_0_45[0].dend[3],0.722,-85.6,-71.243,-68.7388,319.456,2958.34,3346.31,447.246,298.693,197.806
0,cell0603_08_model_cm_0_45[0].dend[3],0.722,-85.5889,-70.7083,0,327.801,3035.6,0,447.246,298.693,197.806
1,cell0603_08_model_cm_0_45[0].dend[3],0.833,-85.6081,-69.6844,-67.1849,313.446,3214.69,3596.53,493.742,336.488,217.677
0,cell0603_08_model_cm_0_45[0].dend[3],0.833,-85.5975,-69.1015,0,321.443,3296.68,0,493.742,336.488,217.677
1,cell0603_08_model_cm_0_45[0].dend[3],0.944,-85.6162,-68.1272,-65.5896,307.418,3463.71,3838.79,541.529,376.45,237.548
0,cell0603_08_model_cm_0_45[0].dend[3],0.944,-85.606,-67.4988,0,315.049,3549.66,0,541.529,376.45,237.548
1,cell0603_08_model_cm_0_45[0].dend[3],1.000,-85.6203,-67.3499,-64.7728,304.34,3585.51,3956.84,566.19,397.473,247.484
0,cell0603_08_model_cm_0_45[0].dend[3],1.000,-85.6104,-66.7007,0,311.776,3673.1,0,566.19,397.473,247.484
1,cell0603_08_model_cm_0_45[0].dend[4],0.500,-85.3848,-85.0274,-80.965,406.516,462.5,901.607,62.0263,14.4203,27.289
0,cell0603_08_model_cm_0_45[0].dend[4],0.500,-85.361,-84.984,0,419.14,476.862,0,62.0263,14.4203,27.289
1,cell0603_08_model_cm_0_45[0].dend[4],1.000,-85.39,-84.9963,-80.9362,405.569,467.175,906.167,62.666,14.9033,29.9889
0,cell0603_08_model_cm_0_45[0].dend[4],1.000,-85.3665,-84.9514,0,418.158,481.676,0,62.666,14.9033,29.9889
1,cell0603_08_model_cm_0_45[0].dend[5],0.033,-85.42,-83.656,-79.603,397.508,628.042,1062.38,85.0513,34.8699,39.5462
0,cell0603_08_model_cm_0_45[0].dend[5],0.033,-85.3985,-83.5433,0,409.645,647.216,0,85.0513,34.8699,39.5462
1,cell0603_08_model_cm_0_45[0].dend[5],0.100,-85.4697,-81.444,-77.5434,383.212,934.025,1360.5,128.682,71.1293,58.6608
0,cell0603_08_model_cm_0_45[0].dend[5],0.100,-85.4513,-81.2307,0,394.595,961.765,0,128.682,71.1293,58.6608
1,cell0603_08_model_cm_0_45[0].dend[5],0.167,-85.5073,-79.8091,-76.0738,371.063,1223.91,1644.04,171.072,101.498,77.7754
0,cell0603_08_model_cm_0_45[0].dend[5],0.167,-85.4912,-79.5304,0,381.849,1259.48,0,171.072,101.498,77.7754
1,cell0603_08_model_cm_0_45[0].dend[5],0.233,-85.5355,-78.5725,-75.0073,360.628,1501.75,1916.69,212.463,127.231,96.89
0,cell0603_08_model_cm_0_45[0].dend[5],0.233,-85.5209,-78.2497,0,370.935,1544.66,0,212.463,127.231,96.89
1,cell0603_08_model_cm_0_45[0].dend[5],0.300,-85.5566,-77.5949,-74.2126,351.567,1770.57,2181.14,253.092,149.697,116.005
0,cell0603_08_model_cm_0_45[0].dend[5],0.300,-85.5431,-77.2437,0,361.478,1820.47,0,253.092,149.697,116.005
1,cell0603_08_model_cm_0_45[0].dend[5],0.367,-85.5728,-76.7584,-73.5834,343.608,2032.59,2439.38,293.191,170.186,135.119
0,cell0603_08_model_cm_0_45[0].dend[5],0.367,-85.56,-76.3888,0,353.185,2089.22,0,293.191,170.186,135.119
1,cell0603_08_model_cm_0_45[0].dend[5],0.433,-85.5855,-75.955,-73.0221,336.53,2289.46,2692.85,332.987,189.858,154.234
0,cell0603_08_model_cm_0_45[0].dend[5],0.433,-85.5733,-75.5717,0,345.816,2352.62,0,332.987,189.858,154.234
1,cell0603_08_model_cm_0_45[0].dend[5],0.500,-85.5959,-75.103,-72.4309,330.146,2542.33,2942.48,372.706,209.697,173.348
0,cell0603_08_model_cm_0_45[0].dend[5],0.500,-85.5842,-74.7041,0,339.17,2611.81,0,372.706,209.697,173.348
1,cell0603_08_model_cm_0_45[0].dend[5],0.567,-85.6047,-74.1666,-71.7278,324.293,2791.88,3188.81,412.577,230.478,192.463
0,cell0603_08_model_cm_0_45[0].dend[5],0.567,-85.5933,-73.7463,0,333.073,2867.45,0,412.577,230.478,192.463
1,cell0603_08_model_cm_0_45[0].dend[5],0.633,-85.6124,-73.1465,-70.8774,318.824,3038.37,3431.91,452.823,252.769,211.577
0,cell0603_08_model_cm_0_45[0].dend[5],0.633,-85.6014,-72.6988,0,327.367,3119.76,0,452.823,252.769,211.577
1,cell0603_08_model_cm_0_45[0].dend[5],0.700,-85.6194,-72.057,-69.8885,313.603,3281.63,3671.48,493.676,276.952,230.692
0,cell0603_08_model_cm_0_45[0].dend[5],0.700,-85.6088,-71.577,0,321.904,3368.48,0,493.676,276.952,230.692
1,cell0603_08_model_cm_0_45[0].dend[5],0.767,-85.6261,-70.9129,-68.7851,308.501,3521.1,3906.79,535.367,303.271,249.807
0,cell0603_08_model_cm_0_45[0].dend[5],0.767,-85.6158,-70.3984,0,316.549,3612.92,0,535.367,303.271,249.807
1,cell0603_08_model_cm_0_45[0].dend[5],0.833,-85.6327,-69.7274,-67.5896,303.403,3755.84,4136.78,578.133,331.9,268.921
0,cell0603_08_model_cm_0_45[0].dend[5],0.833,-85.6228,-69.1772,0,311.178,3852.06,0,578.133,331.9,268.921
1,cell0603_08_model_cm_0_45[0].dend[5],0.900,-85.6394,-68.508,-66.3165,298.214,3984.77,4360.27,622.217,363.006,288.036
0,cell0603_08_model_cm_0_45[0].dend[5],0.900,-85.6298,-67.9215,0,305.692,4084.66,0,622.217,363.006,288.036
1,cell0603_08_model_cm_0_45[0].dend[5],0.967,-85.6462,-67.2541,-64.9719,292.874,4206.89,4576.2,667.87,396.824,307.15
0,cell0603_08_model_cm_0_45[0].dend[5],0.967,-85.6371,-66.6315,0,300.032,4309.67,0,667.87,396.824,307.15
1,cell0603_08_model_cm_0_45[0].dend[5],1.000,-85.6498,-66.6134,-64.2674,290.094,4315.25,4681.06,691.58,414.969,316.708
0,cell0603_08_model_cm_0_45[0].dend[5],1.000,-85.6409,-65.9733,0,297.079,4419.12,0,691.58,414.969,316.708
1,cell0603_08_model_cm_0_45[0].dend[6],0.500,-85.3915,-84.9842,-80.9245,405.283,468.92,907.867,62.9063,15.092,30.936
0,cell0603_08_model_cm_0_45[0].dend[6],0.500,-85.3681,-84.9387,0,417.862,483.473,0,62.9063,15.092,30.936
1,cell0603_08_model_cm_0_45[0].dend[6],1.000,-85.393,-84.9721,-80.9129,404.998,470.663,909.566,63.1446,15.2777,31.8831
0,cell0603_08_model_cm_0_45[0].dend[6],1.000,-85.3697,-84.926,0,417.566,485.268,0,63.1446,15.2777,31.8831
1,cell0603_08_model_cm_0_45[0].dend[7],0.500,-85.4008,-84.1883,-80.1551,401.181,562.686,998.885,75.9042,27.1418,39.36
0,cell0603_08_model_cm_0_45[0].dend[7],0.500,-85.3781,-84.1032,0,413.512,579.98,0,75.9042,27.1418,39.36
1,cell0603_08_model_cm_0_45[0].dend[7],1.000,-85.4079,-83.4069,-79.4425,397.56,653.305,1086.91,88.609,39.3922,46.8369
0,cell0603_08_model_cm_0_45[0].dend[7],1.000,-85.3857,-83.2851,0,409.668,673.2,0,88.609,39.3922,46.8369
1,cell0603_08_model_cm_0_45[0].dend[8],0.167,-85.4146,-82.3455,-78.4071,393.866,771.776,1201.83,105.489,55.8609,53.7108
0,cell0603_08_model_cm_0_45[0].dend[8],0.167,-85.393,-82.1733,0,405.709,794.979,0,105.489,55.8609,53.7108
1,cell0603_08_model_cm_0_45[0].dend[8],0.500,-85.427,-80.2526,-76.3924,386.956,1003.51,1426.65,139.319,89.2448,67.4586
0,cell0603_08_model_cm_0_45[0].dend[8],0.500,-85.4065,-79.9845,0,398.301,1032.93,0,139.319,89.2448,67.4586
1,cell0603_08_model_cm_0_45[0].dend[8],0.833,-85.4386,-78.2302,-74.4529,380.532,1228.79,1645.21,173.273,122.917,81.2063
0,cell0603_08_model_cm_0_45[0].dend[8],0.833,-85.419,-77.875,0,391.414,1263.92,0,173.273,122.917,81.2063
1,cell0603_08_model_cm_0_45[0].dend[8],1.000,-85.444,-77.2456,-73.5043,377.499,1339.44,1752.55,190.359,139.875,88.0802
0,cell0603_08_model_cm_0_45[0].dend[8],1.000,-85.4249,-76.8494,0,388.161,1377.27,0,190.359,139.875,88.0802
1,cell0603_08_model_cm_0_45[0].dend[9],0.500,-85.4155,-82.4335,-78.5498,393.479,766.662,1197.04,104.714,55.0409,56.2595
0,cell0603_08_model_cm_0_45[0].dend[9],0.500,-85.394,-82.2673,0,405.327,789.743,0,104.714,55.0409,56.2595
1,cell0603_08_model_cm_0_45[0].dend[9],1.000,-85.4225,-81.4755,-77.6645,389.702,878.66,1305.88,120.856,70.7914,65.6822
0,cell0603_08_model_cm_0_45[0].dend[9],1.000,-85.4015,-81.2668,0,401.305,904.816,0,120.856,70.7914,65.6822
1,cell0603_08_model_cm_0_45[0].dend[10],0.500,-85.4397,-78.7079,-75.0126,380.116,1198.27,1616.22,168.368,117.479,85.1288
0,cell0603_08_model_cm_0_45[0].dend[10],0.500,-85.4201,-78.3787,0,391.055,1232.75,0,168.368,117.479,85.1288
1,cell0603_08_model_cm_0_45[0].dend[10],1.000,-85.4548,-76.0255,-72.3959,371.647,1508.65,1917.29,216.721,165.196,104.575
0,cell0603_08_model_cm_0_45[0].dend[10],1.000,-85.4364,-75.5879,0,381.975,1550.56,0,216.721,165.196,104.575
1,cell0603_08_model_cm_0_45[0].dend[11],0.167,-85.4298,-80.3326,-76.5732,385.627,1011.23,1434.61,140.305,89.8302,73.6594
0,cell0603_08_model_cm_0_45[0].dend[11],0.167,-85.4094,-80.0739,0,396.949,1040.92,0,140.305,89.8302,73.6594
1,cell0603_08_model_cm_0_45[0].dend[11],0.500,-85.4435,-78.1016,-74.4345,378.034,1270.25,1686.12,179.348,128.242,89.6138
0,cell0603_08_model_cm_0_45[0].dend[11],0.500,-85.4242,-77.7479,0,388.831,1306.52,0,179.348,128.242,89.6138
1,cell0603_08_model_cm_0_45[0].dend[11],0.833,-85.456,-75.9499,-72.3596,370.991,1521.55,1930.09,218.622,167.012,105.568
0,cell0603_08_model_cm_0_45[0].dend[11],0.833,-85.4377,-75.5108,0,381.298,1563.82,0,218.622,167.012,105.568
1,cell0603_08_model_cm_0_45[0].dend[11],1.000,-85.4619,-74.9015,-71.3412,367.657,1644.88,2049.74,238.447,186.602,113.545
0,cell0603_08_model_cm_0_45[0].dend[11],1.000,-85.4441,-74.4223,0,377.731,1689.93,0,238.447,186.602,113.545
1,cell0603_08_model_cm_0_45[0].dend[12],0.500,-85.4075,-84.8419,-80.7772,402.322,489.485,927.893,65.7329,17.2684,36.7233
0,cell0603_08_model_cm_0_45[0].dend[12],0.500,-85.385,-84.7891,0,414.785,504.648,0,65.7329,17.2684,36.7233
1,cell0603_08_model_cm_0_45[0].dend[12],1.000,-85.4228,-84.7028,-80.64,399.371,510.421,948.307,68.614,19.4342,41.5635
0,cell0603_08_model_cm_0_45[0].dend[12],1.000,-85.4013,-84.643,0,411.72,526.204,0,68.614,19.4342,41.5635
1,cell0603_08_model_cm_0_45[0].dend[13],0.500,-85.495,-83.1052,-79.1372,380.954,750.498,1182.49,102.132,45.269,60.5933
0,cell0603_08_model_cm_0_45[0].dend[13],0.500,-85.4777,-82.9699,0,392.499,773.237,0,102.132,45.269,60.5933
1,cell0603_08_model_cm_0_45[0].dend[13],1.000,-85.5425,-82.1823,-78.4538,365.534,975.002,1403.06,133.817,63.8277,79.6231
0,cell0603_08_model_cm_0_45[0].dend[13],1.000,-85.5276,-82.0163,0,376.476,1004.18,0,133.817,63.8277,79.6231
1,cell0603_08_model_cm_0_45[0].dend[14],0.500,-85.5679,-81.1741,-77.5982,355.073,1180.18,1604.39,163.382,81.5363,96.8283
0,cell0603_08_model_cm_0_45[0].dend[14],0.500,-85.5543,-80.9679,0,365.569,1215.06,0,163.382,81.5363,96.8283
1,cell0603_08_model_cm_0_45[0].dend[14],1.000,-85.5876,-80.33,-76.9407,346.019,1379.69,1800.7,192.399,97.0587,114.034
0,cell0603_08_model_cm_0_45[0].dend[14],1.000,-85.5748,-80.0934,0,356.146,1420.06,0,192.399,97.0587,114.034
1,cell0603_08_model_cm_0_45[0].dend[15],0.167,-85.5926,-79.2699,-75.8861,342.04,1520.37,1937.6,213.9,115.769,124.96
0,cell0603_08_model_cm_0_45[0].dend[15],0.167,-85.5802,-78.9872,0,351.915,1564.26,0,213.9,115.769,124.96
1,cell0603_08_model_cm_0_45[0].dend[15],0.500,-85.6019,-77.1049,-73.7427,334.662,1796.44,2206.07,257.379,155.008,146.813
0,cell0603_08_model_cm_0_45[0].dend[15],0.500,-85.5901,-76.7311,0,344.056,1846.85,0,257.379,155.008,146.813
1,cell0603_08_model_cm_0_45[0].dend[15],0.833,-85.6106,-74.9374,-71.5948,327.804,2065.14,2467.06,301.492,195.968,168.666
0,cell0603_08_model_cm_0_45[0].dend[15],0.833,-85.5994,-74.4787,0,336.739,2121.42,0,301.492,195.968,168.666
1,cell0603_08_model_cm_0_45[0].dend[15],1.000,-85.6147,-73.8601,-70.5145,324.524,2197.44,2595.34,324.007,217.133,179.593
0,cell0603_08_model_cm_0_45[0].dend[15],1.000,-85.6038,-73.3608,0,333.233,2256.39,0,324.007,217.133,179.593
1,cell0603_08_model_cm_0_45[0].dend[16],0.038,-85.5966,-79.8668,-76.5027,341.547,1493.02,1912.01,209.177,105.72,123.757
0,cell0603_08_model_cm_0_45[0].dend[16],0.038,-85.5843,-79.613,0,351.477,1536.42,0,209.177,105.72,123.757
1,cell0603_08_model_cm_0_45[0].dend[16],0.115,-85.6118,-79.0353,-75.7439,333.438,1715.64,2130.96,242.452,121.931,143.205
0,cell0603_08_model_cm_0_45[0].dend[16],0.115,-85.6002,-78.7527,0,343.016,1764.91,0,242.452,121.931,143.205
1,cell0603_08_model_cm_0_45[0].dend[16],0.192,-85.6242,-78.3052,-75.1323,326.243,1933.41,2345.53,275.304,136.928,162.652
0,cell0603_08_model_cm_0_45[0].dend[16],0.192,-85.613,-78.0012,0,335.521,1988.38,0,275.304,136.928,162.652
1,cell0603_08_model_cm_0_45[0].dend[16],0.269,-85.6343,-77.6246,-74.6162,319.814,2147.65,2556.9,307.914,151.392,182.1
0,cell0603_08_model_cm_0_45[0].dend[16],0.269,-85.6236,-77.304,0,328.83,2208.19,0,307.914,151.392,182.1
1,cell0603_08_model_cm_0_45[0].dend[16],0.346,-85.6428,-76.9351,-74.1321,314.018,2359.36,2765.92,340.458,165.987,201.548
0,cell0603_08_model_cm_0_45[0].dend[16],0.346,-85.6324,-76.5998,0,322.801,2425.33,0,340.458,165.987,201.548
1,cell0603_08_model_cm_0_45[0].dend[16],0.423,-85.6501,-76.1945,-73.609,308.736,2569.21,2973.16,373.111,181.303,220.995
0,cell0603_08_model_cm_0_45[0].dend[16],0.423,-85.64,-75.8419,0,317.305,2640.5,0,373.111,181.303,220.995
1,cell0603_08_model_cm_0_45[0].dend[16],0.500,-85.6564,-75.3857,-72.9868,303.859,2777.64,3178.89,406.047,197.812,240.443
0,cell0603_08_model_cm_0_45[0].dend[16],0.500,-85.6466,-75.011,0,312.225,2854.09,0,406.047,197.812,240.443
1,cell0603_08_model_cm_0_45[0].dend[16],0.577,-85.6622,-74.5085,-72.2392,299.283,2984.74,3383.11,439.443,215.863,259.89
0,cell0603_08_model_cm_0_45[0].dend[16],0.577,-85.6526,-74.107,0,307.45,3066.16,0,439.443,215.863,259.89
1,cell0603_08_model_cm_0_45[0].dend[16],0.654,-85.6675,-73.5694,-71.3701,294.909,3190.36,3585.54,473.478,235.691,279.338
0,cell0603_08_model_cm_0_45[0].dend[16],0.654,-85.6581,-73.1375,0,302.872,3276.48,0,473.478,235.691,279.338
1,cell0603_08_model_cm_0_45[0].dend[16],0.731,-85.6725,-72.5758,-70.3942,290.64,3394.03,3785.58,508.335,257.449,298.785
0,cell0603_08_model_cm_0_45[0].dend[16],0.731,-85.6635,-72.1114,0,298.389,3484.49,0,508.335,257.449,298.785
1,cell0603_08_model_cm_0_45[0].dend[16],0.808,-85.6776,-71.535,-69.3263,286.388,3595.05,3982.43,544.201,281.251,318.233
0,cell0603_08_model_cm_0_45[0].dend[16],0.808,-85.6688,-71.0361,0,293.906,3689.39,0,544.201,281.251,318.233
1,cell0603_08_model_cm_0_45[0].dend[16],0.885,-85.6826,-70.4507,-68.1767,282.077,3792.56,4175.15,581.266,307.213,337.68
0,cell0603_08_model_cm_0_45[0].dend[16],0.885,-85.6741,-69.9166,0,289.344,3890.24,0,581.266,307.213,337.68
1,cell0603_08_model_cm_0_45[0].dend[16],0.962,-85.6878,-69.3223,-66.9494,277.656,3985.81,4362.91,619.731,335.509,357.128
0,cell0603_08_model_cm_0_45[0].dend[16],0.962,-85.6796,-68.7525,0,284.65,4086.18,0,619.731,335.509,357.128
1,cell0603_08_model_cm_0_45[0].dend[16],1.000,-85.6905,-68.7405,-66.3008,275.361,4080.81,4454.8,639.743,350.705,366.852
0,cell0603_08_model_cm_0_45[0].dend[16],1.000,-85.6825,-68.153,0,282.209,4182.25,0,639.743,350.705,366.852
1,cell0603_08_model_cm_0_45[0].dend[17],0.056,-85.5497,-81.4226,-77.7513,361.195,1094.01,1519.18,151.134,77.9319,88.7296
0,cell0603_08_model_cm_0_45[0].dend[17],0.056,-85.5353,-81.2247,0,371.901,1126.43,0,151.134,77.9319,88.7296
1,cell0603_08_model_cm_0_45[0].dend[17],0.167,-85.562,-80.0061,-76.5105,353.377,1327.12,1746.94,185.603,105.79,106.943
0,cell0603_08_model_cm_0_45[0].dend[17],0.167,-85.5483,-79.7543,0,363.663,1365.74,0,185.603,105.79,106.943
