,model,number_of_synapses,NMDA_W,tau_1_NMDA,tau_2_NMDA,N_NMDA,GAMMA_NMDA,AMPA_W,DELAY,rmsd_epsp,AMPA_W_B,DELAY_B,rmsd_block,syns_secs,syns_segs
54,11483,28,0.00107637,7.02764,35.6124,0.280112,0.0771863,0.000490994,1.00488,0.00417481,9.36177e-05,2.34991,0.000208369,"[68, 74, 65, 67, 64, 75, 74, 73, 75, 56, 75, 67, 67, 66, 69, 74, 69, 65, 64, 68, 56, 69, 68, 69, 65, 74, 61, 68]","[0.818638, 0.0120302, 0.542098, 0.62644, 0.999236, 0.883864, 0.681361, 0.25601, 0.643948, 0.450224, 0.754747, 0.132527, 0.206423, 0.0680061, 0.282044, 0.420163, 0.821625, 0.0579375, 0.680155, 0.886927, 0.894983, 0.491433, 0.166759, 0.245376, 0.759468, 0.219654, 0.943008, 0.0749181]"
55,26397,24,0.00115311,8.01394,35.1611,0.280112,0.0766284,0.000638328,0.706842,0.00418093,0.000115291,2.00845,0.000204652,"[75, 65, 74, 67, 64, 75, 75, 74, 68, 74, 69, 68, 64, 64, 64, 73, 68, 67, 75, 70, 65, 64, 67, 68]","[0.0508584, 0.309393, 0.813031, 0.337628, 0.0962478, 0.649128, 0.525734, 0.304528, 0.998622, 0.896031, 0.527367, 0.744631, 0.670818, 0.69081, 0.970238, 0.92485, 0.90319, 0.276286, 0.870002, 0.762267, 0.0591661, 0.984274, 0.72618, 0.946346]"
56,19562,24,0.000846793,3.36961,32.178,0.280112,0.0686135,0.00053848,1.04402,0.00365085,8.46777e-05,1.94823,0.000735425,"[68, 56, 66, 55, 69, 57, 57, 67, 74, 67, 75, 67, 74, 64, 64, 75, 69, 67, 64, 74, 61, 69, 65, 69]","[0.636104, 0.30149, 0.0785483, 0.384899, 0.682066, 0.526337, 0.689103, 0.834489, 0.121887, 0.791955, 0.225144, 0.726275, 0.946652, 0.272423, 0.839565, 0.43799, 0.78698, 0.443097, 0.565031, 0.215225, 0.837962, 0.91773, 0.377226, 0.942809]"
57,37273,27,0.000997383,8.12817,34.6831,0.280112,0.0764076,0.000520147,1.10387,0.00415464,9.97289e-05,2.51167,0.000234778,"[67, 64, 61, 69, 67, 64, 69, 69, 75, 67, 74, 69, 56, 75, 74, 68, 72, 68, 67, 68, 75, 65, 75, 75, 69, 68, 70]","[0.205391, 0.594457, 0.638451, 0.0175777, 0.847062, 0.502277, 0.958697, 0.0655528, 0.362694, 0.596233, 0.98886, 0.34839, 0.735463, 0.993534, 0.8627, 0.291349, 0.995851, 0.206651, 0.409083, 0.135274, 0.0123053, 0.731821, 0.944235, 0.766536, 0.605504, 0.55037, 0.774549]"
58,19583,26,0.00134189,7.409,35.3616,0.280112,0.079162,0.000529005,1.137,0.0041767,0.000101323,2.44418,0.000213789,"[64, 56, 69, 70, 69, 65, 67, 67, 72, 68, 74, 66, 75, 74, 65, 68, 64, 68, 74, 75, 65, 74, 67, 61, 64, 68]","[0.442336, 0.805624, 0.854137, 0.687184, 0.474021, 0.558113, 0.574098, 0.339082, 0.603687, 0.402904, 0.195504, 0.915852, 0.968813, 0.193611, 0.00738654, 0.266718, 0.0556639, 0.227157, 0.260559, 0.996453, 0.286943, 0.682859, 0.983241, 0.605449, 0.398392, 0.162103]"
59,115,26,0.00108574,7.39375,35.334,0.280112,0.0766039,0.000543581,1.04524,0.00417991,0.00010232,2.25276,0.000212641,"[68, 69, 72, 75, 67, 73, 57, 68, 74, 67, 67, 63, 68, 69, 75, 71, 64, 67, 57, 68, 68, 64, 68, 68, 74, 75]","[0.480155, 0.950283, 0.136987, 0.500755, 0.889416, 0.490637, 0.592051, 0.294291, 0.734934, 0.264181, 0.0268715, 0.70943, 0.822206, 0.369622, 0.70893, 0.523097, 0.646495, 0.636909, 0.681723, 0.00148776, 0.355445, 0.281244, 0.902428, 0.160657, 0.404225, 0.649576]"
60,51123,27,0.00182244,7.82851,35.2879,0.280112,0.0835203,0.0005072,1.09341,0.00417437,9.85135e-05,2.44937,0.000219836,"[75, 74, 64, 68, 74, 67, 74, 75, 70, 75, 68, 74, 57, 74, 64, 69, 70, 68, 62, 69, 65, 75, 69, 64, 66, 64, 67]","[0.620902, 0.49251, 0.427546, 0.581856, 0.419307, 0.993974, 0.670338, 0.330948, 0.868073, 0.822913, 0.579725, 0.739891, 0.799733, 0.595954, 0.129881, 0.0949466, 0.864244, 0.224541, 0.316049, 0.162236, 0.113092, 0.911364, 0.859199, 0.775599, 0.687763, 0.302613, 0.721898]"
61,38771,20,0.00154552,6.80977,36.2596,0.280112,0.0774849,0.00073175,0.84615,0.00417181,0.000132785,1.95184,0.000226103,"[68, 69, 75, 67, 65, 69, 64, 69, 64, 65, 75, 73, 75, 65, 67, 64, 67, 75, 69, 68]","[0.182679, 0.544614, 0.985548, 0.33479, 0.190697, 0.089483, 0.197612, 0.733661, 0.920167, 0.723564, 0.164496, 0.999604, 0.755326, 0.18913, 0.442522, 0.722114, 0.961947, 0.0590826, 0.119544, 0.0564021]"
62,33287,25,0.00111394,7.66217,35.4943,0.280112,0.0765093,0.000607146,0.671349,0.00419549,0.000109992,1.94978,0.000204322,"[69, 73, 68, 65, 75, 68, 67, 75, 69, 63, 65, 75, 75, 68, 65, 74, 74, 69, 68, 67, 65, 67, 74, 67, 63]","[0.794182, 0.297463, 0.751689, 0.184188, 0.912873, 0.829748, 0.380373, 0.379167, 0.959643, 0.820336, 0.403813, 0.886135, 0.296152, 0.0607422, 0.864144, 0.683094, 0.917044, 0.928701, 0.501145, 0.446219, 0.00676197, 0.673783, 0.629521, 0.693907, 0.206915]"
63,30314,28,0.00128299,7.53528,35.3887,0.280112,0.0795248,0.000500483,0.98247,0.00418556,9.56288e-05,2.25387,0.000216754,"[75, 70, 67, 68, 67, 75, 65, 67, 68, 67, 68, 73, 65, 56, 64, 67, 67, 66, 64, 67, 56, 75, 74, 55, 74, 65, 68, 75]","[0.914946, 0.199216, 0.111654, 0.615031, 0.830973, 0.612818, 0.812604, 0.860927, 0.86351, 0.0951653, 0.471428, 0.853963, 0.22821, 0.984973, 0.743608, 0.629512, 0.42478, 0.585746, 0.970654, 0.139502, 0.0853504, 0.418804, 0.368156, 0.924, 0.0778924, 0.274138, 0.408392, 0.77199]"
